pmcid,figure_name,width,height
PMC3657267,IJD-58-164b-g001.jpg,668,730
PMC3657267,IJD-58-164b-g002.jpg,741,497
PMC3661046,10006_2012_341_Fig1_HTML.jpg,397,264
PMC3661046,10006_2012_341_Fig3_HTML.jpg,709,274
PMC3661046,10006_2012_341_Fig4_HTML.jpg,520,209
PMC3661046,10006_2012_341_Fig2_HTML.jpg,520,199
PMC3661046,10006_2012_341_Fig5_HTML.jpg,520,631
PMC5655628,IJT-9-181-g002.jpg,539,318
PMC5655628,IJT-9-181-g001.jpg,538,486
PMC5556795,acfs-16-43-g003.jpg,768,217
PMC5556795,acfs-16-43-g004.jpg,768,217
PMC5556795,acfs-16-43-g005.jpg,768,217
PMC5556795,acfs-16-43-g001.jpg,686,675
PMC5556795,acfs-16-43-g002.jpg,754,191
PMC6006647,cde-0010-0133-g03.jpg,773,639
PMC6006647,cde-0010-0133-g01.jpg,773,581
PMC6006647,cde-0010-0133-g02.jpg,773,581
PMC7256221,gr2.jpg,602,452
PMC7256221,gr4.jpg,602,452
PMC7256221,gr3.jpg,602,549
PMC7256221,gr1.jpg,602,452
PMC7486105,cureus-0012-00000009703-i01.jpg,800,601
PMC7486105,cureus-0012-00000009703-i03.jpg,800,815
PMC7486105,cureus-0012-00000009703-i02.jpg,800,599
PMC8906298,IJD-66-706d-g003.jpg,539,203
PMC8906298,IJD-66-706d-g002.jpg,652,586
PMC8906298,IJD-66-706d-g004.jpg,605,301
PMC8906298,IJD-66-706d-g001.jpg,620,587
PMC9971801,IJD-67-589-g002.jpg,782,586
PMC9971801,IJD-67-589-g001.jpg,440,587
PMC9971801,IJD-67-589-g003.jpg,539,352
PMC9406107,cancers-14-03964-g004.jpg,744,545
PMC9406107,cancers-14-03964-g001.jpg,704,552
PMC9406107,cancers-14-03964-g003.jpg,764,614
PMC9406107,cancers-14-03964-g005.jpg,737,533
PMC9406107,cancers-14-03964-g002.jpg,689,646
PMC4884730,ad-28-411-g002.jpg,743,981
PMC4884730,ad-28-411-g001.jpg,743,349
