pmid,pmcid,title,journal,insert_time,label,caption,graphic
22847035,PMC3661046,Microcystic adnexal carcinoma of the upper lip misdiagnosed benign desmoplastic trichoepithelioma.,Oral Maxillofac Surg,2023-12-17-22-03-23,Fig. 1,Nodular and plaquelike growth pattern of a microcystic adnexal carcinoma on the left of the upper lip and subnasal region,10006_2012_341_Fig1_HTML
22847035,PMC3661046,Microcystic adnexal carcinoma of the upper lip misdiagnosed benign desmoplastic trichoepithelioma.,Oral Maxillofac Surg,2023-12-17-22-03-23,Fig. 2,"Intraoperative views of the deep-seated resection defect that included the philtrum and upper lip. Incision lines for reconstruction with rotation flap and Abbé flap from the lower lip were marked with blue ink (a). Reconstruction of the upper lip, philtrum, and vermillion border with rotation flap and Abbé flap (b)",10006_2012_341_Fig2_HTML
22847035,PMC3661046,Microcystic adnexal carcinoma of the upper lip misdiagnosed benign desmoplastic trichoepithelioma.,Oral Maxillofac Surg,2023-12-17-22-03-23,Fig. 3,Postoperative views. Lips in repose with competent lip closure (a); smiling was nearly symmetrical (b); mouth opening was only slightly impaired (c),10006_2012_341_Fig3_HTML
22847035,PMC3661046,Microcystic adnexal carcinoma of the upper lip misdiagnosed benign desmoplastic trichoepithelioma.,Oral Maxillofac Surg,2023-12-17-22-03-23,Fig. 4,"
a Findings in superficial biopsy of tumour. Small nests (SN) and cords of basaloid cells showing a trabecular growth pattern. Several keratin-filled cysts (KC) and sebaceous glands (SG). No conclusive evidence of malignancy. Findings led to the misdiagnosis of a desmoplastic trichoepithelioma. H&E staining; magnification ×100. b Findings in deeper slices after complete tumour excision. Small, solid nests (SN) and cystic structures (CY). Growth pattern comparable to findings in (a). But now evidence of malignancy indicated by infiltration of nerves and perineural spaces (PI). Findings led to the diagnosis of a microcystic adnexal carcinoma. H&E staining; magnification ×200",10006_2012_341_Fig4_HTML
22847035,PMC3661046,Microcystic adnexal carcinoma of the upper lip misdiagnosed benign desmoplastic trichoepithelioma.,Oral Maxillofac Surg,2023-12-17-22-03-23,Fig. 5,"Comparison of immunohistological staining of slices from initial biopsy (left row: (a, c, e) and deeper slices after complete tumour excision (right row: (b, d, f)). No different findings in staining. a and b p63 (nuclear staining); c and d CK 5/6 (cytoplasmic staining); e and f Ki67 (staining for proliferating cells). a–d Magnification ×200; e and f Magnification ×400",10006_2012_341_Fig5_HTML
23716857,PMC3657267,A case of desmoplastic trichoepithelioma with ossification.,Indian J Dermatol,2023-12-17-22-03-23,Figure 1,Clinical features of the patient. A slightly-depressed plaque on his cheek,IJD-58-164b-g001
23716857,PMC3657267,A case of desmoplastic trichoepithelioma with ossification.,Indian J Dermatol,2023-12-17-22-03-23,Figure 2,"Histopathological features. (a) Small strands of basaloid cells and a small bone formation were present (H and E, original magnification ×40). (b) Keratinous cyst and desmoplastic stroma (original magnification ×100). (c) The basaloid cells were arranged in narrow strands, with one to three cell thicknesses (original magnification ×100). (d) Adjacent to the bone, a foreign-body giant-cell granuloma was present (original magnification ×100)",IJD-58-164b-g002
27274652,PMC4884730,A Case of Multiple Desmoplastic Trichoepithelioma.,Ann Dermatol,2023-12-17-22-03-23,Fig. 1,"(A, B) Cutaneous examination revealed multiple yellowish to skin-colored annular, depressed macules on both cheeks.",ad-28-411-g001
27274652,PMC4884730,A Case of Multiple Desmoplastic Trichoepithelioma.,Ann Dermatol,2023-12-17-22-03-23,Fig. 2,"(A) Biopsy specimen of left cheek reveals atrophic epidermis with upper and mid dermal cellular infiltration (H&E, ×40). (B) Tumor strands embedded in dense fibrous stroma are composed of small basaloid cells one to two cells thick (H&E, ×200). (C) Keratinous cysts adjacent to the basaloid cells are observed (H&E, ×200). (D) Biopsy of a right cheek lesion shows cellular infiltration, horn cysts, and calcifications in upper and mid dermis (H&E, ×40). (E) Narrow strands of tumor cells of small basaloid cells with focal calcification are similar to the histopathologic findings of left cheek (H&E, ×200). (F, G) Immunohistochemical staining for CK19 was negative and CK20 showed focal positivity (F: CK10, ×200; G: CK20, ×400).",ad-28-411-g002
28913219,PMC5556795,Microcystic Adnexal Carcinoma Misdiagnosed as Desmoplastic Trichoepithelioma on Preoperative Biopsy.,Arch Craniofac Surg,2023-12-17-22-03-23,Fig. 1,"A 66-year-old woman presented with a slowly but progressively growing mass in the right perioral area. The mass was firm, immovable and consisted of multiple subcutaneous nodules.",acfs-16-43-g001
