pmcid,figure_name,width,height
PMC5786400,abd-92-06-0836-g02.jpg,600,399
PMC5786400,abd-92-06-0836-g01.jpg,600,730
PMC5786400,abd-92-06-0836-g03.jpg,600,400
PMC4155959,abd-89-05-0796-g01.jpg,600,678
PMC4155959,abd-89-05-0796-g05.jpg,600,411
PMC4155959,abd-89-05-0796-g03.jpg,600,389
PMC4155959,abd-89-05-0796-g06.jpg,600,801
PMC4155959,abd-89-05-0796-g04.jpg,600,810
PMC4155959,abd-89-05-0796-g02.jpg,600,666
PMC6726769,10.1177_0300060519859739-table1.jpg,653,724
PMC6726769,10.1177_0300060519859739-fig1.jpg,685,583
PMC6726769,10.1177_0300060519859739-fig2.jpg,670,1438
PMC5556743,acfs-18-46-g003.jpg,746,1120
PMC5556743,acfs-18-46-g002.jpg,746,1119
PMC5556743,acfs-18-46-g004.jpg,717,1611
PMC5556743,acfs-18-46-g001.jpg,746,1119
PMC9081419,acfs-2022-00101f8.jpg,757,497
PMC9081419,acfs-2022-00101f1.jpg,759,500
PMC9081419,acfs-2022-00101f7.jpg,759,498
PMC9081419,acfs-2022-00101f5.jpg,758,497
PMC9081419,acfs-2022-00101f4.jpg,759,497
PMC9081419,acfs-2022-00101f3.jpg,763,500
PMC9081419,acfs-2022-00101f2.jpg,761,497
PMC9081419,acfs-2022-00101f6.jpg,761,495
PMC9525134,cureus-0014-00000028645-i05.jpg,750,563
PMC9525134,cureus-0014-00000028645-i02.jpg,750,624
PMC9525134,cureus-0014-00000028645-i01.jpg,750,464
PMC9525134,cureus-0014-00000028645-i03.jpg,750,563
PMC9525134,cureus-0014-00000028645-i04.jpg,750,563
PMC9525134,cureus-0014-00000028645-i06.jpg,750,563
