pmid,pmcid,title,journal,insert_time,has_targz,disease
21187879,PMC2983077,Aggressive digital papillary adenocarcinoma diagnosed by fine needle aspiration cytology.,J Cytol,2024-02-14-09-13-05,True,Match
24855569,PMC4029249,Papillary adenocarcinoma in situ of the skin: report of four cases.,Dermatol Pract Concept,2024-02-14-09-13-05,True,NotMatch
24964471,PMC3813678,A case report of a rare adnexal tumour: aggressive digital papillary adenocarcinoma.,J Surg Case Rep,2024-02-14-09-13-05,True,Match
25126455,PMC4131995,Is aggressive digital papillary adenocarcinoma really aggressive digital papillary adenocarcinoma?,Dermatol Pract Concept,2024-02-14-09-13-05,True,Match
25588636,PMC4284491,Digital papillary carcinoma.,Korean J Pathol,2024-02-14-09-13-07,True,Match
25848311,PMC4386778,Aggressive digital papillary adenocarcinoma - a rare malignant tumor of the sweat glands: two case reports and a review of the literature.,Clin Cosmet Investig Dermatol,2024-02-14-09-13-05,True,Match
26576210,PMC4644354,Aggressive Digital Papillary Adenocarcinoma.,Eplasty,2024-02-14-09-13-05,True,Match
27428196,PMC4956790,Aggressive papillary adenocarcinoma on atypical localization: A unique case report.,Medicine (Baltimore),2024-02-14-09-13-05,True,NotMatch
27870729,PMC5120768,Aggressive Digital Papillary Adenocarcinoma With Multiple Organ Metastases: A Case Report and Review of the Literature.,Am J Dermatopathol,2024-02-14-09-13-05,True,Match
28421154,PMC5379111,Aggressive Digital Papillary Adenocarcinoma of the Hand Presenting as a Felon.,Case Rep Orthop,2024-02-14-09-13-05,True,Match
30792586,PMC6376506,Aggressive Digital Papillary Adenocarcinoma at Atypical Site.,Clin Med Insights Case Rep,2024-02-14-09-13-05,True,Match
31976065,PMC6970341,A rare case of a digital papillary carcinoma of the hand with secondary conservative management.,J Surg Case Rep,2024-02-14-09-13-07,True,Match
32373694,PMC7195495,Aggressive digital papillary adenocarcinoma and sentinel node biopsy: A case report and literature review.,JPRAS Open,2024-02-14-09-13-05,True,Match
32905077,PMC7465832,Aggressive Digital Papillary Adenocarcinoma Mimicking a Giant Cell Tumour - A Case Report and Review of the Literature.,Cureus,2024-02-14-09-13-05,True,Match
