pmcid,figure_name,width,height
PMC2983077,JCytol-27-109-g002.jpg,659,345
PMC2983077,JCytol-27-109-g001.jpg,572,433
PMC4029249,dp0402a04g001.jpg,700,319
PMC4029249,dp0402a04g003.jpg,650,989
PMC4029249,dp0402a04g002.jpg,700,304
PMC3813678,rjt06504.jpg,600,493
PMC3813678,rjt06502.jpg,750,932
PMC3813678,rjt06503.jpg,600,445
PMC3813678,rjt06501.jpg,650,519
PMC4644354,eplasty15ic60_fig1.jpg,800,600
PMC4644354,eplasty15ic60_fig2.jpg,729,610
PMC4386778,ccid-8-143Fig1.jpg,633,412
PMC4386778,ccid-8-143Fig7.jpg,634,519
PMC4386778,ccid-8-143Fig4.jpg,633,475
PMC4386778,ccid-8-143Fig2.jpg,634,303
PMC4386778,ccid-8-143Fig5.jpg,634,476
PMC4386778,ccid-8-143Fig6.jpg,634,476
PMC4386778,ccid-8-143Fig3.jpg,633,475
PMC4956790,medi-95-e4110-g002.jpg,800,593
PMC4956790,medi-95-e4110-g003.jpg,800,593
PMC4956790,medi-95-e4110-g001.jpg,800,593
PMC4284491,kjpathol-48-6-438f2.jpg,634,458
PMC4284491,kjpathol-48-6-438f1.jpg,604,423
PMC4284491,kjpathol-48-6-438f3.jpg,634,459
PMC5120768,ajd-38-910-g003.jpg,648,497
PMC5120768,ajd-38-910-g001.jpg,648,773
PMC5120768,ajd-38-910-g002.jpg,648,765
PMC6970341,rjz403f2.jpg,450,498
PMC6970341,rjz403f3.jpg,750,386
PMC6970341,rjz403f1.jpg,450,529
PMC6376506,10.1177_1179547619828723-fig3.jpg,574,637
PMC6376506,10.1177_1179547619828723-fig2.jpg,607,487
PMC6376506,10.1177_1179547619828723-fig5.jpg,607,455
PMC6376506,10.1177_1179547619828723-fig4.jpg,607,457
PMC6376506,10.1177_1179547619828723-fig1.jpg,540,718
PMC7195495,gr2.jpg,666,444
PMC7195495,gr1.jpg,714,277
PMC5379111,CRIOR2017-6456342.006.jpg,752,573
PMC5379111,CRIOR2017-6456342.007.jpg,752,331
PMC5379111,CRIOR2017-6456342.001.jpg,752,573
PMC5379111,CRIOR2017-6456342.005.jpg,752,573
PMC5379111,CRIOR2017-6456342.003.jpg,509,752
PMC5379111,CRIOR2017-6456342.002.jpg,752,331
PMC5379111,CRIOR2017-6456342.004.jpg,748,752
PMC7465832,cureus-0012-00000009531-i03.jpg,800,828
PMC7465832,cureus-0012-00000009531-i06.jpg,800,596
PMC7465832,cureus-0012-00000009531-i05.jpg,800,600
PMC7465832,cureus-0012-00000009531-i02.jpg,800,1010
PMC7465832,cureus-0012-00000009531-i01.jpg,800,912
PMC7465832,cureus-0012-00000009531-i04.jpg,800,566
