pmcid,figure_name,width,height
PMC2796414,ymj-50-845-g002.jpg,466,366
PMC2796414,ymj-50-845-g001.jpg,466,420
PMC2796414,ymj-50-845-g003.jpg,465,365
PMC3938371,abd-89-01-0160-g03.jpg,600,490
PMC3938371,abd-89-01-0160-g04.jpg,600,490
PMC3938371,abd-89-01-0160-g02.jpg,600,490
PMC3938371,abd-89-01-0160-g01.jpg,600,795
PMC3481870,IDOJ-3-83-g001.jpg,563,422
PMC3481870,IDOJ-3-83-g004.jpg,563,422
PMC3481870,IDOJ-3-83-g002.jpg,642,855
PMC3481870,IDOJ-3-83-g003.jpg,609,811
PMC4325688,dp0501a05g001.jpg,666,499
PMC4325688,dp0501a05g002.jpg,661,741
PMC4135124,ad-26-547-g001.jpg,622,1196
PMC4135124,ad-26-547-g002.jpg,789,831
PMC3663356,dp0203a10g005a.jpg,644,490
PMC3663356,dp0203a10g004a.jpg,650,442
PMC3663356,dp0203a10g003a.jpg,650,490
PMC3663356,dp0203a10g005b.jpg,647,490
PMC3663356,dp0203a10g004b.jpg,648,442
PMC3663356,dp0203a10g003b.jpg,650,490
PMC3663356,dp0203a10g004d.jpg,650,467
PMC3663356,dp0203a10g004c.jpg,650,467
PMC3663356,dp0203a10g002.jpg,650,538
PMC3663356,dp0203a10g001.jpg,650,547
PMC5108666,ac-32-190-g001.jpg,773,541
PMC5108666,ac-32-190-g003.jpg,773,562
PMC5108666,ac-32-190-g002.jpg,684,432
PMC4695442,ad-27-782-g001.jpg,733,320
PMC4695442,ad-27-782-g002.jpg,789,487
PMC5006550,dp0603a07g003a.jpg,666,500
PMC5006550,dp0603a07g002b.jpg,666,500
PMC5006550,dp0603a07g005b.jpg,666,375
PMC5006550,dp0603a07g003b.jpg,666,500
PMC5006550,dp0603a07g004c.jpg,666,375
PMC5006550,dp0603a07g001a.jpg,666,500
PMC5006550,dp0603a07g004a.jpg,666,375
PMC5006550,dp0603a07g002a.jpg,666,500
PMC5006550,dp0603a07g005a.jpg,666,375
PMC5006550,dp0603a07g003c.jpg,666,500
PMC5006550,dp0603a07g001b.jpg,666,500
PMC5006550,dp0603a07g005c.jpg,666,375
PMC5006550,dp0603a07g004b.jpg,666,375
PMC5803676,dpa-0004-0036-g02.jpg,709,410
PMC5803676,dpa-0004-0036-g01.jpg,710,409
PMC5816271,OAMJMS-6-1-g001.jpg,563,750
PMC5816271,OAMJMS-6-1-g002.jpg,562,749
PMC5816271,OAMJMS-6-1-g003.jpg,561,748
PMC5816271,OAMJMS-6-1-g004.jpg,563,828
PMC6364923,pone.0211318.e006.jpg,68,21
PMC6364923,pone.0211318.g015.jpg,800,374
PMC6364923,pone.0211318.e008.jpg,37,23
PMC6364923,pone.0211318.e007.jpg,248,21
PMC6364923,pone.0211318.g003.jpg,800,381
PMC6364923,pone.0211318.e001.jpg,203,19
PMC6364923,pone.0211318.g011.jpg,800,374
PMC6364923,pone.0211318.t001.jpg,752,464
PMC6364923,pone.0211318.e009.jpg,111,18
PMC6364923,pone.0211318.g020.jpg,800,374
PMC6364923,pone.0211318.g009.jpg,800,381
PMC6364923,pone.0211318.e005.jpg,29,21
PMC6364923,pone.0211318.g016.jpg,800,374
PMC6364923,pone.0211318.g014.jpg,800,374
PMC6364923,pone.0211318.g017.jpg,800,374
PMC6364923,pone.0211318.e003.jpg,337,35
PMC6364923,pone.0211318.g006.jpg,800,342
PMC6364923,pone.0211318.g021.jpg,800,381
PMC6364923,pone.0211318.t003.jpg,752,358
PMC6364923,pone.0211318.g010.jpg,800,346
PMC6364923,pone.0211318.e002.jpg,386,41
PMC6364923,pone.0211318.g022.jpg,800,385
PMC6364923,pone.0211318.g013.jpg,800,374
PMC6364923,pone.0211318.g002.jpg,669,349
PMC6364923,pone.0211318.t004.jpg,752,337
PMC6364923,pone.0211318.g019.jpg,800,374
PMC6364923,pone.0211318.g007.jpg,800,381
PMC6364923,pone.0211318.t002.jpg,752,464
PMC6364923,pone.0211318.g001.jpg,680,512
PMC6364923,pone.0211318.e004.jpg,204,43
PMC6364923,pone.0211318.g005.jpg,800,381
PMC6364923,pone.0211318.g004.jpg,800,381
PMC6364923,pone.0211318.g008.jpg,800,381
PMC6364923,pone.0211318.g012.jpg,800,374
PMC6364923,pone.0211318.g018.jpg,800,374
PMC6364923,pone.0211318.g023.jpg,800,381
PMC6406766,cancers-11-00165-g002.jpg,693,622
PMC6406766,cancers-11-00165-g005.jpg,770,415
PMC6406766,cancers-11-00165-g004.jpg,775,527
PMC6406766,cancers-11-00165-g003.jpg,697,794
PMC6406766,cancers-11-00165-g001.jpg,772,758
PMC6406766,cancers-11-00165-g006.jpg,768,530
PMC6031944,dpa-0005-0053-g03.jpg,696,514
PMC6031944,dpa-0005-0053-g01.jpg,696,510
PMC6031944,dpa-0005-0053-g02.jpg,696,513
PMC6804025,jamanetwopen-2-e1912597-g002.jpg,798,588
PMC6804025,jamanetwopen-2-e1912597-g001.jpg,794,902
PMC6715558,acfs-2019-00283f2.jpg,635,418
PMC6715558,acfs-2019-00283f7.jpg,636,479
PMC6715558,acfs-2019-00283f6.jpg,706,278
PMC6715558,acfs-2019-00283f3.jpg,636,418
PMC6715558,acfs-2019-00283f5.jpg,635,461
PMC6715558,acfs-2019-00283f1.jpg,418,417
PMC6715558,acfs-2019-00283f4.jpg,634,416
PMC8018996,13555_2021_496_Fig3_HTML.jpg,756,273
PMC8018996,13555_2021_496_Fig1_HTML.jpg,614,306
PMC8018996,13555_2021_496_Fig2_HTML.jpg,708,399
PMC7216650,13000_2020_937_Fig4_HTML.jpg,709,930
PMC7216650,13000_2020_937_Fig1_HTML.jpg,709,930
PMC7216650,13000_2020_937_Fig3_HTML.jpg,709,930
PMC7216650,13000_2020_937_Fig2_HTML.jpg,709,930
PMC7992624,ad-32-233-g001.jpg,732,340
PMC7992624,ad-32-233-g002.jpg,732,653
PMC7693127,ol-21-01-12298-g01.jpg,677,657
PMC7693127,ol-21-01-12298-g03.jpg,677,657
PMC7693127,ol-21-01-12298-g05.jpg,677,628
PMC7693127,ol-21-01-12298-g00.jpg,718,380
PMC7693127,ol-21-01-12298-g04.jpg,677,613
PMC7693127,ol-21-01-12298-g02.jpg,718,391
PMC8102720,gr2.jpg,601,451
PMC8102720,gr4.jpg,601,451
PMC8102720,gr3.jpg,601,451
PMC8102720,gr1.jpg,601,451
PMC8224667,diagnostics-11-00936-g001.jpg,779,409
PMC8224667,diagnostics-11-00936-g005.jpg,740,447
PMC8224667,diagnostics-11-00936-g004.jpg,777,863
PMC8224667,diagnostics-11-00936-g002.jpg,703,385
PMC8224667,diagnostics-11-00936-g003.jpg,749,541
PMC8555296,12885_2021_8879_Fig1_HTML.jpg,709,952
PMC8345662,cancers-13-03864-g003.jpg,753,622
PMC8345662,cancers-13-03864-g007.jpg,735,256
PMC8345662,cancers-13-03864-g002.jpg,733,575
PMC8345662,cancers-13-03864-g006.jpg,673,865
PMC8345662,cancers-13-03864-g005.jpg,788,537
PMC8345662,cancers-13-03864-g004.jpg,735,490
PMC8345662,cancers-13-03864-g001.jpg,715,807
PMC8283700,fonc-11-675296-g003.jpg,708,944
PMC8283700,fonc-11-675296-g006.jpg,708,944
PMC8283700,fonc-11-675296-g002.jpg,708,944
PMC8283700,fonc-11-675296-g007.jpg,730,507
PMC8283700,fonc-11-675296-g004.jpg,708,944
PMC8283700,fonc-11-675296-g005.jpg,708,944
PMC8283700,fonc-11-675296-g001.jpg,708,944
PMC8554419,WJCC-9-8498-g004.jpg,666,416
PMC8554419,WJCC-9-8498-g001.jpg,740,275
PMC8554419,WJCC-9-8498-g003.jpg,747,331
PMC8554419,WJCC-9-8498-g002.jpg,740,282
PMC8700467,dermatopathology-08-00055-g002a.jpg,715,307
PMC8700467,dermatopathology-08-00055-g003.jpg,727,736
PMC8700467,dermatopathology-08-00055-g001.jpg,755,430
PMC8700467,dermatopathology-08-00055-g002b.jpg,753,397
PMC8621316,medicina-57-01228-g002.jpg,735,195
PMC8621316,medicina-57-01228-g003.jpg,785,233
PMC8621316,medicina-57-01228-g001.jpg,729,227
