pmid,pmcid,title,journal,insert_time,label,caption,graphic
11850604,PMC3054840,Development of multiple pigmented nevi within segmental nevus depigmentosus.,J Korean Med Sci,2023-12-17-22-13-02,,,
1931621,PMC1977446,Correlation of clinical pigmentary characteristics with histopathologically-confirmed dysplastic nevi in nonfamilial melanoma patients. Studies of melanocytic nevi IX.,Br J Cancer,2023-12-17-22-13-02,,,
20046428,PMC2796414,A case of dysplastic nevus of the external auditory canal presenting with conductive hearing loss.,Yonsei Med J,2023-12-17-22-13-02,Fig. 1,Endoscopic image reveals a dome-shaped papular mass arising from the left cartilaginous ear canal's posterior wall.,ymj-50-845-g001
20046428,PMC2796414,A case of dysplastic nevus of the external auditory canal presenting with conductive hearing loss.,Yonsei Med J,2023-12-17-22-13-02,Fig. 2,"Histopathologic findings of the mass showing nests of nevus cells in the dermis covered with normal skin (Hematoxylin-eosin, original magnification ×10).",ymj-50-845-g002
20046428,PMC2796414,A case of dysplastic nevus of the external auditory canal presenting with conductive hearing loss.,Yonsei Med J,2023-12-17-22-13-02,Fig. 3,"Histopathologic findings of the mass showing scattered clusters which were composed of round to oval shaped melanocytic cells (black arrow) (Hematoxylin-eosin, original magnification ×200).",ymj-50-845-g003
21834951,PMC3162533,FISH as an effective diagnostic tool for the management of challenging melanocytic lesions.,Diagn Pathol,2023-12-17-22-13-02,,,
23130279,PMC3481870,On the clinical significance of cutaneous melanoma's precursors.,Indian Dermatol Online J,2023-12-17-22-13-02,Figure 1,Dysplastic nevus syndrome,IDOJ-3-83-g001
23130279,PMC3481870,On the clinical significance of cutaneous melanoma's precursors.,Indian Dermatol Online J,2023-12-17-22-13-02,Figure 2,Early melanoma,IDOJ-3-83-g002
23130279,PMC3481870,On the clinical significance of cutaneous melanoma's precursors.,Indian Dermatol Online J,2023-12-17-22-13-02,Figure 3,Giant congenital nevus,IDOJ-3-83-g003
23130279,PMC3481870,On the clinical significance of cutaneous melanoma's precursors.,Indian Dermatol Online J,2023-12-17-22-13-02,Figure 4,Superficial spreading melanoma,IDOJ-3-83-g004
