pmcid,figure_name,width,height
PMC8423203,JCAS-14-238-g002.jpg,750,708
PMC8423203,JCAS-14-238-g003.jpg,800,241
PMC8423203,JCAS-14-238-g001.jpg,646,482
PMC9200037,JNMA-59-244-1307-g3.jpg,750,188
PMC9200037,JNMA-59-244-1307-g2.jpg,460,382
PMC9200037,JNMA-59-244-1307-g1.jpg,455,300
PMC3687171,JOMFP-17-136-g004.jpg,720,538
PMC3687171,JOMFP-17-136-g001.jpg,718,535
PMC3687171,JOMFP-17-136-g003.jpg,717,534
PMC3687171,JOMFP-17-136-g002.jpg,714,538
PMC3687171,JOMFP-17-136-g005.jpg,718,538
PMC4456892,IJABMR-5-145-g002.jpg,786,588
PMC4456892,IJABMR-5-145-g004.jpg,767,589
PMC4456892,IJABMR-5-145-g001.jpg,534,390
PMC4456892,IJABMR-5-145-g003.jpg,539,375
PMC4456892,IJABMR-5-145-g005.jpg,782,587
