pmid,pmcid,title,journal,insert_time,label,caption,graphic
23798849,PMC3687171,Clear cell hidradenoma: An unusual tumor of the oral cavity.,J Oral Maxillofac Pathol,2023-12-17-22-02-27,Figure 1,"Macroscopy shows whitish, oval shaped specimen measuring around 1.5×1 cm (inset: cut section showed a cystic cavity with yellow viscous fluid)",JOMFP-17-136-g001
23798849,PMC3687171,Clear cell hidradenoma: An unusual tumor of the oral cavity.,J Oral Maxillofac Pathol,2023-12-17-22-02-27,Figure 2,"Tumor exhibiting cellular areas and cystic spaces (H and E, ×40)",JOMFP-17-136-g002
23798849,PMC3687171,Clear cell hidradenoma: An unusual tumor of the oral cavity.,J Oral Maxillofac Pathol,2023-12-17-22-02-27,Figure 3,"Tumor composed of two cell population of epidermoid and clear cells. Epidermoid cells show faintly eosinophillic granular cytoplasm and clear cell are large round with small dark nuclei lining duct like spaces (H and E, ×100)",JOMFP-17-136-g003
23798849,PMC3687171,Clear cell hidradenoma: An unusual tumor of the oral cavity.,J Oral Maxillofac Pathol,2023-12-17-22-02-27,Figure 4,"Cystic epithelium consisting of 2-3 layers of cuboidal cells (H and E, ×40)",JOMFP-17-136-g004
23798849,PMC3687171,Clear cell hidradenoma: An unusual tumor of the oral cavity.,J Oral Maxillofac Pathol,2023-12-17-22-02-27,Figure 5,"Connective tissue stroma showing melanin pigment and inflammatory cell infiltrate (H and E, ×100)",JOMFP-17-136-g005
26097826,PMC4456892,Cytological features of malignant eccrine acrospiroma presenting as a soft tissue mass axilla: A rare sweat gland tumor with histologic correlation.,Int J Appl Basic Med Res,2023-12-17-22-02-27,Figure 1a,"Fine-needle aspiration smears showing cohesive cell clusters of malignant cells composed of two cell population; polyhedral cells with dense basophilic cytoplasm along with cells with clear cytoplasm. (MGG stain, ×200)",IJABMR-5-145-g001
26097826,PMC4456892,Cytological features of malignant eccrine acrospiroma presenting as a soft tissue mass axilla: A rare sweat gland tumor with histologic correlation.,Int J Appl Basic Med Res,2023-12-17-22-02-27,Figure 1b,"High power view revealing highly pleomorphic atypical basaloid cells, bi- and multinucleated tumor cells with atypical mitotic figure (arrow). (MGG stain, ×400)",IJABMR-5-145-g002
26097826,PMC4456892,Cytological features of malignant eccrine acrospiroma presenting as a soft tissue mass axilla: A rare sweat gland tumor with histologic correlation.,Int J Appl Basic Med Res,2023-12-17-22-02-27,Figure 1c,Gross photograph showing a well-circumscribed mass covered with ulcerated skin,IJABMR-5-145-g003
26097826,PMC4456892,Cytological features of malignant eccrine acrospiroma presenting as a soft tissue mass axilla: A rare sweat gland tumor with histologic correlation.,Int J Appl Basic Med Res,2023-12-17-22-02-27,Figure 1d,"Tissue section depicting solid lobules of tumor cells showing two cell population. (H and E stain, ×40)",IJABMR-5-145-g004
26097826,PMC4456892,Cytological features of malignant eccrine acrospiroma presenting as a soft tissue mass axilla: A rare sweat gland tumor with histologic correlation.,Int J Appl Basic Med Res,2023-12-17-22-02-27,Figure 2,"Tissue section showing highly pleomorphic tumor cells with clear cytoplasm. Note numerous atypical mitotic figures. (H and E stain, × 400) Inset shows high glycogen content of clear cells. (Periodic acid- schiff stain, ×400)",IJABMR-5-145-g005
34566370,PMC8423203,Giant eccrine acrospiroma of the scalp.,J Cutan Aesthet Surg,2023-12-17-22-02-27,Figure 1,(A) Left-side scalp swelling. (B) Brilliantly transilluminant,JCAS-14-238-g001
34566370,PMC8423203,Giant eccrine acrospiroma of the scalp.,J Cutan Aesthet Surg,2023-12-17-22-02-27,Figure 2,CT head showing tumor arising from skin overlying the scalp,JCAS-14-238-g002
34566370,PMC8423203,Giant eccrine acrospiroma of the scalp.,J Cutan Aesthet Surg,2023-12-17-22-02-27,Figure 3,"(A) Stromal hyalinization (HandE, 100x). (B) Cells with clear cytoplasm (HandE, 100x). (C) Polygonal cells with round to oval nuclei and eosinophilic cytoplasm and ducts (arrow) (HandE, 200x)",JCAS-14-238-g003
35199797,PMC9200037,Recurrent Eccrine Acrospiroma of the Parotid Region: A Case Report.,JNMA J Nepal Med Assoc,2023-12-17-22-02-27,Figure 1,"A) Preoperative clinical picture, B) Follow up after 1 year showing well healed surgical site.",JNMA-59-244-1307-g1
35199797,PMC9200037,Recurrent Eccrine Acrospiroma of the Parotid Region: A Case Report.,JNMA J Nepal Med Assoc,2023-12-17-22-02-27,Figure 2,T2 weighted Contrast enhanced MRI showing lesion (asterisk) & loss of fat planes with parotid tissue (black arrow).,JNMA-59-244-1307-g2
35199797,PMC9200037,Recurrent Eccrine Acrospiroma of the Parotid Region: A Case Report.,JNMA J Nepal Med Assoc,2023-12-17-22-02-27,Figure 3,A. Incision Markings. B. Skin defect after excision of tumor. C. Excised specimen.,JNMA-59-244-1307-g3
