pmcid,figure_name,width,height
PMC3371531,IJD-57-225-g001.jpg,547,488
PMC3371531,IJD-57-225-g003.jpg,562,407
PMC3371531,IJD-57-225-g002.jpg,562,407
PMC3401855,IJD-57-313-g002.jpg,563,343
PMC3401855,IJD-57-313-g005.jpg,510,57
PMC3401855,IJD-57-313-g004.jpg,562,406
PMC3401855,IJD-57-313-g003.jpg,640,610
PMC3401855,IJD-57-313-g001.jpg,510,57
PMC3199432,ad-23-S84-g001.jpg,467,255
PMC3199432,ad-23-S84-g002.jpg,469,306
PMC3199432,ad-23-S84-i001.jpg,669,269
PMC3199432,ad-23-S84-g003.jpg,467,349
PMC4103282,IJD-59-403-g001.jpg,551,403
PMC4103282,IJD-59-403-g002.jpg,639,605
PMC4103282,IJD-59-403-g004.jpg,556,395
PMC4103282,IJD-59-403-g003.jpg,530,605
PMC3229070,ad-23-S218-g002.jpg,484,372
PMC3229070,ad-23-S218-i001.jpg,429,327
PMC3229070,ad-23-S218-g003.jpg,644,248
PMC3229070,ad-23-S218-g001.jpg,481,404
PMC3229070,ad-23-S218-g004.jpg,481,236
PMC3229070,ad-23-S218-g005.jpg,476,324
PMC3662915,ad-25-208-g001.jpg,625,453
PMC3662915,ad-25-208-g002.jpg,625,453
PMC3662915,ad-25-208-g004.jpg,547,547
PMC3662915,ad-25-208-g003.jpg,735,366
PMC3662915,ad-25-208-i001.jpg,1200,456
PMC3662915,ad-25-208-i002.jpg,1200,522
PMC4325700,dp0501a17g002.jpg,666,508
PMC4325700,dp0501a17g003.jpg,666,506
PMC4325700,dp0501a17g001.jpg,666,567
PMC4608655,cde-0007-0233-g02.jpg,694,523
PMC4608655,cde-0007-0233-g01.jpg,693,554
PMC5286766,IJD-62-99-g001.jpg,539,273
PMC5286766,IJD-62-99-g002.jpg,539,205
PMC5134173,IDOJ-7-533-g001.jpg,539,354
PMC5134173,IDOJ-7-533-g002.jpg,539,432
PMC5134173,IDOJ-7-533-g003.jpg,539,356
PMC5956868,IDOJ-9-188-g001.jpg,539,713
PMC5956868,IDOJ-9-188-g003.jpg,539,404
PMC5956868,IDOJ-9-188-g002.jpg,539,202
PMC5789522,gr2.jpg,722,406
PMC5789522,gr3.jpg,715,480
PMC5789522,gr1.jpg,722,963
PMC7067514,cureus-0012-00000006955-i03.jpg,800,450
PMC7067514,cureus-0012-00000006955-i02.jpg,800,450
PMC7067514,cureus-0012-00000006955-i01.jpg,800,450
PMC6143715,gr2.jpg,602,451
PMC6143715,gr3.jpg,747,291
PMC6143715,gr1.jpg,602,451
PMC8088168,IDOJ-12-368-g001.jpg,539,690
PMC8088168,IDOJ-12-368-g002.jpg,539,424
PMC8426164,gr2.jpg,711,281
PMC8426164,gr1.jpg,602,355
PMC8530048,IJD-66-431-g002.jpg,539,404
PMC8530048,IJD-66-431-g003.jpg,539,404
PMC8530048,IJD-66-431-g001.jpg,440,586
PMC8530048,IJD-66-431-g004.jpg,539,404
PMC8530048,IJD-66-431-g005.jpg,539,452
PMC8530048,IJD-66-431-g006.jpg,440,587
PMC6386355,ccid-12-123Fig5.jpg,650,653
PMC6386355,ccid-12-123Fig6.jpg,654,519
PMC6386355,ccid-12-123Fig4.jpg,709,709
PMC6386355,ccid-12-123Fig2.jpg,709,709
PMC6386355,ccid-12-123Fig1.jpg,654,654
PMC6386355,ccid-12-123Fig3.jpg,709,533
PMC9473670,cureus-0014-00000028030-i02.jpg,750,588
PMC9473670,cureus-0014-00000028030-i01.jpg,750,442
PMC9616610,cureus-0014-00000029713-i01.jpg,750,422
PMC9616610,cureus-0014-00000029713-i04.jpg,750,422
PMC9616610,cureus-0014-00000029713-i02.jpg,750,422
PMC9616610,cureus-0014-00000029713-i03.jpg,750,422
PMC9681171,dp1204a161g001.jpg,767,534
PMC9036200,dermatopathology-09-00012-g004.jpg,744,396
PMC9036200,dermatopathology-09-00012-g001.jpg,772,185
PMC9036200,dermatopathology-09-00012-g003.jpg,712,384
PMC9036200,dermatopathology-09-00012-g002.jpg,732,305
PMC9036200,dermatopathology-09-00012-g005.jpg,711,334
PMC9055288,cureus-0014-00000023669-i02.jpg,750,563
PMC9055288,cureus-0014-00000023669-i04.jpg,750,563
PMC9055288,cureus-0014-00000023669-i03.jpg,750,563
PMC9055288,cureus-0014-00000023669-i01.jpg,750,563
PMC10034269,10.1177_2050313X231161440-img1.jpg,61,61
PMC10034269,10.1177_2050313X231161440-fig5.jpg,604,448
PMC10034269,10.1177_2050313X231161440-fig1.jpg,604,550
PMC10034269,10.1177_2050313X231161440-fig3.jpg,638,363
PMC10034269,10.1177_2050313X231161440-fig4.jpg,604,344
PMC10034269,10.1177_2050313X231161440-fig2.jpg,604,570
PMC10034269,10.1177_2050313X231161440-fig6.jpg,604,457
