pmcid,figure_name,width,height
PMC4029249,dp0402a04g001.jpg,700,319
PMC4029249,dp0402a04g003.jpg,650,989
PMC4029249,dp0402a04g002.jpg,700,304
PMC8061640,JCAS-13-370-g002.jpg,752,354
PMC8061640,JCAS-13-370-g001.jpg,750,209
PMC6705341,amjcaserep-20-1195-g001.jpg,660,660
PMC6705341,amjcaserep-20-1195-g002.jpg,660,660
PMC6705341,amjcaserep-20-1195-g003.jpg,720,396
PMC4894790,ajd-37-0885-g002.jpg,1200,668
PMC4894790,ajd-37-0885-g003.jpg,706,288
PMC4894790,ajd-37-0885-g005.jpg,705,286
PMC4894790,ajd-37-0885-g001.jpg,705,286
PMC4894790,ajd-37-0885-g004.jpg,1200,440
