pmid,pmcid,title,journal,insert_time
16479087,PMC2733970,Giant vascular eccrine spiradenoma: report of a case with immunohistochemical study.,J Korean Med Sci,2023-12-17-22-02-29
20101314,PMC2807158,Malignant eccrine spiradenoma on the lateral margin of nose as an infrequent localization.,Indian J Dermatol,2023-12-17-22-02-29
21430945,PMC3052619,Eccrine spiradenoma arising in the breast misdiagnosed as an epidermal inclusion cyst.,Korean J Radiol,2023-12-17-22-02-29
21938152,PMC3167993,Glomus tumor mimicking eccrine spiradenoma on fine needle aspiration.,J Cytol,2023-12-17-22-02-29
22148049,PMC3229064,Giant vascular eccrine spiradenoma.,Ann Dermatol,2023-12-17-22-02-29
22493654,PMC3318883,Direct intracranial extension of malignant eccrine spiradenoma of the face.,J Clin Med Res,2023-12-17-22-02-29
24118397,PMC4065362,Infiltrative recurrent eccrine spiradenoma of the anterior neck treated using Mohs micrographic surgery.,Dermatol Surg,2023-12-17-22-02-29
25187803,PMC4151667,Differential diagnosis of eccrine spiradenoma: A case report.,Exp Ther Med,2023-12-17-22-02-29
25284865,PMC4171928,Eccrine spiradenoma in knee.,Indian J Dermatol,2023-12-17-22-02-29
25289292,PMC4174216,Cystic eccrine spiradenoma of the finger mimicking a ganglion.,Plast Reconstr Surg Glob Open,2023-12-17-22-02-29
25328342,PMC4196363,Fine needle aspiration cytology of eccrine spiradenoma of back: report of a rare case.,J Lab Physicians,2023-12-17-22-02-29
25878450,PMC4387699,A serpentine inside eccrine spiradenoma: a new trichoscopic sign.,Int J Trichology,2023-12-17-22-02-29
26236527,PMC4508467,Eccrine Spiradenoma Arising from the Breast Skin.,Case Rep Pathol,2023-12-17-22-02-29
26273161,PMC4530155,Multiple Segmental Eccrine Spiradenoma with a Zosteriform Pattern: A Case Report and Literature Review.,Ann Dermatol,2023-12-17-22-02-29
26318134,PMC4601958,Malignant eccrine breast spiradenoma. A case report and literature review.,Int J Surg Case Rep,2023-12-17-22-02-29
26500731,PMC4600993,Locally Advanced Spiroadenocarcinoma in the Regional Axilla of a Breast Cancer Patient: Hallmarks of Definitive Diagnosis and Management.,Rare Tumors,2023-12-17-22-02-29
26904446,PMC4738512,Zosteriform spiradenoma with spiradenocarcinoma: A rare entity.,Indian Dermatol Online J,2023-12-17-22-02-29
27069311,PMC4803810,A rare case of eccrine spiradenoma-treatment and management.,Eur J Plast Surg,2023-12-17-22-02-29
28182081,PMC5259928,Cytopathologic features of an unusual case of multiple eccrine spiradenomas misdiagnosed as a malignant round cell tumor.,J Cytol,2023-12-17-22-02-29
28761313,PMC5500730,A Case of Eccrine Spiradenoma: A Rarely Seen Soft Tissue Tumor on the Extensor Surface of Arm.,Ann Dermatol,2023-12-17-22-02-29
29090205,PMC5647852,Eccrine Spiradenoma of the Scalp.,Arch Craniofac Surg,2023-12-17-22-02-29
30241087,PMC6146587,A rare case of Brooke-Spiegler syndrome: integrated surgical treatment of multiple giant eccrine spiradenomas of the head and neck in a young girl.,Int J Surg Case Rep,2023-12-17-22-02-29
30455896,PMC6230602,Malignant transformation of a spiradenoma with blaschkoïd pattern.,Clin Case Rep,2023-12-17-22-02-29
31799485,PMC6881652,Giant vascular eccrine spiradenoma presenting as a thrombosed varix.,J Vasc Surg Cases Innov Tech,2023-12-17-22-02-29
32169099,PMC7071686,"Low grade malignant eccrine spiradenoma of the vulva: case report, review of the literature and discussion about the role of p53 and HPV.",Diagn Pathol,2023-12-17-22-02-29
32190505,PMC7067514,Foreign Body (Solder) and Reaction to the Foreign Body Presenting As a Cutaneous Tender Tumor: Case Report and a New Acronym to Aid in Recalling the Differential Diagnosis of Painful Skin Lesions.,Cureus,2023-12-17-22-02-29
33469512,PMC7813981,Malignant Eccrine Spiradenoma of the External Auditory Canal: A Case Report and Literature Review.,Front Oncol,2023-12-17-22-02-29
33532153,PMC7845752,Malignant Eccrine Adenoma With Sarcomatous (Heterologous) Components: Report of a Rare Skin Adnexal Neoplasm With Literature Review.,Cureus,2023-12-17-22-02-29
33832160,PMC8036088,Ultrasonographic features of eccrine spiradenoma: A case report.,Medicine (Baltimore),2023-12-17-22-02-29
33941210,PMC8091673,Giant vascular eccrine spiradenoma: the first case in the scrotum and review of the literature author.,Diagn Pathol,2023-12-17-22-02-29
34986808,PMC8734260,Acquired nasolacrimal duct obstruction: clinical and histological findings of 275 cases.,BMC Ophthalmol,2023-12-17-22-02-29
35717180,PMC9206259,Direct intracranial invasion of eccrine spiradenocarcinoma of the scalp: a case report and literature review.,BMC Neurol,2023-12-17-22-02-29
35733843,PMC9210272,Benign eccrine spiradenoma imitating a nerve sheath tumor: illustrative case.,J Neurosurg Case Lessons,2023-12-17-22-02-29
36120217,PMC9473670,Intravenous Lobular Capillary Hemangioma: A Case Report and Proposal for New Cutaneous Tender Tumor Differential Diagnosis Acronym.,Cureus,2023-12-17-22-02-29
36321023,PMC9616610,Tender Cutaneous Neoplasms: Case Reports of Patients With a Symptomatic Dermatofibroma and a New Acrostic for Painful Tumors of the Skin.,Cureus,2023-12-17-22-02-29
36478982,PMC9720237,A purplish plaque and multiple nodules on the arm.,JAAD Case Rep,2023-12-17-22-02-29
36750462,PMC9905852,Lymphangiectatic Variant of Low-Grade Malignant Eccrine Spiradenoma.,Ann Dermatol,2023-12-17-22-02-29
37213983,PMC10198707,Soft Tissue Benign Hand Masses in the First Web Space: A Retrospective Case Series.,Cureus,2023-12-17-22-02-29
37292109,PMC10246931,Malignant Eccrine Spiradenoma of the Posterior Scalp: An Odd Presentation.,Cureus,2023-12-17-22-02-29
37293338,PMC10244048,Successful surgical removal of a cutaneous lesion compatible with gigantic vascular eccrine spiradenoma: a rare case report.,J Surg Case Rep,2023-12-17-22-02-29
37517252,PMC10400849,Bilobed flap technique as alternative for patient with eccrine spiradenoma: A rare case report.,Int J Surg Case Rep,2023-12-17-22-02-29
37976721,PMC10684999,Eccrine spiradenoma of nose: Surgical case report.,Int J Surg Case Rep,2023-12-17-22-02-29
9610621,PMC3054479,Malignant eccrine spiradenoma with florid squamous differentiation.,J Korean Med Sci,2023-12-17-22-02-29
