pmcid,label,caption,graphic,disease,modality
PMC2807158,Figure 1,Appearence of the lesion on lateral part of nose and anteriorinferior aspect of medial canthus,IJD-54-173-g001,NotMatch,NotMatch
PMC2807158,Figure 2,"Nodular tumor located in dermis. Note that the heavy infiltration by lymphocytes is mainly present at the peripheral portions of the tumor (H&E, ×20)",IJD-54-173-g002,NotMatch,Match
PMC2807158,Figure 3,"Solid areas of the tumor composed of malignant cells with nuclear atypia and high mitotic figures (left). The other component resembled an ecrine spiradenoma; with two distinct cell proliferation and tubule formations (right) (H&E, ×100)",IJD-54-173-g003,Match,Match
PMC2807158,Figure 4,"Focal tumor cell necrosis is seen through out the tumor (H&E, ×200)",IJD-54-173-g004,NotMatch,Match
PMC3052619,Fig. 1,"Eccrine spiradenoma arising in breast in 47-year-old woman.A, B. Routine mammography was performed and this showed two well-defined nodular densities in left upper central quadrant. C, D. Breast US was performed on first visit three years previously (C). US demonstrated presence of three well-defined, oval-shaped, homogenously hypoechoic masses within skin layer (white stars), with sizes of 9 × 4 mm, 8 × 5 mm and 4 × 2 mm, and mild posterior acoustic enhancement. As compared to previous US, current breast US (D) shows presence of masses that have apparently increased in size in skin and subcutaneous layer. Maximum diameter of masses had increased from 9 to 17 mm and from 8 to 9 mm. More importantly, three masses are surrounded by echogenic lines (white arrows) that represent dermal layer. This appearance suggests cutaneous lesion. E-H. Breast MRI demonstrates well-defined masses in left breast with low signal intensity on axial T1-weighted images (repetition time [TR]/echo time [TE]: 4.6/1.7) (E), intermediate- to low-signal intensity on T2-weighted turbo spin echo (TSE) images (TR/TE: 3800/90) (F), high signal intensity on turbo inversion recovery magnitude image (TIRM, TR/TE/inversion time [TI]: 5620/88/230) (G), and fat-suppressed gadolinium-enhanced T1-wighted image shows masses with homogeneous enhancement and linear structure that is biopsy needle track from skin to masses (H). I. Surgical specimen is 3.8 × 3.0 × 2.0 cm skin tissue specimen attached to breast tissue. There are two well-defined, yellow-white solid masses, 1.4 × 1.0 × 0.8 cm and 1.0 × 1.0 × 0.8 cm in size (arrows). J, K. Photomicrograph of specimen (Hematoxylin & Eosin staining) demonstrates eccrine spiradenoma composed of characteristic double population of outer small cells with darkly staining nuclei surrounding larger cells with pale cytoplasm and tightly packed cells arranged in jigsaw puzzle pattern without epidermal connections (original magnification, × 100 & × 400, respectively).",kjr-12-256-g001,Match,Match
PMC3167993,Figure 1,"Microphotograph showing clusters of round-to-oval cells (MGG, ×100). Inset showing wisps of magenta-colored material (MGG, ×400)",JCytol-26-46-g001,NotMatch,Match
PMC3167993,Figure 2,"Microphotograph showing spindle-shaped endothelial cells (arrow) crossing a cluster of tumor cells (MGG, ×400)",JCytol-26-46-g002,NotMatch,NotMatch
PMC3167993,Figure 3,"Histopathologic sections showing nests and sheets of tumor cells around endothelium-lined small blood vessels (Hand E, ×100)",JCytol-26-46-g003,NotMatch,Match
PMC2733970,Fig. 1,"A 2 cm sized, erythematous to violaceous hemispheric nodule on the left side of lower back.",jkms-21-172-g001,NotMatch,NotMatch
PMC2733970,Fig. 2,"A large well-circumscribed encapsulated lobule in the dermis. The abundant stroma shows greatly dilated vascular spaces containing pale pinkish lymph fluid and red blood cells (H&E, ×20).",jkms-21-172-g002,NotMatch,Match
