pmcid,figure_name,width,height
PMC3052619,kjr-12-256-g001.jpg,663,1469
PMC2807158,IJD-54-173-g004.jpg,606,455
PMC2807158,IJD-54-173-g003.jpg,606,455
PMC2807158,IJD-54-173-g002.jpg,605,455
PMC2807158,IJD-54-173-g001.jpg,650,455
PMC3167993,JCytol-26-46-g003.jpg,743,520
PMC3167993,JCytol-26-46-g002.jpg,743,520
PMC3167993,JCytol-26-46-g001.jpg,742,520
PMC2733970,jkms-21-172-g006.jpg,472,472
PMC2733970,jkms-21-172-i002.jpg,635,187
PMC2733970,jkms-21-172-g001.jpg,473,473
PMC2733970,jkms-21-172-g005.jpg,472,472
PMC2733970,jkms-21-172-g003.jpg,473,473
PMC2733970,jkms-21-172-g004.jpg,635,608
PMC2733970,jkms-21-172-i003.jpg,420,211
PMC2733970,jkms-21-172-i001.jpg,635,96
PMC2733970,jkms-21-172-g002.jpg,473,473
PMC3318883,jocmr-01-181-g001.jpg,453,421
PMC3318883,jocmr-01-181-g002.jpg,511,453
PMC4065362,dsu0039-1711-f2.jpg,564,423
PMC4065362,dsu0039-1711-f1.jpg,618,414
PMC4065362,dsu0039-1711-f3.jpg,618,414
PMC3229064,ad-23-S197-g002.jpg,645,251
PMC3229064,ad-23-S197-i001.jpg,668,145
PMC3229064,ad-23-S197-g001.jpg,481,272
PMC4171928,IJD-59-513-g004.jpg,543,404
PMC4171928,IJD-59-513-g001.jpg,526,404
PMC4171928,IJD-59-513-g002.jpg,511,401
PMC4171928,IJD-59-513-g003.jpg,538,404
PMC4174216,gox-2-e095-g004.jpg,800,598
PMC4174216,gox-2-e095-g002.jpg,800,522
PMC4174216,gox-2-e095-g003.jpg,800,597
PMC4174216,gox-2-e095-g001.jpg,800,1072
PMC4196363,JLP-6-130-g001.jpg,721,537
PMC4196363,JLP-6-130-g003.jpg,556,242
PMC4196363,JLP-6-130-g004.jpg,741,274
PMC4196363,JLP-6-130-g002.jpg,551,256
PMC4387699,IJT-7-38-g004.jpg,454,586
PMC4387699,IJT-7-38-g001.jpg,539,404
PMC4387699,IJT-7-38-g003.jpg,608,587
PMC4387699,IJT-7-38-g002.jpg,734,573
PMC4151667,ETM-08-04-1097-g06.jpg,708,217
PMC4151667,ETM-08-04-1097-g05.jpg,732,299
PMC4151667,ETM-08-04-1097-g07.jpg,708,221
PMC4151667,ETM-08-04-1097-g00.jpg,602,437
PMC4151667,ETM-08-04-1097-g01.jpg,646,436
PMC4151667,ETM-08-04-1097-g04.jpg,602,602
PMC4151667,ETM-08-04-1097-g08.jpg,708,204
PMC4151667,ETM-08-04-1097-g09.jpg,708,206
PMC4151667,ETM-08-04-1097-g10.jpg,708,208
PMC4151667,ETM-08-04-1097-g02.jpg,602,602
PMC4151667,ETM-08-04-1097-g03.jpg,602,602
PMC4530155,ad-27-435-g002.jpg,789,300
PMC4530155,ad-27-435-g001.jpg,622,410
PMC4530155,ad-27-435-i001.jpg,1200,788
PMC4600993,rt-2015-3-5912-g001.jpg,500,393
PMC4600993,rt-2015-3-5912-g002.jpg,500,159
PMC4508467,CRIPA2015-615158.001.jpg,755,806
PMC4508467,CRIPA2015-615158.002.jpg,762,814
PMC4601958,gr2.jpg,666,518
PMC4601958,gr4.jpg,666,500
PMC4601958,gr3.jpg,666,500
PMC4601958,gr5.jpg,666,500
PMC4601958,gr1.jpg,600,989
PMC4738512,IDOJ-6-30-g001.jpg,539,394
PMC4738512,IDOJ-6-30-g003.jpg,539,403
PMC4738512,IDOJ-6-30-g005.jpg,539,403
PMC4738512,IDOJ-6-30-g002.jpg,539,556
PMC4738512,IDOJ-6-30-g004.jpg,539,402
PMC5259928,JCytol-34-39-g001.jpg,779,586
PMC5259928,JCytol-34-39-g002.jpg,788,586
PMC5259928,JCytol-34-39-g003.jpg,779,586
PMC5259928,JCytol-34-39-g004.jpg,1010,508
PMC4803810,238_2015_1103_Fig7_HTML.jpg,788,569
PMC4803810,238_2015_1103_Fig2_HTML.jpg,788,1509
PMC4803810,238_2015_1103_Fig1_HTML.jpg,742,412
PMC4803810,238_2015_1103_Fig6_HTML.jpg,788,510
PMC4803810,238_2015_1103_Fig5_HTML.jpg,789,929
PMC4803810,238_2015_1103_Fig4_HTML.jpg,788,941
PMC4803810,238_2015_1103_Fig3_HTML.jpg,788,443
PMC5647852,acfs-18-211-g002.jpg,754,566
PMC5647852,acfs-18-211-g001.jpg,754,596
PMC5647852,acfs-18-211-g003.jpg,725,1107
PMC5500730,ad-29-519-g001.jpg,789,607
PMC5500730,ad-29-519-i001.jpg,783,1666
PMC6230602,CCR3-6-2086-g002.jpg,709,450
PMC6230602,CCR3-6-2086-g001.jpg,709,531
PMC6230602,CCR3-6-2086-g003.jpg,709,319
PMC6146587,gr2.jpg,666,1043
PMC6146587,gr4.jpg,722,722
PMC6146587,gr3.jpg,722,981
PMC6146587,gr1.jpg,714,716
PMC7071686,13000_2020_945_Fig1_HTML.jpg,778,421
PMC7071686,13000_2020_945_Fig2_HTML.jpg,709,383
PMC6881652,gr2.jpg,654,408
PMC6881652,gr3.jpg,664,1002
PMC6881652,gr1.jpg,664,894
PMC7067514,cureus-0012-00000006955-i03.jpg,800,450
PMC7067514,cureus-0012-00000006955-i02.jpg,800,450
PMC7067514,cureus-0012-00000006955-i01.jpg,800,450
PMC7813981,fonc-10-574112-g001.jpg,703,234
PMC7813981,fonc-10-574112-g002.jpg,677,451
PMC8036088,medi-100-e25469-g001.jpg,800,455
PMC8091673,13000_2021_1073_Fig3_HTML.jpg,596,596
PMC8091673,13000_2021_1073_Fig1_HTML.jpg,787,395
PMC8091673,13000_2021_1073_Fig2_HTML.jpg,787,394
PMC7845752,cureus-0012-00000012390-i03.jpg,800,331
PMC7845752,cureus-0012-00000012390-i01.jpg,800,599
PMC7845752,cureus-0012-00000012390-i02.jpg,800,599
PMC8734260,12886_2021_2185_Fig2_HTML.jpg,708,708
PMC8734260,12886_2021_2185_Fig1_HTML.jpg,777,777
PMC8734260,12886_2021_2185_Fig3_HTML.jpg,777,518
PMC9473670,cureus-0014-00000028030-i02.jpg,750,588
PMC9473670,cureus-0014-00000028030-i01.jpg,750,442
PMC9206259,12883_2022_2749_Fig4_HTML.jpg,777,388
PMC9206259,12883_2022_2749_Fig1_HTML.jpg,777,290
PMC9206259,12883_2022_2749_Fig3_HTML.jpg,776,392
PMC9206259,12883_2022_2749_Fig2_HTML.jpg,786,604
PMC9210272,CASE21505f2.jpg,750,223
PMC9210272,CASE21505f1.jpg,666,190
PMC9210272,CASE21505f3.jpg,800,199
PMC9616610,cureus-0014-00000029713-i01.jpg,750,422
PMC9616610,cureus-0014-00000029713-i04.jpg,750,422
PMC9616610,cureus-0014-00000029713-i02.jpg,750,422
PMC9616610,cureus-0014-00000029713-i03.jpg,750,422
PMC9720237,gr2.jpg,602,800
PMC9720237,gr3.jpg,712,534
PMC9720237,gr1.jpg,602,452
PMC10198707,cureus-0015-00000037847-i04.jpg,750,552
PMC10198707,cureus-0015-00000037847-i03.jpg,750,548
PMC10198707,cureus-0015-00000037847-i01.jpg,750,839
PMC10198707,cureus-0015-00000037847-i02.jpg,750,480
PMC10244048,rjad259f1.jpg,445,1650
PMC10244048,rjad259f2.jpg,500,582
PMC10244048,rjad259f3.jpg,633,423
PMC10246931,cureus-0015-00000040033-i02.jpg,750,971
PMC10246931,cureus-0015-00000040033-i01.jpg,750,971
PMC10400849,gr2.jpg,677,718
PMC10400849,gr1.jpg,787,331
PMC9905852,ad-35-71-g003.jpg,709,319
PMC9905852,ad-35-71-g002.jpg,711,329
PMC9905852,ad-35-71-g001.jpg,688,388
PMC9905852,ad-35-71-g004.jpg,711,399
