pmcid,label,caption,graphic,disease,modality
PMC6172448,Fig 1,"A and B, A 1.8-cm nontender mass on the scalp vertex, biopsy proven as EMPSGC. C, Surgical defect measuring 3.7 × 3.0 cm after 5 stages of MMS. D, Surgical reconstruction of the Mohs defect with a rotation flap.",gr1,NotMatch,NotMatch
PMC6172448,Fig 2,"A and B, Punch biopsy scalp lesion shows monomorphic epithelial cells surrounded by abundant mucin and separated by fibrous septa. C, Immunoreactivity for mucicarmine. D, Extensive immunoreactivity for synaptophysin, favoring EMPSGC of the scalp. E and F, Mohs stage I with proliferation of monomorphic small round cells surrounded by mucin.",gr2,NotMatch,NotMatch
PMC6032758,Figure 1,"(a) An external clinical photograph of the eyelid mass. (b) Tumor nests showing cystic, mucin-filled areas, and solid areas showing cribriform and papillary growth patterns (H and E, ×100). (c) A cribriform tumor nest at high magnification. Small, round to polygonal tumor cells displaying moderate amounts of granular, eosinophilic cytoplasm, and anisomorphic nuclei with bland chromatin and inconspicuous nucleoli (H and E, ×400). (d) Intra-tumoral mucin pools stained red with Mucicarmine stain (×100)",IJO-66-1042-g001,NotMatch,Match
PMC6032758,Figure 2,"The tumor cells strongly expressed CK-8 (a), CK-7 (b), and synaptophysin (c)",IJO-66-1042-g002,NotMatch,NotMatch
PMC6032758,Figure 3,"The tumor cells stained positively for ER (a), PR (b), and GCDFP-15 (c). The Ki-67 index was considered low at 6% (d)",IJO-66-1042-g003,NotMatch,NotMatch
PMC5337370,Figure 1,Low power H&E slide. The lobular architecture with cribriform pattern can be identified. There is no connection to the epidermis.,CRIPA2017-6343709.001,NotMatch,Match
PMC5337370,Figure 2,High power H&E slide. The nuclei are round to oval with conspicuous nucleoli and a finely stippled chromatin pattern.,CRIPA2017-6343709.002,NotMatch,Match
PMC5337370,Figure 3,High power H&E slide. Both intracytoplasmic and extracellular mucin are present.,CRIPA2017-6343709.003,NotMatch,Match
PMC5337370,Figure 4,Positive synaptophysin staining.,CRIPA2017-6343709.004,NotMatch,NotMatch
PMC5337370,Figure 5,Positive estrogen receptor staining (90–100%).,CRIPA2017-6343709.005,NotMatch,NotMatch
PMC5337370,Figure 6,Smooth muscle myosin heavy chain (SMMHC) highlights the myoepithelial cells around the lobules.,CRIPA2017-6343709.006,NotMatch,NotMatch
PMC6728874,Fig 1,Clinical appearance of the lesion at presentation to principal author.,gr1,NotMatch,NotMatch
