pmcid,figure_name,width,height
PMC6172448,gr2.jpg,777,396
PMC6172448,gr1.jpg,747,765
PMC6032758,IJO-66-1042-g002.jpg,673,164
PMC6032758,IJO-66-1042-g003.jpg,539,388
PMC6032758,IJO-66-1042-g001.jpg,539,392
PMC5337370,CRIPA2017-6343709.004.jpg,752,646
PMC5337370,CRIPA2017-6343709.001.jpg,752,692
PMC5337370,CRIPA2017-6343709.006.jpg,752,617
PMC5337370,CRIPA2017-6343709.005.jpg,752,623
PMC5337370,CRIPA2017-6343709.002.jpg,752,667
PMC5337370,CRIPA2017-6343709.003.jpg,752,642
PMC6728874,gr2.jpg,711,557
PMC6728874,gr3.jpg,747,580
PMC6728874,gr1.jpg,607,215
PMC7098345,dpa-0006-0271-g02.jpg,748,561
PMC7098345,dpa-0006-0271-g01.jpg,748,559
PMC7098345,dpa-0006-0271-g03.jpg,748,561
PMC6677066,IJO-67-1374-g001.jpg,539,718
PMC6677066,IJO-67-1374-g003.jpg,539,717
PMC6677066,IJO-67-1374-g002.jpg,539,479
PMC7747051,cde-0012-0255-g02.jpg,701,527
PMC7747051,cde-0012-0255-g01.jpg,778,584
PMC10172827,gr2.jpg,767,680
PMC10172827,gr4.jpg,716,380
PMC10172827,gr3.jpg,716,456
PMC10172827,gr1.jpg,608,604
