pmid,pmcid,title,journal,insert_time,label,caption,graphic
28299221,PMC5337370,"Endocrine Mucin-Producing Sweat Gland Carcinoma, a Histological Challenge.",Case Rep Pathol,2023-12-17-22-02-30,Figure 1,Low power H&E slide. The lobular architecture with cribriform pattern can be identified. There is no connection to the epidermis.,CRIPA2017-6343709.001
28299221,PMC5337370,"Endocrine Mucin-Producing Sweat Gland Carcinoma, a Histological Challenge.",Case Rep Pathol,2023-12-17-22-02-30,Figure 2,High power H&E slide. The nuclei are round to oval with conspicuous nucleoli and a finely stippled chromatin pattern.,CRIPA2017-6343709.002
28299221,PMC5337370,"Endocrine Mucin-Producing Sweat Gland Carcinoma, a Histological Challenge.",Case Rep Pathol,2023-12-17-22-02-30,Figure 3,High power H&E slide. Both intracytoplasmic and extracellular mucin are present.,CRIPA2017-6343709.003
28299221,PMC5337370,"Endocrine Mucin-Producing Sweat Gland Carcinoma, a Histological Challenge.",Case Rep Pathol,2023-12-17-22-02-30,Figure 4,Positive synaptophysin staining.,CRIPA2017-6343709.004
28299221,PMC5337370,"Endocrine Mucin-Producing Sweat Gland Carcinoma, a Histological Challenge.",Case Rep Pathol,2023-12-17-22-02-30,Figure 5,Positive estrogen receptor staining (90–100%).,CRIPA2017-6343709.005
28299221,PMC5337370,"Endocrine Mucin-Producing Sweat Gland Carcinoma, a Histological Challenge.",Case Rep Pathol,2023-12-17-22-02-30,Figure 6,Smooth muscle myosin heavy chain (SMMHC) highlights the myoepithelial cells around the lobules.,CRIPA2017-6343709.006
29941769,PMC6032758,Endocrine mucin-producing sweat gland carcinoma of the eyelid: A clinical and histological conundrum.,Indian J Ophthalmol,2023-12-17-22-02-30,Figure 1,"(a) An external clinical photograph of the eyelid mass. (b) Tumor nests showing cystic, mucin-filled areas, and solid areas showing cribriform and papillary growth patterns (H and E, ×100). (c) A cribriform tumor nest at high magnification. Small, round to polygonal tumor cells displaying moderate amounts of granular, eosinophilic cytoplasm, and anisomorphic nuclei with bland chromatin and inconspicuous nucleoli (H and E, ×400). (d) Intra-tumoral mucin pools stained red with Mucicarmine stain (×100)",IJO-66-1042-g001
29941769,PMC6032758,Endocrine mucin-producing sweat gland carcinoma of the eyelid: A clinical and histological conundrum.,Indian J Ophthalmol,2023-12-17-22-02-30,Figure 2,"The tumor cells strongly expressed CK-8 (a), CK-7 (b), and synaptophysin (c)",IJO-66-1042-g002
29941769,PMC6032758,Endocrine mucin-producing sweat gland carcinoma of the eyelid: A clinical and histological conundrum.,Indian J Ophthalmol,2023-12-17-22-02-30,Figure 3,"The tumor cells stained positively for ER (a), PR (b), and GCDFP-15 (c). The Ki-67 index was considered low at 6% (d)",IJO-66-1042-g003
30306119,PMC6172448,Endocrine mucin-producing sweat gland carcinoma of the scalp treated with Mohs micrographic surgery.,JAAD Case Rep,2023-12-17-22-02-30,Fig 1,"A and B, A 1.8-cm nontender mass on the scalp vertex, biopsy proven as EMPSGC. C, Surgical defect measuring 3.7 × 3.0 cm after 5 stages of MMS. D, Surgical reconstruction of the Mohs defect with a rotation flap.",gr1
30306119,PMC6172448,Endocrine mucin-producing sweat gland carcinoma of the scalp treated with Mohs micrographic surgery.,JAAD Case Rep,2023-12-17-22-02-30,Fig 2,"A and B, Punch biopsy scalp lesion shows monomorphic epithelial cells surrounded by abundant mucin and separated by fibrous septa. C, Immunoreactivity for mucicarmine. D, Extensive immunoreactivity for synaptophysin, favoring EMPSGC of the scalp. E and F, Mohs stage I with proliferation of monomorphic small round cells surrounded by mucin.",gr2
31332149,PMC6677066,"Endocrine mucin-producing sweat gland carcinoma (EMPSGC) of the eyelid: Clinicopathologic features, immunohistochemical findings and review of literature.",Indian J Ophthalmol,2023-12-17-22-02-30,Figure 1,Clinical presentations of endocrine mucin producing sweat gland carcinoma (EMPSGC): (a) Solid and cystic nodule on the lower eyelid with associated indentation of the eyelid margin. (b) Nodular mass involving the medial half of the upper eyelid extending up to the inner canthus,IJO-67-1374-g001
31332149,PMC6677066,"Endocrine mucin-producing sweat gland carcinoma (EMPSGC) of the eyelid: Clinicopathologic features, immunohistochemical findings and review of literature.",Indian J Ophthalmol,2023-12-17-22-02-30,Figure 2,"Light microscopic features of EMPSGC: (a) Multinodular appearance (Hematoxylin and eosin, ×40). (b) Solid and cystic dermal nodule with papillary fronds and central luminal mucin (Hematoxylin and eosin, ×40). (c) Cribriform pattern with bluish, mucinous material in the lumina (Hematoxylin and eosin, ×100). (d) Papillae with fibrovascular cores within solid nodules (Hematoxylin and eosin, ×100). (e) Nest of tumor cells floating in mucin lakes in the invasive component (Hematoxylin and eosin, ×100). (f) Mucin lakes stains positive with Alcian blue (Alcian blue, ×100)",IJO-67-1374-g002
31332149,PMC6677066,"Endocrine mucin-producing sweat gland carcinoma (EMPSGC) of the eyelid: Clinicopathologic features, immunohistochemical findings and review of literature.",Indian J Ophthalmol,2023-12-17-22-02-30,Figure 3,"Immunohistochemistry of EMPSGC. Positive staining for (a) Estrogen receptor (ER). (b) Progesterone receptor. (c) Pan-cytokeratin. (d) Cytokeratin 7. (e) Epithelial membrane antigen (EMA) and, (f) Gross cystic disease fluid protein 15 (GCDFP 15). (g) Chromogranin (CGA) and (h) Alpha-smooth muscle actin (SMA) in myoepithelial cells (×400)",IJO-67-1374-g003
31516999,PMC6728874,Delayed treatment of endocrine mucin-producing sweat gland carcinoma initially diagnosed as a chalazion.,JAAD Case Rep,2023-12-17-22-02-30,Fig 1,Clinical appearance of the lesion at presentation to principal author.,gr1
31516999,PMC6728874,Delayed treatment of endocrine mucin-producing sweat gland carcinoma initially diagnosed as a chalazion.,JAAD Case Rep,2023-12-17-22-02-30,Fig 2,"A, Dome-shaped cells with pools of mucin. B, Positive staining for chromogranin A. C, Positive staining for CK7. D, Positive staining for synaptophysin. (Original magnifications: A-D, ×40.)",gr2
31516999,PMC6728874,Delayed treatment of endocrine mucin-producing sweat gland carcinoma initially diagnosed as a chalazion.,JAAD Case Rep,2023-12-17-22-02-30,Fig 3,Final Mohs defect size of 2.2 × 0.8 cm and aesthetic result 2 months postoperatively.,gr3
32232034,PMC7098345,Perineural and Vascular Invasion in an Endocrine Mucin-Producing Sweat Gland Carcinoma of the Ear with Associated Mucinous Carcinoma.,Dermatopathology (Basel),2023-12-17-22-02-30,Fig. 1,"A 7-mm firm, violaceous papule on the right tragus is shown.",dpa-0006-0271-g01
32232034,PMC7098345,Perineural and Vascular Invasion in an Endocrine Mucin-Producing Sweat Gland Carcinoma of the Ear with Associated Mucinous Carcinoma.,Dermatopathology (Basel),2023-12-17-22-02-30,Fig. 2,"An infiltrative carcinoma with cribriform architecture and associated mucinous component is noted (100×). Vascular invasion is noted in the upper right-hand corner (arrow, 400×) and shown at higher magnification in the inset.",dpa-0006-0271-g02
32232034,PMC7098345,Perineural and Vascular Invasion in an Endocrine Mucin-Producing Sweat Gland Carcinoma of the Ear with Associated Mucinous Carcinoma.,Dermatopathology (Basel),2023-12-17-22-02-30,Fig. 3,Perineural invasion is seen in the lower right-hand corner (400×).,dpa-0006-0271-g03
33362513,PMC7747051,A Case of Endocrine Mucin-Producing Sweat Gland Carcinoma: Is it Still an Under-Recognized Entity?,Case Rep Dermatol,2023-12-17-22-02-30,Fig. 1,Microscopic features of EMPSGC. a Photomicrograph shows multinodular solid tumor occupying the dermis. b A lobule of tumor cells exhibits pseudoglandular and solid papillary growth pattern with focal cystic changes. c The tumor cells are columnar in shape with mild nuclear pleomorphism and have abundant eosinophilic cytoplasm. d Alcian blue/PAS stain highlights intracytoplasmic and intracystic mucin deposition.,cde-0012-0255-g01
33362513,PMC7747051,A Case of Endocrine Mucin-Producing Sweat Gland Carcinoma: Is it Still an Under-Recognized Entity?,Case Rep Dermatol,2023-12-17-22-02-30,Fig. 2,"Immunohistochemical features of EMPSGC. a The tumor cells demonstrate positive staining for cytokeratin 7. b Cytokeratin 8. c Cytokeratin 18. d Patchy staining for synaptophysin. e, f Strong nuclear staining for ER and PR. g Positive staining for GCDFP15. h SMA highlights rim of myoepithelial cells at the periphery of the tumor nodules. i p63 is also positive in the cells at the periphery of tumor lobules.",cde-0012-0255-g02
37179957,PMC10172827,Endocrine mucin-producing sweat gland carcinoma with regional metastases in an African American female.,JAAD Case Rep,2023-12-17-22-02-30,Fig 1,Physical examination of the eyelid revealed a papillated tumor measuring 15 mm × 15 mm in size with a 0.5 cm mucosal component extending from the mucosa and pushing on the inside of the eye.,gr1
37179957,PMC10172827,Endocrine mucin-producing sweat gland carcinoma with regional metastases in an African American female.,JAAD Case Rep,2023-12-17-22-02-30,Fig 2,"Axial image of computed tomography scan displayed a 2.6 cm transversely by 1.7 cm anteroposteriorly mass arising at the anterior aspect of the right parotid gland, extending to the subcutaneous region compatible with lymph node metastasis (arrow points to mass).",gr2
37179957,PMC10172827,Endocrine mucin-producing sweat gland carcinoma with regional metastases in an African American female.,JAAD Case Rep,2023-12-17-22-02-30,Fig 3,Histological examination of tumor cells displayed nests of atypical glandular cells with a papillary growth pattern (hematoxylin-eosin ×25).,gr3
37179957,PMC10172827,Endocrine mucin-producing sweat gland carcinoma with regional metastases in an African American female.,JAAD Case Rep,2023-12-17-22-02-30,Fig 4,Metastatic parotid tumor cells stained diffusely positive for CEA (×20).,gr4
