pmid,pmcid,title,journal,insert_time,has_targz,disease
17093351,PMC1522062,Actinomyces israelii may produce vulvar lesions suspicious for malignancy.,Infect Dis Obstet Gynecol,2023-12-17-22-02-46,True,NotMatch
17673849,PMC2627164,Ruptured epidermal inclusion cysts in the subareolar area: sonographic findings in two cases.,Korean J Radiol,2023-12-17-22-02-46,True,Match
19830186,PMC2737759,Epidermal inclusion cyst as a rare complication of neonatal male circumcision: a case report.,J Med Case Rep,2023-12-17-22-02-46,True,Match
21430945,PMC3052619,Eccrine spiradenoma arising in the breast misdiagnosed as an epidermal inclusion cyst.,Korean J Radiol,2023-12-17-22-02-46,True,Match
22624113,PMC3354388,Squamous cell carcinoma arising from an epidermal inclusion cyst: A case report.,N Am J Med Sci,2023-12-17-22-02-46,True,Match
22693677,PMC3368169,Penile epidermal inclusion cyst.,Case Rep Urol,2023-12-17-22-02-46,True,Match
22880186,PMC3412182,Giant sized epidermal inclusion cyst of the breast initially mimicking a large fibroadenoma or phyllodes tumor.,J Korean Surg Soc,2023-12-17-22-02-46,True,Match
22907984,PMC3392906,Cutaneous hybrid cyst in a sprague-dawley rat.,J Toxicol Pathol,2023-12-17-22-02-46,True,NotMatch
23094187,PMC3474240,Epidermal inclusion cyst presenting as a palpable scrotal mass.,Case Rep Urol,2023-12-17-22-02-46,True,Match
23112456,PMC3480764,Epidermal inclusion cyst in breast: Is it so rare?,J Cytol,2023-12-17-22-02-46,True,Match
25097436,PMC4121936,Cytological diagnosis of epidermal inclusion cyst of breast: A rare benign lesion.,J Nat Sci Biol Med,2023-12-17-22-02-46,True,Match
25276322,PMC4178275,Diffuse intestinal submucosal lipomatosis with incidental epidermal inclusion cyst of caecum clinically masquerading as carcinoma caecum.,Rare Tumors,2023-12-17-22-02-46,True,Match
25284857,PMC4171920,Epidermal inclusion cyst embedded in a recurrent benign fibrous histiocytoma.,Indian J Dermatol,2023-12-17-22-02-46,True,Match
26538703,PMC4601423,Colocalization of Lichen Planus Hypertrophicus and Epidermal Inclusion Cyst: An Incident Unreported Hitherto.,Indian J Dermatol,2023-12-17-22-02-46,True,Match
26848461,PMC4738116,Squamous Cell Carcinoma Arising from an Epidermal Inclusion Cyst.,Arch Plast Surg,2023-12-17-22-02-46,True,Match
26955127,PMC4763638,Vulvar Epidermal Inclusion Cyst as a Long-term Complication of Female Genital Mutilation.,Indian J Dermatol,2023-12-17-22-02-46,True,Match
27019817,PMC4807180,A Rare Case of an Epidermal Inclusion Cyst in the Joint Capsule of the Thumb.,Arch Plast Surg,2023-12-17-22-02-46,True,Match
27259474,PMC4893259,Granular cell tumor presenting in the scrotum of a pediatric patient: a case report and review of the literature.,J Med Case Rep,2023-12-17-22-02-46,True,NotMatch
27279405,PMC4916760,"Epidermoid cyst at a rare location, as a content of inguinal hernia: A case report with a review of the literature.",J Minim Access Surg,2023-12-17-22-02-46,True,Match
27303506,PMC4896124,Ruptured epidermal cyst mimicking cutaneous melanoma on F-18 FDG PET/CT.,Radiol Case Rep,2023-12-17-22-02-46,True,NotMatch
27307882,PMC4901019,Giant epidermal cyst of the gluteal region.,Radiol Case Rep,2023-12-17-22-02-46,True,NotMatch
27390507,PMC4922243,An unusual occurrence of multiple epidermoid cysts in both sides of buccal mucosa: A unique and rare first case report.,Natl J Maxillofac Surg,2023-12-17-22-02-46,True,Match
27418992,PMC4933842,A Ruptured Digital Epidermal Inclusion Cyst: A Sinister Presentation.,Case Rep Orthop,2023-12-17-22-02-46,True,Match
28630763,PMC5467685,Malignant tumours of the foot and ankle.,EFORT Open Rev,2023-12-17-22-02-46,True,NotMatch
28932061,PMC5596644,Epidermal Cysts: A Clinicopathological Analysis with Emphasis on Unusual Findings.,Int J Trichology,2023-12-17-22-02-46,True,NotMatch
29047390,PMC5648485,Roles of BCCIP deficiency in mammary tumorigenesis.,Breast Cancer Res,2023-12-17-22-02-46,True,NotMatch
29259652,PMC5721597,Cytomorphological spectrum of epididymal nodules: An institution's experience.,Cytojournal,2023-12-17-22-02-46,True,NotMatch
29477103,PMC5928033,Idiopathic scrotal calcinosis - A case report.,Int J Surg Case Rep,2023-12-17-22-02-46,True,NotMatch
29552539,PMC5846223,Congenital Epidermal Inclusion Cyst On the Breast: A Case Series of a Rare Entity.,Int J Appl Basic Med Res,2023-12-17-22-02-46,True,Match
29681810,PMC5903124,Incidental Squamous Cell Carcinoma in an Epidermal Inclusion Cyst: A Case Report and Review of the Literature.,Case Rep Dermatol,2023-12-17-22-02-46,True,Match
30034972,PMC6051555,A Benign Rare Lesion of the Breast: Giant Epidermal Inclusion Cyst.,Cureus,2023-12-17-22-02-46,True,Match
30391735,PMC6216085,"Case report of squamous cell cancer arising in perineal epidermal inclusion cyst, presenting as rapidly enlarging and cavitating lesion.",Int J Surg Case Rep,2023-12-17-22-02-46,True,Match
30580759,PMC6304758,An epidermal cyst of the penis after distal hypospadias surgery: a case report.,J Med Case Rep,2023-12-17-22-02-46,True,NotMatch
30654604,PMC7060998,A rare case of an enlarged celiac lymph node diagnosed as an epidermal inclusion cyst.,Korean J Intern Med,2023-12-17-22-02-46,True,Match
30745734,PMC6343397,Fine Needle Aspiration Cytology of Cysticercosis: A Study of 30 Cases.,J Cytol,2023-12-17-22-02-46,True,NotMatch
30915306,PMC6424307,Iatrogenic Intraspinal Epidermal Inclusion Cyst with Secondary Infection: A Cause for Acute Paraparesis.,J Orthop Case Rep,2023-12-17-22-02-46,True,Match
31015391,PMC6501737,Clinical and Imaging Features of a Ruptured Epidermal Inclusion Cyst in the Subareolar Area: A Case Report.,Am J Case Rep,2023-12-17-22-02-46,True,Match
31027516,PMC6486694,Case report: epidermoid inclusion cyst of the clitoris as a long-term complication of female genital mutilation.,J Med Case Rep,2023-12-17-22-02-46,True,NotMatch
31219488,PMC6778761,"The histopathological pattern of benign and non-neoplastic skin diseases at King Fahad Hospital, Madinah, Saudi Arabia.",Saudi Med J,2023-12-17-22-02-46,True,NotMatch
31467745,PMC6699281,Symptomatic Clitoral Neuroma within an Epidermal Inclusion Cyst at the Site of Prior Female Genital Cutting.,Case Rep Obstet Gynecol,2023-12-17-22-02-46,True,Match
31819827,PMC6884986,Epidermoid Cyst in Male Patient Mimicking a Suspicious Breast Mass and Consequences of Biopsy.,J Clin Imaging Sci,2023-12-17-22-02-46,True,Match
32002452,PMC6968711,Intertendinous epidermoid cyst of the forearm.,Case Reports Plast Surg Hand Surg,2023-12-17-22-02-46,True,Match
32550061,PMC7294882,Unwanted Diagnosis of a Subcutaneous Swelling.,Cureus,2023-12-17-22-02-46,True,NotMatch
32953189,PMC7487103,"Corrigendum to ""Symptomatic Clitoral Neuroma within an Epidermal Inclusion Cyst at the Site of Prior Female Genital Cutting"".",Case Rep Obstet Gynecol,2023-12-17-22-02-46,True,Match
33143402,PMC7644348,Angiolymphoid hyperplasia with eosinophilia attached to the masseter muscle.,Arch Craniofac Surg,2023-12-17-22-02-46,True,NotMatch
33282577,PMC7710341,Retrorectal Epidermal Inclusion Cyst: An Incidental Finding During Cesarean Section.,Cureus,2023-12-17-22-02-46,True,Match
33294169,PMC7703371,Laryngeal epidermal inclusion cyst: report of an unusual case and literature review.,J Surg Case Rep,2023-12-17-22-02-46,True,Match
33299590,PMC7709059,Epidermal inclusion cyst of the thyroid: a rare case of a nodule-like structure at ultrasound.,BJR Case Rep,2023-12-17-22-02-46,True,Match
33663146,PMC7933724,Schwannoma of the posterior branch of the great auricular nerve.,Arch Craniofac Surg,2023-12-17-22-02-46,True,NotMatch
33730901,PMC8166397,Giant epidermal inclusion cyst with infection arising within the breast parenchyma: a case report.,J Int Med Res,2023-12-17-22-02-46,True,Match
34119944,PMC8196217,Pilomatrixoma in a child mimicking a ruptured epidermal cyst clinically and histopathologically: Case report.,Int J Surg Case Rep,2023-12-17-22-02-46,True,NotMatch
34367852,PMC8337058,Epidermal Inclusion Cysts following Dupuytren's Percutaneous Needle Fasciotomy: A Case Report.,Plast Reconstr Surg Glob Open,2023-12-17-22-02-46,True,Match
34540724,PMC8432356,Giant epidermal inclusion cyst of the thyroid: a rare occurrence.,Autops Case Rep,2023-12-17-22-02-46,True,Match
34765062,PMC8571480,Giant epidermal inclusion cyst of the axilla: a case report with diagnostic ultrasound imaging features.,Radiol Case Rep,2023-12-17-22-02-46,True,Match
34926164,PMC8649728,Penile epidermal inclusion cyst mimicking ectopic testis mass: A case report.,Urol Case Rep,2023-12-17-22-02-46,True,Match
35286977,PMC8924638,"Surgical management of large, connected perineal and pelvic epidermal inclusion cysts mimicking a dumbbell-shaped lesion in an adult male.",Int J Surg Case Rep,2023-12-17-22-02-46,True,Match
35350219,PMC8944717,"Umbilical epidermal inclusion cysts, an unusual cause of umbilical mass following laparoscopic surgery: case report.",J Surg Case Rep,2023-12-17-22-02-46,True,Match
35450250,PMC9017840,"Mucoepidermoid carcinoma - A common neoplasm at an unusual site, mimicking a benign cyst on cytology: Diagnostic pitfall!",J Oral Maxillofac Pathol,2023-12-17-22-02-46,True,NotMatch
35898429,PMC9309671,Clitoromegaly due to an epidermal inclusion cyst: A case report.,Case Rep Womens Health,2023-12-17-22-02-46,True,Match
36017193,PMC9396251,"Bilateral, tender axillary nodules.",JAAD Case Rep,2023-12-17-22-02-46,True,NotMatch
36032200,PMC9399894,Epidermal inclusion cyst in male breast: how to differentiate from other male breast lesions.,Radiol Case Rep,2023-12-17-22-02-46,True,Match
36046288,PMC9418621,Incidental Sacral Meningocele in an Elderly Patient Diagnosed After Epidermal Inclusion Cyst Removal: A Case Report.,Cureus,2023-12-17-22-02-46,True,Match
36133501,PMC9470212,Epidermal Inclusion Cyst of the Clitoris: A Case Report.,Cureus,2023-12-17-22-02-46,True,Match
36324344,PMC9617589,Atypical Presentation of Epidermoid Inclusion Cyst in a 60-Year-Old Female: A Case Report.,Cureus,2023-12-17-22-02-46,True,NotMatch
36589496,PMC9794894,Epidermal inclusion cyst of the axilla with calcifications.,Radiol Case Rep,2023-12-17-22-02-46,True,Match
