pmcid,figure_name,width,height
PMC2737759,1752-1947-0003-0000007321-1.jpg,600,800
PMC1522062,IDOG2006-48269.001.jpg,421,269
PMC1522062,IDOG2006-48269.003.jpg,433,343
PMC1522062,IDOG2006-48269.002.jpg,402,421
PMC3052619,kjr-12-256-g001.jpg,663,1469
PMC3354388,NAJMS-2-46-g003.jpg,626,593
PMC3354388,NAJMS-2-46-g002.jpg,623,596
PMC3354388,NAJMS-2-46-g001.jpg,625,567
PMC2627164,kjr-8-356-g001.jpg,577,527
PMC2627164,kjr-8-356-g002.jpg,666,732
PMC3412182,jkss-83-107-g001.jpg,750,512
PMC3412182,jkss-83-107-g003.jpg,658,494
PMC3412182,jkss-83-107-g002.jpg,758,314
PMC3392906,tox-25-175-g002.jpg,661,498
PMC3392906,tox-25-175-g003.jpg,661,995
PMC3392906,tox-25-175-t001.jpg,1200,357
PMC3392906,tox-25-175-t002.jpg,1200,282
PMC3392906,tox-25-175-g001.jpg,661,557
PMC3368169,CRIM.UROLOGY2012-191343.002.jpg,600,458
PMC3368169,CRIM.UROLOGY2012-191343.001.jpg,600,458
PMC3368169,CRIM.UROLOGY2012-191343.003.jpg,600,460
PMC3480764,JCytol-29-169-g004.jpg,740,556
PMC3480764,JCytol-29-169-g003.jpg,499,536
PMC3480764,JCytol-29-169-g002.jpg,1157,453
PMC3480764,JCytol-29-169-g001.jpg,1158,354
PMC4178275,rt-2014-3-5380-g001.jpg,500,226
PMC4178275,rt-2014-3-5380-g002.jpg,494,377
PMC4121936,JNSBM-5-460-g002.jpg,556,400
PMC4121936,JNSBM-5-460-g001.jpg,557,269
PMC3474240,CRIM.UROLOGY2012-498324.002.jpg,600,427
PMC3474240,CRIM.UROLOGY2012-498324.003.jpg,600,600
PMC3474240,CRIM.UROLOGY2012-498324.001.jpg,600,461
PMC4171920,IJD-59-490-g002.jpg,537,403
PMC4171920,IJD-59-490-g001.jpg,491,403
PMC4763638,IJD-61-119e-g002.jpg,392,586
PMC4763638,IJD-61-119e-g001.jpg,584,586
PMC4601423,IJD-60-503-g003.jpg,440,586
PMC4601423,IJD-60-503-g004.jpg,586,586
PMC4601423,IJD-60-503-g002.jpg,760,586
PMC4601423,IJD-60-503-g005.jpg,689,586
PMC4601423,IJD-60-503-g001.jpg,539,235
PMC4807180,aps-43-216-g003.jpg,767,1062
PMC4807180,aps-43-216-g001.jpg,700,399
PMC4807180,aps-43-216-g002.jpg,688,216
PMC4893259,13256_2016_911_Fig1_HTML.jpg,778,390
PMC4738116,aps-43-112-g004.jpg,669,527
PMC4738116,aps-43-112-g001.jpg,767,767
PMC4738116,aps-43-112-g002.jpg,668,526
PMC4738116,aps-43-112-g003.jpg,669,527
PMC4916760,JMAS-12-286-g002.jpg,536,379
PMC4916760,JMAS-12-286-g003.jpg,758,570
PMC4916760,JMAS-12-286-g001.jpg,762,569
PMC4901019,gr2.jpg,667,473
PMC4901019,gr1.jpg,700,452
PMC4922243,NJMS-6-244-g001.jpg,782,586
PMC4896124,gr2.jpg,632,656
PMC4896124,gr4.jpg,635,543
PMC4896124,gr3.jpg,637,484
PMC4896124,gr5.jpg,635,542
PMC4896124,gr1.jpg,632,656
PMC5596644,IJT-9-108-g003.jpg,487,873
PMC5596644,IJT-9-108-g005.jpg,535,266
PMC5596644,IJT-9-108-g004.jpg,538,402
PMC5596644,IJT-9-108-g001.jpg,538,352
PMC5596644,IJT-9-108-g002.jpg,787,560
PMC5467685,eor-2-261-g005.jpg,667,295
PMC5467685,eor-2-261-g003.jpg,667,227
PMC5467685,eor-2-261-g004.jpg,667,563
PMC5467685,eor-2-261-g002.jpg,667,221
PMC5467685,eor-2-261-g001.jpg,634,393
PMC4933842,CRIOR2016-9035246.001.jpg,634,867
PMC4933842,CRIOR2016-9035246.003.jpg,750,748
PMC4933842,CRIOR2016-9035246.007.jpg,750,571
PMC4933842,CRIOR2016-9035246.006.jpg,750,748
PMC4933842,CRIOR2016-9035246.004.jpg,750,748
PMC4933842,CRIOR2016-9035246.005.jpg,750,748
PMC4933842,CRIOR2016-9035246.002.jpg,750,748
PMC5721597,CJ-14-26-g002.jpg,539,263
PMC5721597,CJ-14-26-g001.jpg,470,586
PMC5721597,CJ-14-26-g004.jpg,539,271
PMC5721597,CJ-14-26-g005.jpg,539,225
PMC5721597,CJ-14-26-g003.jpg,539,372
PMC5846223,IJABMR-8-54-g002.jpg,539,328
PMC5846223,IJABMR-8-54-g001.jpg,539,385
PMC5928033,gr2.jpg,777,577
PMC5928033,gr1.jpg,714,505
PMC5903124,cde-0010-0061-g03.jpg,779,582
PMC5903124,cde-0010-0061-g01.jpg,779,582
PMC5903124,cde-0010-0061-g02.jpg,779,585
PMC6051555,cureus-0010-00000002650-i01.jpg,727,450
PMC6051555,cureus-0010-00000002650-i03.jpg,600,601
PMC6051555,cureus-0010-00000002650-i05.jpg,654,599
PMC6051555,cureus-0010-00000002650-i02.jpg,600,633
PMC6051555,cureus-0010-00000002650-i07.jpg,606,450
PMC6051555,cureus-0010-00000002650-i04.jpg,600,601
PMC6051555,cureus-0010-00000002650-i06.jpg,634,450
PMC6304758,13256_2018_1930_Fig1_HTML.jpg,709,274
PMC6304758,13256_2018_1930_Fig2_HTML.jpg,709,426
PMC6216085,gr2.jpg,754,527
PMC6216085,gr4.jpg,731,313
PMC6216085,gr3.jpg,697,705
PMC6216085,gr1.jpg,716,954
PMC5648485,13058_2017_907_Fig2_HTML.jpg,579,220
PMC5648485,13058_2017_907_Fig6_HTML.jpg,473,286
PMC5648485,13058_2017_907_Fig3_HTML.jpg,561,527
PMC5648485,13058_2017_907_Fig4_HTML.jpg,567,459
PMC5648485,13058_2017_907_Fig1_HTML.jpg,473,464
PMC5648485,13058_2017_907_Fig5_HTML.jpg,357,692
PMC6343397,JCytol-36-18-g002.jpg,487,216
PMC6343397,JCytol-36-18-g003.jpg,487,193
PMC6343397,JCytol-36-18-g005.jpg,539,184
PMC6343397,JCytol-36-18-g006.jpg,487,191
PMC6343397,JCytol-36-18-g001.jpg,487,215
PMC6343397,JCytol-36-18-g004.jpg,539,209
PMC7060998,kjim-2018-358f2.jpg,724,552
PMC7060998,kjim-2018-358f1.jpg,711,480
PMC6424307,JOCR-8-96-g003.jpg,391,294
PMC6424307,JOCR-8-96-g001.jpg,391,294
PMC6424307,JOCR-8-96-g006.jpg,302,227
PMC6424307,JOCR-8-96-g002.jpg,391,294
PMC6424307,JOCR-8-96-g007.jpg,115,139
PMC6424307,JOCR-8-96-g004.jpg,303,227
PMC6424307,JOCR-8-96-g005.jpg,175,227
PMC6486694,13256_2019_2035_Fig1_HTML.jpg,596,448
PMC6486694,13256_2019_2035_Fig3_HTML.jpg,596,507
PMC6486694,13256_2019_2035_Fig2_HTML.jpg,596,742
PMC6501737,amjcaserep-20-580-g003.jpg,780,287
PMC6501737,amjcaserep-20-580-g002.jpg,788,171
PMC6501737,amjcaserep-20-580-g001.jpg,768,384
PMC6778761,SaudiMedJ-40-548-g004.jpg,546,931
PMC6778761,SaudiMedJ-40-548-g003.jpg,546,552
PMC6778761,SaudiMedJ-40-548-g005.jpg,546,343
PMC6778761,SaudiMedJ-40-548-g002.jpg,547,119
PMC6778761,SaudiMedJ-40-548-g007.jpg,750,452
PMC6778761,SaudiMedJ-40-548-g006.jpg,547,308
PMC6778761,SaudiMedJ-40-548-g001.jpg,547,309
PMC6699281,CRIOG2019-5347873.003.jpg,752,575
PMC6699281,CRIOG2019-5347873.001.jpg,752,825
