pmcid,figure_name,width,height
PMC3178020,467_2011_1949_Fig1_HTML.jpg,260,662
PMC3178020,467_2011_1949_Fig3_HTML.jpg,260,235
PMC3178020,467_2011_1949_Fig2_HTML.jpg,260,457
PMC3132911,IJD-56-309-g003.jpg,780,585
PMC3132911,IJD-56-309-g002.jpg,780,585
PMC3132911,IJD-56-309-g001.jpg,780,585
PMC3341748,CCD-3-119-g002.jpg,560,402
PMC3341748,CCD-3-119-g003.jpg,783,581
PMC3341748,CCD-3-119-g004.jpg,507,602
PMC3341748,CCD-3-119-g001.jpg,424,607
PMC3119182,1471-2350-12-79-3.jpg,600,402
PMC3119182,1471-2350-12-79-2.jpg,600,895
PMC3119182,1471-2350-12-79-4.jpg,600,227
PMC3119182,1471-2350-12-79-1.jpg,600,450
PMC3395242,CRIM2012-206836.001.jpg,600,545
PMC3395242,CRIM2012-206836.003.jpg,600,462
PMC3395242,CRIM2012-206836.002.jpg,600,449
PMC3492686,jkms-27-1444-g001.jpg,689,689
PMC3492686,jkms-27-1444-g002.jpg,689,343
PMC3504205,CRIM.DM2012-109632.001.jpg,600,1425
PMC3657235,IJD-58-158f-g004.jpg,671,424
PMC3657235,IJD-58-158f-g002.jpg,607,730
PMC3657235,IJD-58-158f-g001.jpg,650,488
PMC3657235,IJD-58-158f-g003.jpg,673,462
PMC3573454,IDOJ-4-47-g003.jpg,617,441
PMC3573454,IDOJ-4-47-g001.jpg,740,494
PMC3573454,IDOJ-4-47-g002.jpg,617,441
PMC3680637,13555_2013_27_Fig3_HTML.jpg,551,436
PMC3680637,13555_2013_27_Fig2_HTML.jpg,661,578
PMC3680637,13555_2013_27_Fig4_HTML.jpg,606,915
PMC3680637,13555_2013_27_Fig1_HTML.jpg,551,413
PMC3762022,JCN-1-143-g002.jpg,535,534
PMC3762022,JCN-1-143-g001.jpg,718,538
PMC3775133,JCN-2-106-g002.jpg,553,571
PMC3775133,JCN-2-106-g001.jpg,744,508
PMC3827519,IJD-58-461-g002.jpg,672,538
PMC3827519,IJD-58-461-g003.jpg,324,538
