pmcid,label,caption,graphic,disease,modality
PMC3073756,Fig. 1,Erythematous nodular lesion on the right subauricular area in a 67-year-old man.,cde0003-0064-f01,NotMatch,NotMatch
PMC3073756,Fig. 2,"Skin biopsy specimen from the lesion: hematoxylin-eosin stain, original magnification × 200 (a, b), ×400 (d), and CD34 immunohistochemical staining (c). a Immature vessels with single-layer endothelial cells surrounded by pericytes. b Enlarged endothelial cells with big ovoid nuclei and abundant eosinophilic cytoplasm protruding into the vascular lumen with a tendency to restrict or obstruct it. c CD34-positive epithelioid cells. d Mixed inflammatory infiltrate in the reticular dermis: lymphocytes, eosinophils and lymphoid aggregates with follicle formations.",cde0003-0064-f02,NotMatch,NotMatch
PMC1913531,Figure 1,"Computerized Tomography. A homogeneous lesion in the left superior orbit, molding to the globe and other orbital structures.",1752-1947-1-30-1,NotMatch,NotMatch
PMC1913531,Figure 2,"A) Low-power photomicrography showing structures resembling lymphoid follicles surrounded by loose connective tissue (H&E; original magnification × 25). B) Plump endothelial cells, surrounded by an inflammatory infiltrate containing a large number of eosinophils (H&E; original magnification × 400). C) Factor VIII immunostaining, highlighting the florid vascular proliferation (Original magnification × 25). D) The atypical endothelial cells all stained positive (Factor VIII, original magnification × 400).",1752-1947-1-30-2,NotMatch,Match
PMC2974233,Fig. 1,"Epithelioid hemangioma in 48-year-old man.Plain radiographs. Anteroposterior (AP) view (A) reveals geographic osteolytic lesion with partially sclerotic border involving left side of T10 vertebral body. Another similar osteolytic lesion is also observed on left side of T9 vertebral body (black arrows). In addition, permeative osteolytic lesion involving posterior part of left 10th rib at costo-vertebral junction (thin white arrows), associated with soft tissue mass (thick white arrows) was observed. No periosteal reaction is observed. Lateral view (B) reveals lesion involving posterior portion of T10 vertebral body (black arrows) with extension to posterior element (thin white arrows). Osteolytic lesion is also seen involving posterior portion of T9 vertebral body (thick white arrow).C-G. Coronal CT scan (C, D) after iodinated contrast medium injection reveals that lesion involves two contiguous vertebral bodies, T10 and T9 (arrow in C), which causes spinal cord compression (arrow in D). Axial CT scan at T10 vertebral body viewing in bone window (E) and soft tissue window before (F) and after (G) contrast medium injection reveals multiple internal trabeculations, multiple scattered tiny calcifications, and mild enhancement of lesion. Left-side cortex of T10 vertebral body and ventral cortex of 10th rib were destroyed with soft tissue component forming as extrapleural mass (arrow in G) behind thoracic aorta (star).H. Photomicrograph of lesion under low power (×40) reveals well-circumscribed lobular lesion made up of crowded small tubular or gland-like structure surrounded centrally by large vessel with thick wall. Periphery of lesion is surrounded with fibrofatty tissue.I. Under ×400 magnification, lining cells of gland-like structure show irregular vesicular or optically clear nuclei with prominent basophilic nucleoli and occasional vacuolated cytoplasm. Tall and enlarged endothelial cell mimicking 'tomb-stone like structure' projected into lumen, is observed (arrow).J. Immunostains using antibodies reacting to epithelial marker (CK) and vascular markers (CD31, CD34 and Factor VIII RA), show that lining cells are strongly marked by all of these antibodies.",kjr-11-692-g001,Match,NotMatch
PMC3482809,Figure 1,Brown papules and nodules on the lower back,IJD-57-401-g002,NotMatch,NotMatch
PMC3482809,Figure 2,Lymphocytic infiltrate with a few eosinophils around the vessels (hematoxylin and eosin; ×200),IJD-57-401-g003,NotMatch,NotMatch
PMC3482809,Figure 3,Thick-walled vessels adjacent to venules in the lower portion of the dermis (hematoxylin and eosin; ×40),IJD-57-401-g004,NotMatch,NotMatch
PMC3482809,Figure 4,Vascular channels lined by plump endothelial cells with vacuolation and hobnail-like protrusions (hematoxylin and eosin; ×100),IJD-57-401-g005,NotMatch,Match
PMC3663180,Figure 1,Clinical picture showing exophytic growth on lingual surface of mandibular lower left canine,JCAS-6-48-g001,NotMatch,NotMatch
PMC3663180,Figure 2,A photo micrograph showing variably sized blood vessel which were lined by plump endothelial cells,JCAS-6-48-g002,NotMatch,NotMatch
PMC3141710,Figure 1,Ultrasound scan image of the penis. (A) Ultrasound picture shows the epithelioid hemangioma lesion on the dorsum of the penis. Inherent vascularity is visible within the lesion in red color. (B) Both corpora cavernosa can be seen.,1752-1947-5-260-1,Match,NotMatch
PMC3141710,Figure 2,"Low power view of the lesion showing a circumscribed, unencapsulated subcutaneous vascular lesion.",1752-1947-5-260-2,NotMatch,NotMatch
PMC3141710,Figure 3,High power view showing epithelioid cells with abundant eosinophilic cytoplasm. Immunohistochemistry showed that the epithelioid cells were positive for CD34.,1752-1947-5-260-3,NotMatch,NotMatch
PMC3141710,Figure 4,"Periphery of the lesion, containing vessels lined by plump endothelial cells. Scattered lymphocytes and eosinophils are present.",1752-1947-5-260-4,NotMatch,NotMatch
PMC3907202,Fig. 1,Axial section of CT abdomen (arterial phase) showing hypervascular lesion in Ileum.,gr1,NotMatch,NotMatch
PMC3907202,Fig. 2,Axial section of CT abdomen (portal phase) showing hypervascular lesion in Ileum.,gr2,NotMatch,NotMatch
PMC3907202,Fig. 3,Coronal section of CT abdomen showing hypervascular lesion in ileum.,gr3,NotMatch,NotMatch
PMC3907202,Fig. 4,Resected specimen showed to be malignant hemangioendothelioma on the basis of microscopic findings.,gr4,NotMatch,NotMatch
PMC3907202,Fig. 5,Resected specimen showed to be malignant hemangioendothelioma on the basis of immunohistological stains of CD31.,gr5,NotMatch,NotMatch
PMC3970468,Figure 1,Clinical picture. (a) shows small growth buccally between 32 and 33. (b) shows growth in lingual alveolar mucosa.,CRIM2014-436240.001,NotMatch,NotMatch
PMC3970468,Figure 2,Tissue after excision.,CRIM2014-436240.002,NotMatch,NotMatch
PMC3970468,Figure 3,"(a) Histopathological picture showing sheets of epitheliod cells (arrows); H&E, ×400 (original magnification). (b) Histopathological picture showing plump epithelioid cells lining blood vessel in tombstone appearance (arrows); H&E, ×100 (original magnification). (c) Histopathological picture showing eosinophils in connective tissue stroma (arrows); H&E, ×400 (original magnification).",CRIM2014-436240.003,NotMatch,Match
PMC3970468,Figure 4,Immunohistochemical picture showing positivity for CD31.,CRIM2014-436240.004,NotMatch,NotMatch
PMC4215969,Fig. 1.,"(A) Multiple well-defined erythematous papules on the forearm, each measuring 0.3–0.4 cm. (B) A recurrent erythematous, round protruding papule in the forearm, measuring 0.7 cm.",kjpathol-48-5-394f1,NotMatch,NotMatch
PMC4215969,Fig. 2.,"Histologic features of the first lesion. (A) The lesion is a poorly differentiated cellular tumor with focally infiltrating borders in the superficial dermis. (B) Most of the lesion shows solid proliferation of epithelioid endothelial cells. (C) Epithelioid endothelial cells are focally positive for CD34 immunohistochemical staining. (D) At the periphery, well-canalized vessels are observed. (E) Human herpesvirus-8 related antigen is negative.",kjpathol-48-5-394f2,NotMatch,NotMatch
PMC4215969,Fig. 3.,"Histologic features of the second lesion. (A) A recurrent lesion shows typical histologic characteristics of epithelioid hemangioma. (B) Vascular structures that comprise the lesion are lined by prominent epithelioid endothelial cells. The stroma contains mixed inflammatory cells, including many eosinophils. (C) A focal solid component is present in the center of the lesion.",kjpathol-48-5-394f3,Match,NotMatch
PMC4451652,Figure 1,(a) Preoperative patient's extraoral view. (b) Intraoperative view of the lesion. (c) Resected surgical specimen. (d) 12th month Postoperative extraoral view,JOMFP-19-108a-g001,NotMatch,NotMatch
PMC4451652,Figure 2,"(a) Histopathological image of the large blood vessel (H&E stain, x40). (b) Photomicrograph showing lymphocyte and eosinophilic leukocyte infiltration along with blood capillaries (H&E stain, x200)",JOMFP-19-108a-g002,NotMatch,Match
PMC4329744,Figure 1,"Representative histological images of the first biopsy: (a) HE: low magnification, showing numerous blood vessels. (b) HE: higher magnification, showing thick vessel walls with proliferated endothelium (arrow) and some inflammatory infiltrate.",CRIPA2015-629805.001,NotMatch,NotMatch
PMC4329744,Figure 2,"MRI: (a) T2-weighted MRI image of the head showing intraorbital mass and scar tissue (arrow) from previous operation. (b) On contrast T1-weighted image, the intraorbital mass may be clearly seen, as well as exophthalmos.",CRIPA2015-629805.002,NotMatch,NotMatch
PMC4329744,Figure 3,"CT, pre- and postoperative: (a) Preoperative CT: intraorbital mass (thick arrow) and partially removed bone of the orbital roof (thin arrow) are seen. (b) Postoperative CT: the intraorbital mass has been removed and the exophthalmos is less clearly evident in comparison to preoperative images.",CRIPA2015-629805.003,NotMatch,NotMatch
PMC4329744,Figure 4,"Histological images of the second biopsy: (a) HE: lower magnification, compared to the first biopsy blood vessels are surrounded by a denser inflammatory infiltrate. (b) HE: higher magnification, showing marked endothelial proliferation. Endothelial cells are plump (arrow). Many eosinophils are seen.",CRIPA2015-629805.004,NotMatch,NotMatch
PMC5148776,Fig 1,"Multiple violaceous papules, nodules, and hyperpigmented macules.",gr1,NotMatch,NotMatch
PMC5148776,Fig 2,A well-circumscribed epithelioid proliferation in the superficial dermis with overlying acanthotic epidermis. (Hematoxylin-eosin stain; original magnification: ×4.),gr2,NotMatch,NotMatch
PMC5148776,Fig 3,"Epithelioid cells with pale staining cytoplasm, a mixed inflammatory infiltrate, intralesional vascular channels, and scattered extravasated red blood cells (Hematoxylin-eosin stain; original magnification: ×20.)",gr3,NotMatch,NotMatch
PMC5148776,Fig 4,"Immunohistochemical staining was positive for (A) endothelial markers CD31 and (B) factor VIII. (Original magnifications: A, ×10; B, ×20.)",gr4,NotMatch,Match
PMC4861890,Figure 1,"49-year-old male with thoracic spine mass. Findings: AP and lateral radiographs are unremarkable, with the exception of mild degenerative changes.",gr1,NotMatch,NotMatch
PMC4861890,Figure 2,"49-year-old male with thoracic spine mass. Sagittal T1, T2, axial T2, sagittal, and axial fat-saturated postcontrast, B-1000 weighted DWI images, and ADC map of the thoracic spine demonstrate a T1 hypointense, T2 hyperintense, avidly enhancing mass with mildly restricted diffusion extending through the T6-T7 posterolateral epidural space into the left neural foramina. There is involvement of the left transverse process of T6 and superior facet of T7. Blue arrows denote the epidural component. Red arrows denote the intraosseous component.",gr2,NotMatch,NotMatch
PMC4861890,Figure 3,"49-year-old male with thoracic spine mass. Status: Postsurgical resection and radiation therapy. Axial T1, T2, T1fat-saturated postcontrast, sagittal T1, and sagittal T1 fat-saturated postcontrast images of the thoracic spine demonstrate reduced epidural and osseous enhancing residual tumor and posttreatment changes in the adjacent tissue. Blue arrow denotes epidural mass extending through the left neural foramina. Red arrow denotes the intraosseous tumor.",gr3,NotMatch,NotMatch
PMC4861890,Figure 4,"50-year-old male patient presenting with chest tightness. Status: postsurgical resection and radiation therapy. Axial T1, T2, T1 fat-saturated postcontrast, sagittal T1, and sagittal T1 fat-saturated postcontrast images of the thoracic spine demonstrate reduced epidural and osseous enhancing residual tumor and post-treatment changes in the adjacent tissue. Blue arrow denotes epidural mass extending through the left neural foramina. Red arrow denotes the intraosseous tumor.",gr4,NotMatch,NotMatch
PMC4861890,Figure 5,"50-year-old male patient presenting with chest tightness. Axial and sagittal postcontrast CT of the thoracic spine in soft tissue and bone windows demonstrate the expansile mass arising from the posterior elements of T3, with extraosseous component involving the dorsal epidural space. The mass has avid enhancement at the epidural portion and subtle globular foci of low-density and high-density septations. Blue arrows denote the intraosseous mass. Red arrows denote the epidural component.",gr5,NotMatch,NotMatch
PMC4861890,Figure 6,50-year-old male patient presenting with thoracic spine mass. Axial noncontrast CT of the thoracic spine for CT-guided biopsy again demonstrates that the T3 mass has irregular indistinct zone of transition with a weakly sclerotic margin and multiple internal septae. The expansile portion of the spinous process was targeted.,gr6,NotMatch,NotMatch
PMC4861890,Figure 7,"50-year-old male presenting with thoracic spine mass. Status: post thoracic resection and radiation therapy. Sagittal T1, T2, axial T1, and sagittal and axial T1 fat-saturated postcontrast images of the thoracic spine demonstrate residual epidural enhancing tumor with post-treatment changes in the adjacent tissues. Blue arrow denotes the residual mass.",gr7,NotMatch,NotMatch
PMC6136344,Fig. 1,"(a) The plain radiograph shows a lytic lesion (area in circle) of the right scapula. (b) The axial multidetector computed tomography image verifies the lytic scapular lesion (arrows), and the scintigraphic study demonstrates intense tracer uptake (area in circle).",gr1,NotMatch,NotMatch
PMC6136344,Fig. 2,The sagittal (a) and the coronal (b) T2 fat saturated MR images show the soft tissue mass infiltrating the right scapula (arrows). The axial (c) T1w and the axial (d) contrast enhanced fat saturated T1w MR images demonstrate intense enhancement of the tumour.,gr2,NotMatch,NotMatch
PMC6136344,Fig. 3,Histopathologic images of epithelioid hemangioma. (a) Vascular channels with slightly prominent endothelial lining and inflammatory cells in the surrounding stroma (hematoxylin-eosin stain ×40 magnification view). (b) Immunohistochemistry stain CD31 (×20 magnification view). (c) Immunohistochemistry stain CD34 (×20 magnification view) (d) Immunohistochemistry stain epithelial membrane antigen (×40 magnification view).,gr3,Match,NotMatch
PMC6136344,Fig. 4,The digital subtraction angiography images (a-b) show the abnormal vascular staining of the epithelioid hemangioma (areas in circle). (c) The Digital Subtraction angiographic image during selective embolization with a microcatheter (arrow). (d) Final result after chemoembolization shows satisfactory staining (area in dashed circle).,gr4,Match,NotMatch
PMC6136344,Fig. 5,(a-b) The axial multidetector computed tomography images show the needle (arrows) during ablation. (c) The axial T1W fat saturated contrast enhanced MR image (study 24 h after treatment) shows complete necrosis of the tumour (asterisk). (d) The axial T2W fat saturated magnetic resonance image (study one year after treatment) shows necrosis and shrinkage of the tumour (asterisk). Please note osteonecrosis of the humeral head (open arrow).,gr5,NotMatch,NotMatch
PMC6030872,Figure 1:,Showing reddish to pinkish nodular lesion at outer part of external auditory canal of left ear.,rjy145f01,NotMatch,NotMatch
PMC6030872,Figure 3:,Picture of same pt. at 9 months follow-up post op.,rjy145f02,NotMatch,NotMatch
PMC6030872,Figure 2:,Histopathological picture of the lesion showing plump endothelial cells and surrounded by a lymphoid infiltrate with formation of germinal centers. Large numbers of eosinophils are also seen.,rjy145f03,NotMatch,NotMatch
PMC5368872,Figure 1,"Ultrasound (US) of brachial artery showed a hypoechoic homogeneous well circumscribed solid lesion (L) arising from brachial artery (A); color Doppler showing peripheral and penetrating vascular network (B,C,D).",med-2015-0085f1,NotMatch,NotMatch
PMC5368872,Figure 2,Magnetic Resonance Imaging (MRI) of the left upper extremity showed a lesion (L) localized in the septum between the brachioradial and the rotund pronator muscle. Both SPIR (A) and STIR (B) images revealed a dishomogeneous hypointense enhancement relative to muscle tissues.,med-2015-0085f2,NotMatch,NotMatch
PMC5368872,Figure 3,"Macroscopic examination. A well-defined encapsulated mass encasing a segment of vessel was resected (arrows) (A); on cross-section the mass was made of brownish hemorrhagic appearing tissue, and the arterial lumen was evident at the periphery of the nodule (arrow) (B).",med-2015-0085f3,NotMatch,NotMatch
PMC5368872,Figure 4,"Histologic appearance. At low magnification the arterial lumen was compressed and dislocated by a thickening of the tunica media of the vessel wall, that is replaced by fibrotic tissue with conspicuous hemosiderin deposits and vessels proliferation (A). At high magnification a heavy chronic inflammatory infiltrate including numerous eosinophils was present (B) and small irregular vessels proliferation (C) with prominent endothelial cells were also evident (D).",med-2015-0085f4,NotMatch,NotMatch
PMC5656971,Figure 1,"(a) Photograph of the lesion noted at the tip of the meatus, measuring approximately 3 cm × 2 cm. (b) Low-power view of the lesion showing an unencapsulated subcutaneous vascular lesion (H and E, ×10). (c) Section showing plump endothelial cells with abundant eosinophilic cytoplasm (H and E, ×20). (d) Image showing epithelioid endothelial cells with moderate eosinophilic cytoplasm along with scattered lymphocytes and eosinophils (marked with black arrow) (H and E, ×40). (e and f) Photomicrograph showing positive immunohistochemistry for CD31 (in epithelioid endothelial cells) and smooth muscle antigen (in myopericyte) (immunohistochemistry, ×40)",UA-9-397-g001,NotMatch,Match
PMC6787426,Fig. 1,Subtle lucent lesion in the ischial root.,cro-0012-0704-g01,NotMatch,NotMatch
PMC6787426,Fig. 2,Increased size of the lucency 3 months later.,cro-0012-0704-g02,NotMatch,NotMatch
PMC6787426,Fig. 3,Sclerosis of the lucent lesion after 1 year of propranolol.,cro-0012-0704-g03,NotMatch,NotMatch
PMC6531225,Figure 1,Anteroposterior and lateral radiographs of both lower limbs showed bubble-like osteolytic lesions with slight sclerotic margins in the bilateral tibia and fibula. Periosteal reaction and matrix calcifications were absent (A–C).,medi-98-e15546-g001,NotMatch,NotMatch
PMC6531225,Figure 2,"9mTc-MDP bone scintigraphy revealed increased tracer uptake in the pelvic and bilateral lower limb bones (A). SPECT/CT of the area extending from the lumbar spine to the upper two-thirds of the femur showed osteolytic lesions involving the lumbar spine, sacrum, pelvis, cortex, and medullary cavity of the femur, and high uptake around the lytic lesions (B).",medi-98-e15546-g002,NotMatch,NotMatch
PMC6531225,Figure 3,"Right ilium biopsy revealed that the lesion consisted of a blood clot and epithelioid neoplastic cells with a pink-bright cytoplasm and vesicular nuclei (A, dark arrow). The neoplastic cells had an infiltrative growth pattern with mild atypia and were arranged in nests and cords. A primary vascular cavity formed by the tumor cells was observed (red arrow). Immunohistochemical analysis revealed 60% positivity for Ki67 (B), as well as positivity for endothelial markers CD31 (C) and ERG (D).",medi-98-e15546-g003,NotMatch,NotMatch
PMC6531225,Figure 4,"MRI of bilateral thighs showed irregular lesions with intermediate intensity on T1-weighted imaging (A) and a high- and low-signal intensity rim (dark arrow) on fat-suppression T2-weighted imaging (B). Annular enhancement was observed on enhanced scanning (C). The bone cortex was destroyed, with soft-tissue involvement.",medi-98-e15546-g004,NotMatch,NotMatch
PMC6792259,Fig. 1,Repeat magnetic resonance imaging at our institution revealed interval increase in size of destructive lesions involving the fourth lumbar vertebral body and fourth lumbar spinous process. Enhancement along the right aspect of the cauda equina extending cephalad from the level of the epidural soft tissue extension at fourth lumbar was also noted,13256_2019_2237_Fig1_HTML,NotMatch,NotMatch
PMC6792259,Fig. 2,"The bone biopsy revealed an epithelioid hemangioma (a, hematoxylin and eosin, × 40) characterized by a proliferation of well-formed vessels with epithelioid endothelial cells and a prominent inflammatory stroma with numerous eosinophils. A FosB immunostain showed strong nuclear immunoreactivity within the endothelial cells (b, × 40), supporting the morphologic impression",13256_2019_2237_Fig2_HTML,Match,NotMatch
PMC6792259,Fig. 3,"Intensity-modulated radiotherapy plan was designed with two planning target volumes: planning target volume 4500 (red) and planning target volume 4000 (orange). Isodose line: 4500 cGy (white), 4000 cGy (cyan). Representative views of the treatment plan: a axial, b sagittal, c coronal",13256_2019_2237_Fig3_HTML,NotMatch,NotMatch
PMC6792259,Fig. 4,Follow-up magnetic resonance imaging at 3 months demonstrated interval improvement including post-radiation changes and decreased enhancement,13256_2019_2237_Fig4_HTML,NotMatch,NotMatch
PMC6796626,Fig. 1,(a) Left wrist AP (a) and oblique (b) radiographs showing multiple lytic areas involving the proximal first and second metacarpal bones (white arrows). At least one of these lesions demonstrates adjacent cortical disruption (white star). (b) Left wrist AP (a) and oblique (b) radiographs showing multiple lytic areas involving the proximal first and second metacarpal bones (white arrows). At least one of these lesions demonstrates adjacent cortical disruption (white star).,gr1,NotMatch,NotMatch
PMC6796626,Fig. 2,Bone scan of the hands in anterior and posterior projections demonstrates focally increased radiotracer activity at the left proximal metacarpal and carpal bones (arrow).,gr2,NotMatch,NotMatch
PMC6796626,Fig. 3,Noncontrast enhanced CT of the left hand redemonstrates multiple lytic lesions in the proximal first and second metacarpals in addition to adjacent soft tissue mass (white arrows).,gr3,NotMatch,NotMatch
PMC6796626,Fig. 4,(a) MRI left hand with contrast. (a) STIR. (b) T1-weighted postcontrast. Multiple lytic lesions in the proximal first and second metacarpals which demonstrate heterogeneous high T2/STIR signal (white arrows) and avid homogeneous contrast enhancement (yellow arrows) with intratumoral flow voids (blue arrow). (b) MRI left hand with contrast. (a) STIR. (b) T1-weighted postcontrast. Multiple lytic lesions in the proximal first and second metacarpals which demonstrate heterogeneous high T2/STIR signal (white arrows) and avid homogeneous contrast enhancement (yellow arrows) with intratumoral flow voids (blue arrow).,gr4,NotMatch,NotMatch
PMC6796626,Fig. 5,"Hemotoxylin and eosin stain of the specimen magnified 400× reveals plump endothelioid cells (black arrow) and admixed eosinophils (black arrowhead). Additional myopericyte is noted, cells which wrap around endothelial cells and line the small vasculature of the body such as capillaries (blue arrow).",gr5,NotMatch,NotMatch
