pmcid,figure_name,width,height
PMC3073756,cde0003-0064-f02.jpg,418,282
PMC3073756,cde0003-0064-f01.jpg,413,624
PMC1913531,1752-1947-1-30-2.jpg,600,454
PMC1913531,1752-1947-1-30-1.jpg,600,375
PMC2974233,kjr-11-692-g001.jpg,662,1425
PMC3663180,JCAS-6-48-g002.jpg,659,492
PMC3663180,JCAS-6-48-g001.jpg,656,492
PMC3482809,IJD-57-401-g004.jpg,564,672
PMC3482809,IJD-57-401-g003.jpg,673,666
PMC3482809,IJD-57-401-g001.jpg,510,60
PMC3482809,IJD-57-401-g005.jpg,618,429
PMC3482809,IJD-57-401-g006.jpg,510,60
PMC3482809,IJD-57-401-g002.jpg,615,669
PMC3141710,1752-1947-5-260-3.jpg,600,401
PMC3141710,1752-1947-5-260-4.jpg,600,403
PMC3141710,1752-1947-5-260-1.jpg,600,350
PMC3141710,1752-1947-5-260-2.jpg,600,419
PMC3970468,CRIM2014-436240.001.jpg,600,996
PMC3970468,CRIM2014-436240.002.jpg,600,435
PMC3970468,CRIM2014-436240.004.jpg,600,477
PMC3970468,CRIM2014-436240.003.jpg,600,1469
PMC3907202,gr2.jpg,339,290
PMC3907202,gr4.jpg,320,251
PMC3907202,gr3.jpg,301,387
PMC3907202,gr5.jpg,320,240
PMC3907202,gr1.jpg,339,287
PMC4451652,JOMFP-19-108a-g002.jpg,738,1292
PMC4451652,JOMFP-19-108a-g001.jpg,738,592
PMC4215969,kjpathol-48-5-394f1.jpg,789,452
PMC4215969,kjpathol-48-5-394f2.jpg,784,367
PMC4215969,kjpathol-48-5-394f3.jpg,738,438
PMC4329744,CRIPA2015-629805.003.jpg,718,463
PMC4329744,CRIPA2015-629805.004.jpg,696,351
PMC4329744,CRIPA2015-629805.001.jpg,745,407
PMC4329744,CRIPA2015-629805.002.jpg,697,463
PMC5148776,gr2.jpg,602,452
PMC5148776,gr4.jpg,747,282
PMC5148776,gr3.jpg,602,452
PMC5148776,gr1.jpg,602,452
PMC6136344,gr2.jpg,790,628
PMC6136344,gr4.jpg,790,596
PMC6136344,gr3.jpg,790,592
PMC6136344,gr5.jpg,790,589
PMC6136344,gr1.jpg,733,198
PMC4861890,gr6.jpg,676,651
PMC4861890,gr2.jpg,712,1184
PMC4861890,gr4.jpg,664,1107
PMC4861890,gr3.jpg,664,1243
PMC4861890,gr5.jpg,664,680
PMC4861890,gr1.jpg,664,559
PMC4861890,gr7.jpg,664,809
PMC5368872,med-2015-0085f1.jpg,746,511
PMC5368872,med-2015-0085f4.jpg,678,515
PMC5368872,med-2015-0085f3.jpg,680,427
PMC5368872,med-2015-0085f2.jpg,677,338
PMC6030872,rjy145f03.jpg,800,685
PMC6030872,rjy145f01.jpg,750,856
PMC6030872,rjy145f02.jpg,749,639
PMC5656971,UA-9-397-g001.jpg,605,328
PMC6787426,cro-0012-0704-g01.jpg,590,855
PMC6787426,cro-0012-0704-g03.jpg,631,852
PMC6787426,cro-0012-0704-g02.jpg,632,863
PMC6531225,medi-98-e15546-g002.jpg,800,379
PMC6531225,medi-98-e15546-g004.jpg,800,263
PMC6531225,medi-98-e15546-g001.jpg,800,422
PMC6531225,medi-98-e15546-g003.jpg,800,455
PMC6792259,13256_2019_2237_Fig2_HTML.jpg,787,311
PMC6792259,13256_2019_2237_Fig4_HTML.jpg,787,388
PMC6792259,13256_2019_2237_Fig1_HTML.jpg,787,340
PMC6792259,13256_2019_2237_Fig3_HTML.jpg,778,157
PMC6796626,gr6.jpg,650,487
PMC6796626,gr2.jpg,759,367
PMC6796626,gr4.jpg,740,388
PMC6796626,gr3.jpg,650,638
PMC6796626,gr5.jpg,650,485
PMC6796626,gr1.jpg,740,453
PMC6612390,CRIGM2019-7530845.003.jpg,743,632
PMC6612390,CRIGM2019-7530845.001.jpg,657,656
PMC6612390,CRIGM2019-7530845.002.jpg,752,950
PMC6890370,medi-98-e18161-g006.jpg,800,767
PMC6890370,medi-98-e18161-g001.jpg,800,587
PMC6890370,medi-98-e18161-g004.jpg,800,417
PMC6890370,medi-98-e18161-g002.jpg,800,468
PMC6890370,medi-98-e18161-g003.jpg,800,733
PMC6890370,medi-98-e18161-g005.jpg,800,199
PMC7774811,rlu-46-148-g001.jpg,800,467
PMC7774811,rlu-46-148-g002.jpg,800,718
PMC8076054,nihms-1646327-f0003.jpg,795,377
PMC8076054,nihms-1646327-f0001.jpg,780,594
PMC8076054,nihms-1646327-f0002.jpg,795,375
PMC7983550,cro-0014-0309-g03.jpg,707,394
PMC7983550,cro-0014-0309-g04.jpg,714,392
PMC7983550,cro-0014-0309-g02.jpg,707,424
PMC7983550,cro-0014-0309-g01.jpg,707,425
PMC7983550,cro-0014-0309-g05.jpg,707,384
PMC7983550,cro-0014-0309-g06.jpg,708,423
PMC9029700,healthcare-10-00633-g003.jpg,778,360
PMC9029700,healthcare-10-00633-g001.jpg,795,362
PMC9029700,healthcare-10-00633-g005.jpg,740,263
PMC9029700,healthcare-10-00633-g004.jpg,714,247
PMC9029700,healthcare-10-00633-g002.jpg,712,464
PMC9455120,IJD-67-209f-g001.jpg,558,587
PMC9455120,IJD-67-209f-g002.jpg,384,587
