pmid,pmcid,title,journal,insert_time,has_targz
18588684,PMC2474574,Fibroepithelioma of pinkus in a 9-year-old boy: a case report.,Cases J,2023-12-17-22-08-05,True
21209728,PMC3010650,Basal cell carcinoma of the head and neck.,J Skin Cancer,2023-12-17-22-08-05,True
25657422,PMC4318028,Solitary eccrine syringofibroadenoma with nail involvement: A rare entity.,Indian J Dermatol,2023-12-17-22-08-05,True
27222767,PMC4866622,"Two adjacent individual fibroepithelioma of Pinkus of the umbilicus-one pink, one pigmented-a case report and review of the literature.",Dermatol Pract Concept,2023-12-17-22-08-05,True
27329375,PMC4972729,Fibroepithelioma of Pinkus Revisited.,Dermatol Ther (Heidelb),2023-12-17-22-08-05,True
27559504,PMC4976408,Fibroepithelioma of Pinkus in continuity with nodular basal cell carcinoma: A rare presentation.,Indian Dermatol Online J,2023-12-17-22-08-05,True
27738570,PMC5059144,Basal Cell Carcinoma of the Umbilicus: A Comprehensive Literature Review.,Cureus,2023-12-17-22-08-05,True
27766301,PMC5065638,White network in fibroepithelioma of Pinkus.,JAAD Case Rep,2023-12-17-22-08-05,True
28785327,PMC5535652,Fibroepithelioma of Pinkus (FeP) Located in the Left Lower Quadrant of the Abdomen - Case Report and Review of the Literature.,Open Access Maced J Med Sci,2023-12-17-22-08-05,True
35680496,PMC9263628,Case for diagnosis. Fibroepithelioma of Pinkus in a 76-year-old patient.,An Bras Dermatol,2023-12-17-22-08-05,True
37393136,PMC10589474,Fibroepithelioma of Pinkus - confocal microscopy as a diagnostic tool.,An Bras Dermatol,2023-12-17-22-08-05,False
