pmcid,figure_name,width,height
PMC4318028,IJD-60-103d-g002.jpg,539,202
PMC4318028,IJD-60-103d-g001.jpg,538,266
PMC2474574,1757-1626-1-21-1.jpg,600,379
PMC4866622,dp0602a04g007.jpg,666,500
PMC4866622,dp0602a04g002.jpg,666,662
PMC4866622,dp0602a04g004.jpg,666,374
PMC4866622,dp0602a04g005.jpg,666,500
PMC4866622,dp0602a04g003.jpg,666,374
PMC4866622,dp0602a04g006.jpg,666,500
PMC4866622,dp0602a04g001.jpg,666,451
PMC4972729,13555_2016_123_Fig1_HTML.jpg,598,904
PMC4972729,13555_2016_123_Fig3_HTML.jpg,598,336
PMC4972729,13555_2016_123_Fig2_HTML.jpg,598,336
PMC4972729,13555_2016_123_Fig4_HTML.jpg,598,680
PMC4972729,13555_2016_123_Fig5_HTML.jpg,598,681
PMC4976408,IDOJ-7-285-g004.jpg,539,405
PMC4976408,IDOJ-7-285-g002.jpg,539,404
PMC4976408,IDOJ-7-285-g003.jpg,538,404
PMC4976408,IDOJ-7-285-g001.jpg,539,404
PMC5059144,cureus-0008-000000000770-i01.jpg,624,300
PMC5059144,cureus-0008-000000000770-i02.jpg,601,1015
PMC5535652,OAMJMS-5-439-g002.jpg,552,277
PMC5535652,OAMJMS-5-439-g001.jpg,552,234
PMC5065638,gr2.jpg,602,451
PMC5065638,gr4.jpg,602,451
PMC5065638,gr3.jpg,602,451
PMC5065638,gr1.jpg,602,451
PMC3010650,JSC2011-496910.004.jpg,459,295
PMC3010650,JSC2011-496910.005.jpg,628,265
PMC3010650,JSC2011-496910.001.jpg,441,337
PMC3010650,JSC2011-496910.006.jpg,681,253
PMC3010650,JSC2011-496910.003.jpg,450,336
PMC3010650,JSC2011-496910.002.jpg,453,337
PMC9263628,gr2.jpg,603,803
PMC9263628,gr4.jpg,603,454
PMC9263628,gr3.jpg,603,454
PMC9263628,gr1.jpg,603,803
