pmid,pmcid,title,journal,insert_time,has_targz,disease
17804924,PMC2629673,A solitary fibrofolliculoma in the eyelid.,Korean J Ophthalmol,2023-12-17-22-03-25,True,Match
18437022,PMC2526433,A case of Birt-Hogg-Dubé syndrome.,J Korean Med Sci,2023-12-17-22-03-25,True,NotMatch
22148048,PMC3229063,"Birt-hogg-dubé syndrome, a rare case in Korea confirmed by genetic analysis.",Ann Dermatol,2023-12-17-22-03-25,True,NotMatch
23922894,PMC3726479,Folliculin contributes to VHL tumor suppressing activity in renal cancer through regulation of autophagy.,PLoS One,2023-12-17-22-03-25,True,NotMatch
24748863,PMC3985789,"Two Japanese cases of birt-hogg-dubé syndrome with pulmonary cysts, fibrofolliculomas, and renal cell carcinomas.",Case Rep Dermatol,2023-12-17-22-03-25,True,Match
24910976,PMC4049818,Topical rapamycin as a treatment for fibrofolliculomas in Birt-Hogg-Dubé syndrome: a double-blind placebo-controlled randomized split-face trial.,PLoS One,2023-12-17-22-03-25,True,Match
26734858,PMC4689065,Benign follicular tumors.,An Bras Dermatol,2023-12-17-22-03-25,True,NotMatch
27780965,PMC5083040,A Case of Birt-Hogg-Dubé (BHD) Syndrome Harboring a Novel Folliculin (FLCN) Gene Mutation.,Am J Case Rep,2023-12-17-22-03-25,True,NotMatch
28326182,PMC5345590,Birt-Hogg-Dubé syndrome: a case report and a review of the literature.,Eur Clin Respir J,2023-12-17-22-03-25,True,NotMatch
29357828,PMC5776768,Birt-Hogg-Dubé syndrome in two Chinese families with mutations in the FLCN gene.,BMC Med Genet,2023-12-17-22-03-25,True,NotMatch
29548312,PMC5857113,Delayed diagnosis of Birt-Hogg-Dubé syndrome due to marked intrafamilial clinical variability: a case report.,BMC Med Genet,2023-12-17-22-03-25,True,NotMatch
30360018,PMC6610189,Birt-Hogg-Dubé syndrome in Korean: clinicoradiologic features and long term follow-up.,Korean J Intern Med,2023-12-17-22-03-25,True,NotMatch
31008171,PMC6453834,Birt-Hogg-Dubé syndrome initially diagnosed as tuberous sclerosis complex.,JAAD Case Rep,2023-12-17-22-03-25,True,NotMatch
32160907,PMC7066789,Solitary fibrofolliculoma of the upper eyelid in a 68-year old female: a case report.,BMC Ophthalmol,2023-12-17-22-03-25,True,Match
32642019,PMC7334545,Secondary pneumothorax associated with Birt-Hogg-Dubé syndrome: a case report.,Radiol Case Rep,2023-12-17-22-03-25,True,NotMatch
33294559,PMC7701036,Masquerading case of a lumpy bumpy face.,JAAD Case Rep,2023-12-17-22-03-25,True,NotMatch
33532236,PMC7823044,A case report of recurrent pneumothoraces as a presentation of Birt Hogg Dube syndrome.,Respir Med Case Rep,2023-12-17-22-03-25,True,NotMatch
34474546,PMC8413918,Case report of a solitary fibrofolliculoma on the alar rim.,Arch Craniofac Surg,2023-12-17-22-03-25,True,Match
34540968,PMC8409184,A rare occurrence of a hereditary Birt-Hogg-Dubé syndrome: A case report.,World J Clin Cases,2023-12-17-22-03-25,True,NotMatch
35666727,PMC9170097,Epidemiology and clinical features of Birt-Hogg-Dubé syndrome: A nationwide population-based study in South Korea.,PLoS One,2023-12-17-22-03-25,True,NotMatch
35875814,PMC9304907,Delayed diagnosis of Birt-Hogg-Dubé syndrome might be aggravated by gender bias.,EClinicalMedicine,2023-12-17-22-03-25,True,NotMatch
36941874,PMC10023931,Multiple fibrofolliculomas within a fibrous cephalic plaque in a patient with tuberous sclerosis.,JAAD Case Rep,2023-12-17-22-03-25,True,Match
37415472,PMC10365899,Solitary fibrofolliculoma on the nasal septum: a case report.,Arch Craniofac Surg,2023-12-17-22-03-25,True,Match
37771352,PMC10523416,Fibrofolliculomas in Birt-Hogg-Dubé syndrome treated with nonfractionated ablative CO(2) laser.,JAAD Case Rep,2023-12-17-22-03-25,False,Match
38050526,PMC10693923,A Solitary Fibrofolliculoma in Close Proximity to the Medial Canthus.,Cureus,2023-12-17-22-03-25,False,Match
