pmcid,figure_name,width,height
PMC2629673,kjo-21-169-g002.jpg,482,361
PMC2629673,kjo-21-169-g003.jpg,489,359
PMC2629673,kjo-21-169-g001.jpg,489,353
PMC3229063,ad-23-S193-g001.jpg,482,206
PMC3229063,ad-23-S193-i001.jpg,676,171
PMC3229063,ad-23-S193-g003.jpg,479,195
PMC3229063,ad-23-S193-g002.jpg,642,246
PMC2526433,jkms-23-332-g004.jpg,635,382
PMC2526433,jkms-23-332-g001.jpg,470,336
PMC2526433,jkms-23-332-i001.jpg,420,431
PMC2526433,jkms-23-332-g003.jpg,472,336
PMC2526433,jkms-23-332-g002.jpg,472,312
PMC3985789,cde-0006-0020-g02.jpg,734,645
PMC3985789,cde-0006-0020-g01.jpg,709,565
PMC4689065,abd-90-06-0780-g04.jpg,771,578
PMC4689065,abd-90-06-0780-g08.jpg,771,286
PMC4689065,abd-90-06-0780-g07.jpg,771,287
PMC4689065,abd-90-06-0780-g10.jpg,771,579
PMC4689065,abd-90-06-0780-g03.jpg,771,577
PMC4689065,abd-90-06-0780-g11.jpg,771,533
PMC4689065,abd-90-06-0780-g12.jpg,600,799
PMC4689065,abd-90-06-0780-g02.jpg,771,288
PMC4689065,abd-90-06-0780-g06.jpg,771,290
PMC4689065,abd-90-06-0780-g09.jpg,771,288
PMC4689065,abd-90-06-0780-g01.jpg,771,580
PMC4689065,abd-90-06-0780-g05.jpg,600,450
PMC4049818,pone.0099071.g003.jpg,731,528
PMC4049818,pone.0099071.g005.jpg,695,797
PMC4049818,pone.0099071.g001.jpg,727,285
PMC4049818,pone.0099071.t002.jpg,746,119
PMC4049818,pone.0099071.g006.jpg,673,405
PMC4049818,pone.0099071.g004.jpg,683,301
PMC4049818,pone.0099071.g002.jpg,661,1295
PMC4049818,pone.0099071.t001.jpg,746,408
PMC4049818,pone.0099071.t003.jpg,746,138
PMC3726479,pone.0070030.g002.jpg,751,468
PMC3726479,pone.0070030.g001.jpg,698,706
PMC3726479,pone.0070030.t001.jpg,786,525
PMC3726479,pone.0070030.g004.jpg,790,448
PMC3726479,pone.0070030.g005.jpg,791,684
PMC3726479,pone.0070030.g003.jpg,764,963
PMC5083040,amjcaserep-17-788-g002.jpg,600,600
PMC5083040,amjcaserep-17-788-g004.jpg,600,600
PMC5083040,amjcaserep-17-788-g001.jpg,792,756
PMC5083040,amjcaserep-17-788-g003.jpg,600,474
PMC5345590,zecr_a_1292378_f0001_c.jpg,800,302
PMC5345590,zecr_a_1292378_f0003_b.jpg,800,443
PMC5345590,zecr_a_1292378_f0004_c.jpg,800,451
PMC5345590,zecr_a_1292378_f0002_c.jpg,800,329
PMC6610189,kjim-2018-119f2.jpg,630,402
PMC6610189,kjim-2018-119f3.jpg,634,385
PMC6610189,kjim-2018-119f1.jpg,626,533
PMC5857113,12881_2018_558_Fig3_HTML.jpg,473,126
PMC5857113,12881_2018_558_Fig1_HTML.jpg,359,204
PMC5857113,12881_2018_558_Fig2_HTML.jpg,358,285
PMC5776768,12881_2017_519_Fig1_HTML.jpg,567,189
PMC5776768,12881_2017_519_Fig2_HTML.jpg,567,294
PMC5776768,12881_2017_519_Fig4_HTML.jpg,567,283
PMC5776768,12881_2017_519_Fig3_HTML.jpg,472,203
PMC6453834,gr2.jpg,602,847
PMC6453834,gr3.jpg,759,857
PMC6453834,gr1.jpg,695,314
PMC7701036,gr2.jpg,747,564
PMC7701036,gr1.jpg,711,467
PMC7066789,12886_2020_1366_Fig1_HTML.jpg,787,591
PMC7066789,12886_2020_1366_Fig2_HTML.jpg,778,290
PMC7334545,gr2.jpg,714,308
PMC7334545,gr3.jpg,800,465
PMC7334545,gr1.jpg,666,668
PMC8413918,acfs-2021-00276f3.jpg,556,423
PMC8413918,acfs-2021-00276f2.jpg,554,421
PMC8413918,acfs-2021-00276f1.jpg,527,345
PMC9170097,pone.0269358.t003.jpg,786,415
PMC9170097,pone.0269358.t001.jpg,752,231
PMC9170097,pone.0269358.t002.jpg,752,191
PMC9170097,pone.0269358.t004.jpg,786,196
PMC9170097,pone.0269358.g001.jpg,765,567
PMC9304907,gr2.jpg,690,405
PMC9304907,gr1.jpg,750,279
PMC7823044,gr2.jpg,680,529
PMC7823044,gr4.jpg,680,531
PMC7823044,gr3.jpg,680,529
PMC7823044,gr5.jpg,680,531
PMC7823044,gr1.jpg,680,605
PMC10365899,acfs-2023-00185f2.jpg,699,307
PMC10365899,acfs-2023-00185f1.jpg,796,211
PMC10023931,gr2.jpg,711,532
PMC10023931,gr4.jpg,711,380
PMC10023931,gr3.jpg,711,407
PMC10023931,gr1.jpg,711,465
PMC8409184,WJCC-9-7123-g003.jpg,714,354
PMC8409184,WJCC-9-7123-g004.jpg,689,656
PMC8409184,WJCC-9-7123-g010.jpg,706,1643
PMC8409184,WJCC-9-7123-g007.jpg,709,472
PMC8409184,WJCC-9-7123-g006.jpg,709,472
PMC8409184,WJCC-9-7123-g001.jpg,718,707
PMC8409184,WJCC-9-7123-g009.jpg,793,448
PMC8409184,WJCC-9-7123-g005.jpg,712,714
PMC8409184,WJCC-9-7123-g002.jpg,708,708
PMC8409184,WJCC-9-7123-g008.jpg,749,936
