pmcid,label,caption,graphic
PMC529452,Figure 1,"Pretherapeutic clinical appearance of a 64-year-old patient consistent with the diagnosis of EMO syndrome, exophthalmus (a), combined lymphatic congestion and pretibial myxedema (b) and palmoulnar fibromatosis (intrasurgical, c).",1471-5945-4-17-1
PMC544863,Figure 1,"Phylogenetic analysis of the nucleotide sequences of the ORF59/60 junctional region from various rhadinoviruses. Sequences of the PCR products obtained using CODEHOP PCR primers from the rhadinoviruses MneRV2 (M. nemestrina), MfaRV2 (M. fascicularis), PcyRV2 (Papio cynocephalus) and RFHVMn (M. nemestrina) were aligned with the corresponding published sequences for KSHV (homo sapiens; U93872, bp 96678–97514), RRV (M. mulatta; AF083501, bp 92374–93205), and HVS (squirrel monkey, HSGEND, bp 81608–82613) using ClustalW. Phylogenetic analysis was performed using the DNA maximum likelihood procedure from Phylip. The division of New and Old World primate hosts is indicated. The RV1 and RV2 lineages of the Old World primate rhadinoviruses are shown. Novel viruses identified with the RV2 QPCR assay are underlined.",1743-422X-2-2-1
PMC544863,Figure 2,"Primer location and specificity of the RV2 QPCR assay. Corresponding sequences from the end of ORF 60 and the adjacent intergenic region from different rhadinoviruses (see legend to Figure 1) were aligned. Rhadinovirus species and lineages are indicated. The primer set and probe were designed from the RRV and MneRV2 sequences. The RV2a primer and RV2-FAM probe were derived from the sense strand, as shown, while the RV2b primer was derived from the antisense strand. The alignment shows the mismatches between the primer and probe sequences and the MfaRV2 and PcyRV2 sequences identified with the RV2 assay in this study. Dots represent residues identical to those in the RRV sequence, and highlight the similarity of the primer sequences within the RV2 lineage of rhadinoviruses and the dissimilarity with members of the RV1 lineage of rhadinoviruses.",1743-422X-2-2-2
PMC544863,Figure 3,"Primer location and specificity for the OSM QPCR assay to detect cell copy number. Corresponding sequences from the third exon of the OSM gene from human, African green monkey (AGM) and pig-tailed macaque (Mn) are aligned with the positions of the OSM primer set and probe indicated. The OSMa primer and OSM-FAM probe were derived from the sense strand, as shown, while the OSMb primer was derived from the antisense strand.",1743-422X-2-2-3
PMC544863,Figure 4,"Standard curves obtained from the RV2 rhadinovirus and OSM reference cellular gene assays. A) The standard RV2 assay was performed on purified MneRV2 DNA in a series of four-fold dilutions over the range of 2 copies to 3.0 × 105 copies of MneRV2. (slope = -3.320, 100% efficiency; r2 = 0.997). B) The standard OSM assay was performed on MmuA01111 spleen DNA in a series of four-fold dilutions over the range of 0.06 ng (20 diploid OSM gene copies) to 1 μg (3.2 × 105 diploid OSM gene copies). (slope = -3.322, 100% efficiency; r2 = 0.999)",1743-422X-2-2-4
PMC544863,Figure 5,"Biologically relevant standard curve obtained with the RV2 rhadinovirus assay using RV2 DNA in a constant amount (1 μg) of genomic DNA. DNA from MmuA01111 which was naturally infected with RRV was assayed in duplicate in four-fold dilutions made with uninfected macaque DNA. (slope = -3.318, 100% efficiency; r2 = 0.988].",1743-422X-2-2-5
PMC544863,Figure 6,"Comparison of the RV2 QPCR assay using different rhadinovirus templates diluted in genomic DNA. The PcyRV2 results were obtained using 1 μg of spleen DNA from baboon, Pcy78404, naturally infected with PcyRV2. The other rhadinovirus DNA templates were diluted in uninfected macaque genomic DNA to yield approximately equivalent CT values. The MneRV2 results were obtained using DNA from purified MneRV2 in macaque genomic DNA. The RRV results were obtained using DNA from spleen of MmuA01111, naturally infected with RRV. The MfaRV2 results were obtained using DNA from spleen of Mfa95044, naturally infected with MfaRV2. The released reporter fluorophore is plotted as a function of the amplification cycle number.",1743-422X-2-2-6
PMC2376350,Figure 1,The patient had a local relapse of right-thigh aggressive fibromatosis: a scintigraphy with 111In-labelled octreotide (OctreoScan) revealed tumour uptake of the radiopeptide (arrow).,88-6600823f1
PMC2376350,Figure 2,(A) Magnetic resonance (SE FS T1W post Gd-DTPA Image) showed a local relapse of right-thigh aggressive fibromatosis (arrow). (B) A partial response of disease (WHO criteria) was obtained by treating with 90Y-DOTATOC (SE T1W post Gd-DTPA magnetic resonance image).,88-6600823f2
PMC524188,Figure 1,Contrast enhanced computed tomography showing the tumor location between iliocostalis and psoas muscles in retroperitoneal space.,1477-7819-2-33-1
PMC524188,Figure 2,Coronal magnetic resonance imaging demonstrating the tumor beneath the left kidney.,1477-7819-2-33-2
PMC524188,Figure 3,Gross appearance of the resceted tumor. The cut surface homogeneously appears gray and glossy.,1477-7819-2-33-3
PMC524188,Figure 4,Photomicrograph showing the tumor composed of uniform spindled proliferation with moderate account of collagen fibers (hematoxylin and eosin ×400).,1477-7819-2-33-4
PMC1450265,Figure 1,"Phylogenetic analysis of env sequences from different SRV-2 isolates. (A) A phylogenetic tree of reference SRV-1, SRV-2 and SRV-3 env protein sequences and sequences obtained from the SRV-2 isolates in this study (see Table 1) was generated from a ClustalW multiple alignment using the protein maximum-likelihood method as implemented in the Phylip package (v. 3.62). The sequence of the distantly related simian sarcoma virus (SSV) env protein was used as outgroup [Genbank:NC001514]. (B) A detailed phylogenetic tree of the SRV-2 reference and isolate sequences was similarly generated using SRV-3 as outgroup. Emerging clusters were labelled as subtypes SRV-2A through 2F and virus isolates from animals diagnosed with RF are indicated.",1743-422X-3-11-1
PMC1450265,Figure 2,"Multiple alignment of the complete env sequences of representative prototypes of the SRV-2 subtypes. A ClustalW alignment was generated using one representative prototype member from each of the six SRV-2 subtype clusters: SRV-2A (D2/CEL/OR), SRV-2B (D2/RHE/ORV1), SRV-2C (442N), SRV-2D (F90346), SRV-2E (A94040), SRV-2F (SRV_sing31.2). The sequences of SRV-1 and SRV-3 were included for comparison. Dots represent amino acids identical to the reference sequence of the SRV-2A prototype. Conserved cysteine residues are shaded in yellow, while putative N-linked glycosylation sites (NXT/S) are shaded in black. The putative signal peptide, known T- and B-cell epitopes, heptad repeat, as well as the gp20 fusion and transmembrane domains are indicated and referenced in the text. A predicted disulfide linkage within the immunosuppressive peptide, and the proteolytic cleaveage sites generating the gp70 surface and gp20 transmembrane subunits are indicated. While B- and T-cell epitopes have been determined for SRV-2, the functions and locations of other domains are derived from studies in SRV-3.",1743-422X-3-11-2
PMC1450265,Figure 3,"Alignment of variable amino acid positions within SRV-2 env sequences. This column alignment presents only those amino acid positions that vary in one or more of the twenty-one SRV-2 env sequences analyzed; exact position within the complete env sequence (Figure 2) is indicated at the bottom of each column. The analogous amino acid positions of the closely related SRV-1 and SRV-3 sequences are shown for comparison. The macaque species, origin and RF status for each SRV-2 isolate are indicated on the right. Colored residues indicate the amino acid groupings upon which the phylogenetic analysis is based. Non-conserved amino acid variants are shaded (magenta). (Mne) Macaca nemestrina, (Mni) Macaca nigra, (Mfa) Macaca fascicularis, (Mmu) Macaca mulatta.",1743-422X-3-11-3
PMC1450265,Figure 4,"Structural and sequence alignment of the highly conserved putative disulfide-bonded loop region of the SRV-2 env and structurally similar regions of other viral envelope proteins. Structural similarities to the SRV-2 env protein were identified by querying the NCBI protein structure database using 3D-PSSM and Cn3D. A region within the C-terminal domain of SRV-2 env which was identical in all SRV-2 isolates and SRV-1 and SRV-3 prototypes (aa426-471) was predicted to have structural similarities to a disulfide-bonded loop presumed to be important for virus-cell fusion in a number of RNA viruses and retroviruses, including Ebola virus 1: 1EBO_A (Gp2); Ebola virus 2: 2EBO_A (Gp2); MMLV (Moloney murine leukemia virus): 1MOF (coat protein); HTLV-1 (human T-lymphotropic virus): 1MG1_A (gp21) (see text). The disulfide bridge is indicated by S-S.",1743-422X-3-11-4
PMC1488873,Figure 1,"Samples of palmar fibromatosis before and after laser capture microdissection. Panel A (Hematoxylin eosin × 200) shows a section of palmar fibromatosis nodule from patient 9, with proliferative spindled cells. Panel B (Hematoxylin eosin × 200) shows the area with proliferative spindled cells which are removed by laser capture microdissection. Panel C the captured spindled cells.",1479-5876-4-21-1
PMC1488873,Figure 2,"Histopathological and immunohistochemical features of palmar fibromatosis. Three distinct histological phases can be observed in the patient 9. The right part of Panel A (Hematoxylin and eosin × 200) shows proliferative phase of the lesion and the left part shows evolutional phase. Panel B (ABC × 200) shows the expression of α-SMA. Spindled cells of proliferative stage formed nodule and strongly expressed α-SMA. In evolutional stage, a majority of myofibroblasts were replaced by fibroblasts, and spindled cells were separated by the collagen. Panel C (Hematoxylin ane eosin × 200) shows residual phase of the lesion, and panel D (ABC × 200) shows the expression of α-SMA. Spindled cells disappear and are substituted by amounts of dense collagen. Except smooth muscle cells of blood vessels, α-SMA is negative.",1479-5876-4-21-2
PMC1488873,Figure 3,"Clonal analysis by the pattern of X-chromosome inactivation (representative cases: cases 3, 4, 7, 9, 12, and positive control). The presence of multiple bands of each allele in the positive control, case 7 and case 9 is attributable to the slippage of DNA polymerase during amplification. The DNA undigested with methylation-sensitive endonuclease HpaII (HpaII-) produced two primary bands with equal intensity. After HpaII digestion (HpaII+), only a single band was observed in the sample of rectum adenocarcinoma used as positive control (arrow), in contrast, all samples of palmar fibromatosis presented two primary allelic bands (arrow), and there is no distinct reduction in the intensity of one of the alleles analyzed by GeneTool Analysis Software. Each of the eight patients had random inactivation of X-chromosome, which indicated palmar fibromatosis is polyclonal.",1479-5876-4-21-3
PMC1543629,Figure 1,MRI sagital scan showing mass extending into the mediastinum and right pleural cavity. This scan shows clearly the anatomical relationship between the tumour and one of the vessels of the aorto-coronary by-pass.,1477-7819-4-43-1
PMC1543629,Figure 2,MRI transverse scan showing mass extension and anatomical relationship between the tumour and the tree grafts at level of ascending aorta.,1477-7819-4-43-2
PMC1543629,Figure 3,"Photomicrograph showing the tumour. A. Fusiform cells organized in fasciae, B. Fascitis like mixoid degeneration (Haematoxylin and Eosin 400×)",1477-7819-4-43-3
PMC1524961,Figure 1,Anatomical location of palpable mass in the left breast (dotted line) and three surgical scars from previous attempted excisions (solid lines).,1477-7819-4-32-1
PMC1524961,Figure 2,Magnetic resonance imaging non-contrast enhanced T-1 axial view.,1477-7819-4-32-2
PMC1524961,Figure 3,Magnetic resonance imaging contrast enhanced T-1 fat suppression sagittal view.,1477-7819-4-32-3
PMC1524961,Figure 4,Computed tomography scan axial view.,1477-7819-4-32-4
PMC1524961,Figure 5,"Left chest wall defect created by the en bloc resection, with the patient's head directed towards the upper right corner and the patient's feet directed towards the lower left corner. In the upper right one-quarter of left chest wall defect, deflated left lung is seen. In the lower three-quarters of the left chest wall defect, pericardium and pericardial fat are seen.",1477-7819-4-32-5
PMC1524961,Figure 6,Gross cross-sectional view of pathology specimen.,1477-7819-4-32-6
PMC1524961,Figure 7,High power (200×) H&E view showing fibromatosis with adjacent mammary ductal epithelium.,1477-7819-4-32-7
PMC1524961,Figure 8,High power (200×) H&E view showing fibromatosis invading into adjacent skeletal muscle.,1477-7819-4-32-8
PMC1563468,Figure 1,Cranial-caudal mammographic view of the right breast. The corresponding mammographic density is marked by a radiopaque BB in the mid-portion of the lateral pole of the breast.,1477-7819-4-57-1
PMC1563468,Figure 2,Medial-lateral oblique mammographic view of the right breast. The corresponding mammographic density is marked by a radiopaque BB in the mid-portion of the lower pole of the breast.,1477-7819-4-57-2
PMC1563468,Figure 3,Ultrasound of the right breast.,1477-7819-4-57-3
PMC1563468,Figure 4,Low power (40×) H&E view showing the presence of long interlacing fascicles of bland appearing spindle cells with a moderate amount of collagen deposition and focal hyalinization.,1477-7819-4-57-4
PMC1563468,Figure 5,"High power (400×) H&E view showing spindle cells with classic myofibroblastic features, consisting of vesicular nuclei and small nucleoli, indistinct cytoplasm, and interstitial collagen.",1477-7819-4-57-5
