pmcid,figure_name,width,height
PMC529452,1471-5945-4-17-1.jpg,600,505
PMC2376350,88-6600823f2.jpg,625,360
PMC2376350,88-6600823f1.jpg,654,448
PMC524188,1477-7819-2-33-3.jpg,600,513
PMC524188,1477-7819-2-33-2.jpg,600,756
PMC524188,1477-7819-2-33-4.jpg,600,450
PMC524188,1477-7819-2-33-1.jpg,600,406
PMC544863,1743-422X-2-2-1.jpg,600,552
PMC544863,1743-422X-2-2-4.jpg,600,638
PMC544863,1743-422X-2-2-3.jpg,600,92
PMC544863,1743-422X-2-2-2.jpg,600,226
PMC544863,1743-422X-2-2-6.jpg,600,346
PMC544863,1743-422X-2-2-5.jpg,600,312
PMC1450265,1743-422X-3-11-3.jpg,600,338
PMC1450265,1743-422X-3-11-1.jpg,600,758
PMC1450265,1743-422X-3-11-4.jpg,600,416
PMC1450265,1743-422X-3-11-2.jpg,600,857
PMC1488873,1479-5876-4-21-2.jpg,600,549
PMC1488873,1479-5876-4-21-3.jpg,600,329
PMC1488873,1479-5876-4-21-1.jpg,600,566
PMC1543629,1477-7819-4-43-3.jpg,600,246
PMC1543629,1477-7819-4-43-2.jpg,600,439
PMC1543629,1477-7819-4-43-1.jpg,600,528
PMC1524961,1477-7819-4-32-5.jpg,600,479
PMC1524961,1477-7819-4-32-4.jpg,600,600
PMC1524961,1477-7819-4-32-3.jpg,512,512
PMC1524961,1477-7819-4-32-6.jpg,600,450
PMC1524961,1477-7819-4-32-7.jpg,600,450
PMC1524961,1477-7819-4-32-1.jpg,600,479
PMC1524961,1477-7819-4-32-8.jpg,600,450
PMC1524961,1477-7819-4-32-2.jpg,600,600
PMC1563468,1477-7819-4-57-2.jpg,427,527
PMC1563468,1477-7819-4-57-6.jpg,540,235
PMC1563468,1477-7819-4-57-3.jpg,503,299
PMC1563468,1477-7819-4-57-1.jpg,427,572
PMC1563468,1477-7819-4-57-5.jpg,600,450
PMC1563468,1477-7819-4-57-4.jpg,600,450
PMC1557590,1746-1596-1-13-1.jpg,600,399
PMC1557590,1746-1596-1-13-3.jpg,600,792
PMC1557590,1746-1596-1-13-5.jpg,600,615
PMC1557590,1746-1596-1-13-4.jpg,600,812
PMC1557590,1746-1596-1-13-2.jpg,600,396
PMC1790895,1477-7819-5-11-2.jpg,479,597
PMC1790895,1477-7819-5-11-4.jpg,600,220
PMC1790895,1477-7819-5-11-1.jpg,488,599
PMC1790895,1477-7819-5-11-5.jpg,600,429
PMC1790895,1477-7819-5-11-3.jpg,600,250
PMC1808459,1477-7819-5-24-4.jpg,600,445
PMC1808459,1477-7819-5-24-2.jpg,600,450
