pmid,pmcid,title,journal,insert_time,has_targz,disease
2100128,PMC3053792,Fibrous hamartoma of infancy manifested as multiple nodules--a case report.,J Korean Med Sci,2023-12-17-22-03-07,True,Match
22066102,PMC3204559,Fibrous hamartoma of infancy: an experience of a single institute.,J Korean Surg Soc,2023-12-17-22-03-07,True,Match
23130211,PMC3481792,Fibrous hamartoma of infancy.,Indian Dermatol Online J,2023-12-17-22-03-07,True,Match
23716836,PMC3657246,Cutaneous changes in fibrous hamartoma of infancy.,Indian J Dermatol,2023-12-17-22-03-07,True,Match
27307866,PMC4898295,Precalcaneal congenital soft-tissue lesions in children: A case report of fibrous hamartoma of infancy and an approach to differential diagnosis.,Radiol Case Rep,2023-12-17-22-03-07,True,Match
28670037,PMC5487240,Clinical and radiological characterization of fibrous hamartoma of infancy.,Radiol Bras,2023-12-17-22-03-07,True,Match
29441738,PMC5811660,The First Reported Case of Fibrous Hamartoma of Infancy with Hyperhidrosis and Hypertrichosis in Korea.,J Korean Med Sci,2023-12-17-22-03-07,True,Match
30443119,PMC6182949,Concurrent Congenital Fibrolipomatous Hamartoma and Congenital Nevus of Infancy: A Syndromic or Chance Association.,J Indian Assoc Pediatr Surg,2023-12-17-22-03-07,True,NotMatch
30613391,PMC6305242,Fibroblastic and myofibroblastic tumors of children: new genetic entities and new ancillary testing.,F1000Res,2023-12-17-22-03-07,True,NotMatch
30618536,PMC6320476,Congenital morphea profunda in a 7-year-old male patient with coexistence of fibrous hamartoma of infancy: a rare case report.,Postepy Dermatol Alergol,2023-12-17-22-03-07,True,Match
30809410,PMC6364119,"A Rare Case of Fibrous Hamartoma of Infancy: A Clinicopathological Diagnosis at a Tertiary Hospital, Eastern Nepal.",Case Rep Pathol,2023-12-17-22-03-07,True,Match
31376836,PMC6679472,Fibrous hamartoma of infancy: radiologic features and literature review.,BMC Musculoskelet Disord,2023-12-17-22-03-07,True,Match
31788409,PMC6882684,Fibrous Hamartoma of Infancy in the Scrotum.,European J Pediatr Surg Rep,2023-12-17-22-03-07,True,Match
31908708,PMC6940639,A rare cause of unilateral breast swelling in a male infant caused by fibrous hamartoma of infancy combined with pseudoangiomatous stromal hyperplasia.,Radiol Case Rep,2023-12-17-22-03-07,True,Match
32176087,PMC7440069,Giant fibrous hamartoma of infancy: A case report.,Medicine (Baltimore),2023-12-17-22-03-07,True,Match
34083896,PMC8152395,Rare Paratesticular Masses in Children.,J Indian Assoc Pediatr Surg,2023-12-17-22-03-07,True,NotMatch
34449590,PMC8395933,Update on Superficial Spindle Cell Mesenchymal Tumors in Children.,Dermatopathology (Basel),2023-12-17-22-03-07,True,NotMatch
35574046,PMC9083879,Fibrous hamartoma of infancy with sarcomatous transformation: an unusual morphology.,Autops Case Rep,2023-12-17-22-03-07,True,Match
36237919,PMC9514445,CT and MRI Features of Middle Ear Fibrous Hamartoma of Infancy: A Case Report.,Taehan Yongsang Uihakhoe Chi,2023-12-17-22-03-07,True,Match
36248777,PMC9561742,Scrotal fibrous hamartoma of infancy: A case report and literature review of a rare tumor of the genitourinary tract.,Urol Case Rep,2023-12-17-22-03-07,True,Match
36338231,PMC9631151,Fibrous hamartoma of infancy with bone destruction of the tibia: A case report.,World J Clin Cases,2023-12-17-22-03-07,True,Match
37992340,PMC10656120,Sudden-Onset Pain in Fibrous Hamartoma of Infancy in a Child: An Atypical Presentation.,Dermatol Pract Concept,2023-12-17-22-03-07,False,Match
