pmcid,label,caption,graphic,disease,modality
PMC3481792,Figure 1,Skin defect after the excision is covered with split skin graft,IDOJ-2-25-g001,NotMatch,NotMatch
PMC3481792,Figure 2,"FHI shows an organoid pattern and is composed predominantly of mature adipose tissue, fibrous trabaculae and spindle-shaped cells (H & E, ×10)",IDOJ-2-25-g002,NotMatch,Match
PMC3657246,Figure 1,"The lesion is composed of three different mesenchymal tissues: Well-defined intersecting trabeculae of fibrous tissue, areas of immature cells in a myxoid matrix, and varying amounts of mature fat. Also the included overlying skin contained foci of eccrine hyperplasia with pronounced duct ectasia, dilated lumens with complex papillary formations and squamous metaplasia. This abnormal eccrine glands was surrounded mainly by the primitive mesenchymal tissue (H and E stain, ×400)",IJD-58-160e-g001,NotMatch,NotMatch
PMC3657246,Figure 2,"Here it is showed the formation of anomalous hair structures in the overlying epidermis, with microfollicles and abortive hair follicles (H and E stain, ×400)",IJD-58-160e-g002,NotMatch,NotMatch
PMC3204559,Fig. 1,"(A) The mass is relatively well-defined, and exhibits rubbery, gray-white fibrous tissue (case no. 5). (B) The lesion is poorly circumscribed, and has a soft, gray-white surface with interposing yellowish fat (case no. 6). (C, D) At scanning power (H&E), there are poorly circumscribed fibrotic (or sclerotic) lesions in the dermis (case no. 3 and 4, respectively). (E, F) The lesions are characterized by an organoid mixture of 3 distinct components: loosely textured area of small, round or spindle, primitive mesenchymal cells, fibrocollagenous tissue and mature fat at ×100 and ×40 magnification (H&E), respectively (case no. 3).",jkss-81-61-g001,NotMatch,Match
PMC5487240,Figure 1,"A: Forearm X-ray showing fracture associated with ulna
irregularity and bowing of the radius, together with increased thickness and
density of the soft parts of the forearm. B: Fat-saturated,
T2-weighted magnetic resonance imaging scan, in the coronal plane, showing
discontinuity of the ulna (arrow), the full extent of the lesion, and
suppression of the fatty content. C: T1-weighted magnetic
resonance imaging scan, in the coronal plane, highlighting the lipid content
of the lesion (arrow). D: Proton-density axial magnetic
resonance imaging slice in the region of the fractured ulna showing the
contrast uptake by the dense fibrous stroma, the fibrotic streaks (black
arrow), and the suppressed signaling of the fat content (white arrow).",rb-50-03-0204-g01,NotMatch,NotMatch
PMC4898295,Figure 1,Nearly 4-year-old boy with FHI. Lateral X-ray of the foot showing subcutaneous mass in the precalcaneal region (arrows).,gr1,NotMatch,NotMatch
PMC4898295,Figure 2,Nearly 4-year-old boy with FHI. Ultrasound demonstrating ill-defined hypoechoic mass in the precalcaneal region (arrows).,gr2,NotMatch,NotMatch
PMC4898295,Figure 3A,"Nearly 4-year-old boy with FHI. Sagittal T1 sequence reveals an ill-defined, hypointense, subcutaneous mass in the precalcaneal region (arrows). The skin marker slightly distorts the normal anatomy in this region.",gr3a,NotMatch,NotMatch
PMC4898295,Figure 3B,"Nearly 4-year-old boy with FHI. Coronal T1 sequence reveals an ill-defined, hypointense, subcutaneous mass in the precalcaneal region (arrows). The skin marker slightly distorts the normal anatomy in this region.",gr3b,NotMatch,NotMatch
PMC4898295,Figure 3C,"Nearly 4-year-old boy with FHI. Coronal STIR sequence showing an ill-defined, minimally hyperintense, subcutaneous mass in the precalcaneal region (arrows).",gr3c,NotMatch,NotMatch
PMC6182949,Figure 1,"(a) Resected specimen shows pigmented overlying skin which is wrinkled and thickened (b) Cut surface shows a relatively circumscribed soft-tissue tumor (c) Dermal aggregates of pigmented nevus cells (H and E, ×200) (d) Fibrolipomatous lesion in the underlying dermis (H and E, ×200)",JIAPS-23-219-g001,NotMatch,NotMatch
PMC6320476,Figure 1,"A, B – Multiple atrophic ill-defined patches across the trunk. C – Longitudinally arranged linear, band-like lesions extending to the right lower limb with muscle atrophy and knee joint flexion contracture",PDIA-35-77617-g001,NotMatch,NotMatch
PMC6320476,Figure 2,Histopathologic findings 20× magnification (A) hematoxylin eosin (B) orcein: the replacement of normal dermis and hypodermis structures by abnormal collagen. The vessels of the hypodermis show a thickened wall and decreased lumen size with mild inflammatory infiltrate,PDIA-35-77617-g002,NotMatch,NotMatch
PMC6364119,Figure 1,"Characteristic trimorphic components: fibrous tissue (short thin arrow), mature adipose tissue (thick arrow), and myxoid matrix (long thin arrow). H & E stain (100X).",CRIPA2019-9410415.001,NotMatch,Match
PMC6364119,Figure 2,Fibrous Tissue in Fascicles (arrow). H & E stain (100X).,CRIPA2019-9410415.002,NotMatch,Match
PMC6364119,Figure 3,Myxoid Areas. H & E stain (400X).,CRIPA2019-9410415.003,NotMatch,Match
PMC6364119,Figure 4,Mature Adipose tissue (arrow). H & E stain (100x).,CRIPA2019-9410415.004,NotMatch,Match
PMC6364119,Figure 5,Alcian Blue Stain (arrows). Special stain (100x).,CRIPA2019-9410415.005,NotMatch,Match
PMC6679472,Fig. 1,"a Noncontrast CT scan shows stripes of adipose in the mass (arrow) with speckled calcifications. b Axial fat suppressed T1-weighted MR image delineates hypointensity of adipose (arrow) and hyperintensity of multifocal subacute hemorrhages (short arrow). c Axial T2-weighted MR image shows the whirling appearance in the lobules combined with the signal void of vessels (arrow). d Contrast-enhanced axial fat suppressed T1-weighted MR image demonstrates heterogeneous enhancement of the mass. e Photomicrograph of pathologic specimen shows an admixture of mature adipose tissue, nodular aggregate of immature mesenchyme(arrow), and dense bundle of fibrocollagenous tissue (short arrow) (H&E,× 200)",12891_2019_2743_Fig1_HTML,NotMatch,Match
PMC6679472,Fig. 2,"a Lateral radiograph of the craniocervical area shows a giant soft-tissue mass with faint punctuate calcifications (arrow) and obvious compression of the skull. b Noncontrast CT scan shows low intensity of adipose (arrow) and high intensity of mineralization in the lobular mass. c Axial T1-weighted MR image demonstrates fine strands of high signal adipose (arrow). d Axial T2-weighted MR image delineates the whirling appearance in the lobules and multiple serpiginous signal voids (arrows). e Photomicrograph of pathologic specimen shows an admixture of islands of mature adipose tissue(arrow), scattered immature mesenchymal cells, and dense bundles of fibrous tissue (short arrow) (H&E,× 200)",12891_2019_2743_Fig2_HTML,NotMatch,Match
PMC6305242,Figure 1. ,"Fibrous hamartoma of infancy.A mixture of immature mesenchyme, mature fibroblasts, and adipose tissue is arranged in a haphazard organoid fashion. Hematoxylin and eosin stain, with scale bar. This figure uses an original image taken by DMP for publication.",f1000research-7-17731-g0000,Match,NotMatch
PMC6305242,Figure 2. ,"Fibrous hamartoma of infancy.This lesion contains areas with a pseudoangiomatous giant cell fibroblastoma-like pattern, as shown by the dilated vessels and dense collagen (
A). CD34 expression is found in this area (
B). (
A) Hematoxylin and eosin, 40× objective. (
B) CD34 immunostain, 20× objective. This figure uses an original image taken by DMP for publication.",f1000research-7-17731-g0001,Match,NotMatch
PMC6305242,Figure 3. ,"CD34 expression is found in the mesenchyme surrounding skin adnexae.CD34 immunostain, 20× objective. This figure uses an original image taken by DMP for publication.",f1000research-7-17731-g0002,NotMatch,NotMatch
