pmcid,figure_name,width,height
PMC3204559,jkss-81-61-g001.jpg,647,323
PMC3204559,jkss-81-61-i001.jpg,660,274
PMC3481792,IDOJ-2-25-g001.jpg,746,559
PMC3481792,IDOJ-2-25-g002.jpg,746,559
PMC3657246,IJD-58-160e-g001.jpg,698,422
PMC3657246,IJD-58-160e-g002.jpg,634,440
PMC5487240,rb-50-03-0204-g01.jpg,771,1770
PMC4898295,gr3b.jpg,606,945
PMC4898295,gr2.jpg,667,352
PMC4898295,gr1.jpg,667,764
PMC4898295,gr3a.jpg,664,733
PMC4898295,gr3c.jpg,670,1009
PMC6182949,JIAPS-23-219-g001.jpg,539,398
PMC6320476,PDIA-35-77617-g002.jpg,788,304
PMC6320476,PDIA-35-77617-g001.jpg,787,591
PMC6364119,CRIPA2019-9410415.005.jpg,578,410
PMC6364119,CRIPA2019-9410415.002.jpg,575,386
PMC6364119,CRIPA2019-9410415.004.jpg,578,405
PMC6364119,CRIPA2019-9410415.001.jpg,578,427
PMC6364119,CRIPA2019-9410415.003.jpg,578,400
PMC6305242,f1000research-7-17731-g0005.jpg,756,583
PMC6305242,f1000research-7-17731-g0008.jpg,415,388
PMC6305242,f1000research-7-17731-g0006.jpg,435,174
PMC6305242,f1000research-7-17731-g0004.jpg,769,684
PMC6305242,f1000research-7-17731-g0002.jpg,600,456
PMC6305242,f1000research-7-17731-g0000.jpg,737,540
PMC6305242,f1000research-7-17731-g0003.jpg,612,468
PMC6305242,f1000research-7-17731-g0001.jpg,484,192
PMC6305242,f1000research-7-17731-g0007.jpg,792,684
PMC5811660,jkms-33-e66-g001.jpg,692,445
PMC5811660,jkms-33-e66-g004.jpg,761,486
PMC5811660,jkms-33-e66-g002.jpg,741,472
PMC5811660,jkms-33-e66-g003.jpg,692,444
PMC5811660,jkms-33-e66-abf001.jpg,548,408
PMC6679472,12891_2019_2743_Fig2_HTML.jpg,709,458
PMC6679472,12891_2019_2743_Fig1_HTML.jpg,709,475
PMC6882684,10-1055-s-0039-1697924-i190448cr-6.jpg,800,600
PMC6882684,10-1055-s-0039-1697924-i190448cr-1.jpg,761,800
PMC6882684,10-1055-s-0039-1697924-i190448cr-4.jpg,800,544
PMC6882684,10-1055-s-0039-1697924-i190448cr-5.jpg,800,600
PMC6882684,10-1055-s-0039-1697924-i190448cr-2.jpg,450,800
PMC6882684,10-1055-s-0039-1697924-i190448cr-3.jpg,534,800
PMC6940639,gr2.jpg,708,634
PMC6940639,gr4.jpg,791,474
PMC6940639,gr3.jpg,791,1479
PMC6940639,gr1.jpg,791,708
PMC8152395,JIAPS-26-117-g002.jpg,605,141
PMC8152395,JIAPS-26-117-g001.jpg,539,225
PMC7440069,medi-99-e19489-g002.jpg,800,299
PMC7440069,medi-99-e19489-g003.jpg,800,197
PMC7440069,medi-99-e19489-g001.jpg,800,595
PMC9514445,jksr-83-420-g001.jpg,788,1034
PMC9083879,autopsy-12-e2021380-g01.jpg,787,589
PMC9083879,autopsy-12-e2021380-g02.jpg,768,576
PMC9083879,autopsy-12-e2021380-g03.jpg,733,808
PMC9561742,gr1.jpg,740,441
PMC9631151,WJCC-10-11190-g002.jpg,795,298
PMC9631151,WJCC-10-11190-g006.jpg,636,504
PMC9631151,WJCC-10-11190-g004.jpg,628,503
PMC9631151,WJCC-10-11190-g005.jpg,794,424
PMC9631151,WJCC-10-11190-g003.jpg,793,616
PMC9631151,WJCC-10-11190-g001.jpg,768,424
PMC8395933,dermatopathology-08-00035-g005.jpg,603,979
PMC8395933,dermatopathology-08-00035-g004.jpg,654,897
PMC8395933,dermatopathology-08-00035-g002.jpg,654,809
PMC8395933,dermatopathology-08-00035-g003.jpg,544,557
PMC8395933,dermatopathology-08-00035-g001.jpg,772,1355
PMC8395933,dermatopathology-08-00035-g006.jpg,674,485
