pmid,pmcid,title,journal,insert_time
10359041,PMC5926059,Frequent p53 gene mutations in soft tissue sarcomas arising in burn scar.,Jpn J Cancer Res,2024-02-14-09-13-15
11461070,PMC2364039,Microdialysis and response during regional chemotherapy by isolated limb infusion of melphalan for limb malignancies.,Br J Cancer,2024-02-14-09-13-15
12915885,PMC2376905,Gain of 17q in malignant fibrous histiocytoma is associated with a longer disease-free survival and a low risk of developing distant metastasis.,Br J Cancer,2024-02-14-09-13-15
12923345,PMC3055066,Primary intraosseous malignant fibrous histiocytoma of the skull: a case report.,J Korean Med Sci,2024-02-14-09-13-15
1310099,PMC2119130,High frequency of myelomonocytic tumors in aging E mu L-myc transgenic mice.,J Exp Med,2024-02-14-09-13-15
1310253,PMC1977349,Non-invasive assessment of human tumour hypoxia with 123I-iodoazomycin arabinoside: preliminary report of a clinical study.,Br J Cancer,2024-02-14-09-13-15
1419607,PMC1977430,Sarcomas in north west England: III. Survival.,Br J Cancer,2024-02-14-09-13-15
14604422,PMC5724465,Utilization of custom electron bolus in head and neck radiotherapy.,J Appl Clin Med Phys,2024-02-14-09-13-15
14760373,PMC2409588,Outcome of flat bone sarcomas (other than Ewing's) in children and adolescents: a study of 25 cases.,Br J Cancer,2024-02-14-09-13-15
15201521,PMC2816856,Giant cell malignant fibrous histiocytoma of the breast: a case report.,J Korean Med Sci,2024-02-14-09-13-15
15555083,PMC538289,Reconstruction of the pelvic ring using an autologous free non-vascularized fibula graft in a patient with benign fibrous histiocytoma.,World J Surg Oncol,2024-02-14-09-13-15
15744825,PMC2823048,Malignant fibrous histiocytoma of chest wall.,Yonsei Med J,2024-02-14-09-13-15
15886704,PMC2361782,Enhanced photodynamic destruction of a transplantable fibrosarcoma using photochemical internalisation of gelonin.,Br J Cancer,2024-02-14-09-13-15
16792809,PMC1513591,Primary intra-abdominal malignant fibrous histiocytoma presenting as pyrexia of unknown origin--report of a case with review of literature.,Int Semin Surg Oncol,2024-02-14-09-13-15
16820056,PMC1526734,Dedifferentiated chondrosarcoma with leukocytosis and elevation of serum G-CSF. A case report.,World J Surg Oncol,2024-02-14-09-13-15
16824232,PMC1538603,Good outcome after neoadjuvant chemotherapy and extended surgical resection for a large radiation-induced high-grade breast sarcoma.,Int Semin Surg Oncol,2024-02-14-09-13-15
17359542,PMC1839099,Diagnostic and prognostic gene expression signatures in 177 soft tissue sarcomas: hypoxia-induced transcription profile signifies metastatic potential.,BMC Genomics,2024-02-14-09-13-15
17460768,PMC1831850,Interleukin-8 producing malignant fibrous histiocytoma with prolonged fever.,Acta Histochem Cytochem,2024-02-14-09-13-15
17945018,PMC2211745,Malignant fibrous histiocytoma of the face: report of a case.,Head Face Med,2024-02-14-09-13-15
18021394,PMC2203997,"Dedifferentiated liposarcoma with leukocytosis. A case report of G-CSF-producing soft-tissue tumors, possible association with undifferentiated liposarcoma lineage.",World J Surg Oncol,2024-02-14-09-13-15
18460215,PMC2412854,Identification of heterogeneity among soft tissue sarcomas by gene expression profiles from different tumors.,J Transl Med,2024-02-14-09-13-15
1850724,PMC5918398,Heterogeneity of cloned cell lines established from a transplantable rat malignant fibrous histiocytoma.,Jpn J Cancer Res,2024-02-14-09-13-15
18521207,PMC2395350,The location and appearance of second malignancies in patients with bilateral retinoblastoma.,Sarcoma,2024-02-14-09-13-15
18521209,PMC2395351,EORTC Group Phase II Study of Oral Etoposide for Pretreated Soft Tissue Sarcoma.,Sarcoma,2024-02-14-09-13-15
18521280,PMC2395425,Digital metastases of giant cell rich malignant fibrous histiocytoma.,Sarcoma,2024-02-14-09-13-15
18521291,PMC2395436,Cerebral metastases from malignant fibrous histiocytoma of bone.,Sarcoma,2024-02-14-09-13-15
18521346,PMC2395490,Myxoid malignant fibrous histiocytoma with multiple primary sites.,Sarcoma,2024-02-14-09-13-15
18521398,PMC2395610,A Phase II Study of Docetaxel for the Treatment of Recurrent Osteosarcoma.,Sarcoma,2024-02-14-09-13-15
18521422,PMC2395635,A unique radiation scheme for the treatment of high-grade non-metastatic soft tissue sarcoma: the detroit medical center experience.,Sarcoma,2024-02-14-09-13-15
18521435,PMC2408361,Tumour transfer to bone graft donor site: a case report and review of the literature of the mechanism of seeding.,Sarcoma,2024-02-14-09-13-15
18521440,PMC2408370,AP2 protein expression as a diagnostic marker in soft tissue tumours.,Sarcoma,2024-02-14-09-13-15
18521441,PMC2408369,"Malignant Fibrous Histiocytoma, Aggressive Fibromatosis and Benign Fibrous Tumors Express mRNA for the Metalloproteinase Inducer EMMPRIN and the Metalloproteinases MMP-2 and MT1-MMP.",Sarcoma,2024-02-14-09-13-15
1892759,PMC1977501,Sarcomas in north west England: I. Histopathological peer review.,Br J Cancer,2024-02-14-09-13-15
19014612,PMC2614951,Radiation induced malignant histiocytoma of the contralateral breast following treatment of breast cancer: a case report and review of the literature.,Cases J,2024-02-14-09-13-15
19025608,PMC2611968,Immunohistochemical expression of promyelocytic leukemia body in soft tissue sarcomas.,J Exp Clin Cancer Res,2024-02-14-09-13-15
19116008,PMC2628670,A case of radiation-induced sternal malignant fibrous histiocytoma treated with neoadjuvant chemotherapy and surgical resection.,World J Surg Oncol,2024-02-14-09-13-15
19128509,PMC2628644,Mutation analysis of the Gadd45 gene at exon 4 in atypical fibroxanthoma.,BMC Dermatol,2024-02-14-09-13-15
19252681,PMC2637121,Giant cell tumor of tendon sheath in Guyon's canal causing ulnar tunnel syndrome. A case report and review of the literature.,Eplasty,2024-02-14-09-13-16
19617955,PMC2711395,Two cases of primary malignant fibrous histiocytoma of the liver: immunohistochemical expression of ezrin and its relationship with prognosis.,Acta Histochem Cytochem,2024-02-14-09-13-15
1966035,PMC3053794,Limb-salvage operations in primary malignant tumors of the bone--interim report.,J Korean Med Sci,2024-02-14-09-13-15
19675769,PMC2721503,Benign fibrous histiocytoma of the bladder.,Indian J Urol,2024-02-14-09-13-15
19826427,PMC2768447,Side population cells have the characteristics of cancer stem-like cells/cancer-initiating cells in bone sarcomas.,Br J Cancer,2024-02-14-09-13-15
19956606,PMC2779485,Cross species genomic analysis identifies a mouse model as undifferentiated pleomorphic sarcoma/malignant fibrous histiocytoma.,PLoS One,2024-02-14-09-13-15
20066060,PMC2804724,Oral benign fibrous histiocytoma: two case reports.,Cases J,2024-02-14-09-13-15
20224764,PMC2836174,Rapidly evolving giant dermatofibroma.,Case Rep Med,2024-02-14-09-13-15
20368975,PMC2848563,"Analysis of multiple sarcoma expression datasets: implications for classification, oncogenic pathway activation and chemotherapy resistance.",PLoS One,2024-02-14-09-13-15
20514291,PMC2875858,Immunohistochemical analysis of CXCR4 expression in fibrohistiocytic tumors.,Acta Histochem Cytochem,2024-02-14-09-13-15
