pmcid,label,caption,graphic
PMC2376905,Figure 1,CGH profiles demonstrating tumours with (A–D) and without (E and F) copy number gains including chromosome 17q in MFH tumours.,89-6601069f1
PMC2376905,Figure 2,"A summary of DNA sequence number alterations detected by CGH in at least two of the 39 MFH tumours studied as shown at the top. One alteration identified in one tumour is represented by one line, with losses indicated to the left and gains to the right of the ideograms. High-level amplifications of subchromosomal regions are marked with thick lines. The distribution of the CGH alterations detected in MFH tumours for the most frequently involved subchromosomal regions are illustrated at the bottom. Red boxes indicate a gain in one tumour, while black boxes represent tumours without a CGH imbalance in the particular region. The cases are ordered 1–39 from left to right, and the patients who developed distant metastases and/or local recurrences during follow-up are marked by M and R, respectively.",89-6601069f2
PMC2376905,Figure 3,"Kaplan–Meier curves demonstrating the significant associations between gain of 17q and longer disease-free survival (A), and a lower frequency of metastasis without local recurrence (B), during follow-up of patients with highly malignant MFH tumours. The comparisons were made against cases who were without evidence of the disease at the end of follow-up.",89-6601069f3
PMC5724465,Figure 1,"(Color) View of Patient 1 immobilization. A thermal plastic patient immobilization system (Aquaplast, Wycoff, NJ) is used to immobilize the patient's head and neck.",ACM2-4-321-g001
PMC5724465,Figure 2,"(Color) Transverse CT slices of Patient 1 showing the location, depth, and shape of the parotid PTV at various levels.",ACM2-4-321-g002
PMC5724465,Figure 3,(Color) Transverse and sagittal isodose distribution (Gy) for initial bolus design plan for Patient 1. A dose of 60 Gy was prescribed to the 90% of the given dose using 12 MeV electrons. The PTV is indicated with the yellow contour.,ACM2-4-321-g003
PMC5724465,Figure 4,(Color) (a) Custom electron bolus proximal surface used to treat Patient 1. The proximal side is designed to modulate the penetration of the electron beam to match the PTV. (b) Custom electron bolus distal surface used to treat Patient 1. The distal side is designed to match the patient skin surface.,ACM2-4-321-g004
PMC5724465,Figure 5,(Color) The custom 3D electron bolus in treatment position for Patient 1.,ACM2-4-321-g005
PMC5724465,Figure 6,(Color) Comparison of isodose distribution with bolus in place QA plan and bolus design plan for Patient 1 (Note: Prescription 60 Gy at 90% i.e. 90% 2D plan equals 60 Gy 3D plan).,ACM2-4-321-g006
PMC5724465,Figure 7,Dose volume histograms for the customized electron bolus plan for Patient 1. The histograms show that the electron bolus treatment plan covers the target volume well while minimizing dose to the critical organs.,ACM2-4-321-g007
PMC5724465,Figure 8,"(Color) View of Patient 2 immobilization. A thermal plastic patient immobilization system (Aquaplast, Wycoff, NJ) is used to immobilize the patient's head and neck.",ACM2-4-321-g008
PMC5724465,Figure 9,"(Color) Transverse CT slices of Patient 2 showing the surface anatomical defect and the location, depth, and shape of the parotid PTV at various levels.",ACM2-4-321-g009
PMC5724465,Figure 10,(Color) Transverse and sagittal isodose distribution (%) for initial bolus design plan for Patient 2. The maximum depth of the PTV is such that 20 MeV electrons were required for the bolus electron conformal treatment plan. The PTV is indicated with the green contour.,ACM2-4-321-g010
PMC5724465,Figure 11,(Color) (a) Custom electron bolus distal surface used to treat Patient 2. The distal side is designed to match the patient surface. (b) Custom electron bolus proximal surface used to treat Patient 2. The proximal side is designed to modulate the penetration of the electron beam to match the PTV.,ACM2-4-321-g011
PMC5724465,Figure 12,(Color) Isodose distribution with bolus in place QA plan for Patient 2.,ACM2-4-321-g012
PMC5724465,Figure 13,"Dose‐volume histograms for the PTV, spinal cord, left lung, and brain for the custom bolus treatment plan (black lines) and a two‐field plan with a 20 MeV electrons superiorly and 12‐MeV electrons inferiorly (gray lines).",ACM2-4-321-g013
PMC1977349,p92-a,,brjcancer00065-0100-a
PMC1977349,Figure 2,,brjcancer00065-0101-a
PMC2816856,Fig. 1,"Gross finding of the tumor. The tumor involves almost the entire left breast, which is rotted by extensive necrosis and inflammation.",jkms-19-477-g001
PMC2816856,Fig. 2,"Microscopic findings of the tumor. Low power (A, H&E, ×100) and high power (B, H&E, ×400) examinations show many multinucleated osteoclast-like giant cells and hyperchromatic mononuclear tumor cells.",jkms-19-477-g002
PMC2409588,Figure 1,Survival rates from the diagnosis of flat bone arcomas: ______ Overall survival (n=25); ....event-free survival (n=25).,90-6601564f1
PMC538289,Figure 1,Radiograph of the pelvis showing a well-circumscribed osteolytic lesion in the left iliac bone; it is sharply marginated with a thin sclerotic rim and without any matrix calcifications.,1477-7819-2-38-1
PMC538289,Figure 2,"a-d: MRI shows a mass originating from the ileum and extending into the soft tissues both anteromedially and posterolaterally. In T1-weighted sequences the mass is isointense with muscle (a). It enhances after administration of gadolinium (b, c). In fat-suppressed T2-weighted sequences it has high signal intensity (d).",1477-7819-2-38-2
PMC538289,Figure 3,"Defect after tumor resection, with disruption of the linea terminalis.",1477-7819-2-38-3
PMC538289,Figure 4,Macroscopic view of the resection specimen in transverse orientation. Large yellow osteodestructive tumor originating from iliac bone and with extensive extraosseous parts. Invasion of massa lateralis of sacral bone. Sharp borders between tumor and bone are indicative of a slow-growing neoplasm.,1477-7819-2-38-4
PMC538289,Figure 5,Histology of the resection specimen. Spindle tumor cells admixed with some multinucleated giant cells (left) and foamy macrophages (middle) and cholesterol clefts (right). (Hematoxyllin and Eosin x),1477-7819-2-38-5
PMC538289,Figure 6,Status after interposition of the fibula transplant,1477-7819-2-38-6
PMC538289,Figure 7,"Radiographic check 18 months after surgery, showing identical position of the fibular transplant",1477-7819-2-38-7
PMC2361782,Figure 1,"Time-dependent concentration of AlPcS2a in serum and tumour after i.p. injection of 10 mg kg−1. Regression lines are used to describe the decay of AlPcS2a levels from 48 h after administration. Plots are the mean values of 3–5 animals for each time point. Bars, s.d.",92-6602600f1
PMC2361782,Figure 2,"Distribution of AlPcS2a in tumours after i.p. injection of 10 mg kg−1 AlPcS2a. Upper photos (fluorescence and H&E staining): 6 h after injection, AlPcS2a is mainly in the tumour vasculature. Lower photos (fluorescence and H&E staining): 48 h after injection, AlPcS2a is mainly intracellular.",92-6602600f2
PMC2361782,Figure 3,Macroscopic fluorescence 48 h after i.p. injection of 10 mg kg−1 AlPcS2a. High fluorescence intensity is red and low intensity is blue. High intensity was detected in the tumour region and in the liver.,92-6602600f3
PMC2361782,Figure 4,(A) Western blot showing level of gelonin in tumour at times from 10 min to 48 h after direct i.t. injection of 50 μg. The blot shows also an MW standard of 30 kDa as well as pure native gelonin as control (ctrl) and tumour extract from untreated tissue (no Gel). (B) The PVDF membrane was stained with Ponceu S solution to verify even loading.,92-6602600f4
PMC2361782,Figure 5,"Tumour growth after treatment (Kaplan–Meier plot). The five groups treated were: group 1: PCI, group 2: PDT, group 3: no treatment, group 4: AlPcS2a+gelonin (no light), group 5: gelonin+light (no AlPcS2a). Animals were killed when the tumour volume reached 1000 mm3.",92-6602600f5
PMC2361782,Figure 6,Photomicrographs of tumours 4 days after treatment. Areas of complete necrosis were clearly demarcated from adjacent viable tissue (arrows). (A) Tumour treated with PCI. (B) tumour treated with PDT.,92-6602600f6
PMC2823048,Fig. 1,The posteroanterior (A) and lateral (B) chest radiograph revealed a round mass lesion (arrows) in the left anterior chest.,ymj-46-177-g001
PMC2823048,Fig. 2,"Sonography showed a well defined, oval shaped, hypoechoic mass (arrows) involving a rib (arrowhead).",ymj-46-177-g002
PMC2823048,Fig. 3,"CT demonstrated the presence of a relatively well defined, ovoid shaped mass at the anterior chest wall. A. Bony infiltration (arrow) and defect (arrowhead) was suggestive of the tumor having a malignant nature. The interface between the mass and the lung was smooth, and compression of the lung was observed. B. The mass showed heterogeneous weak enhancement (arrow). There was no mediastinal lymph node enlargement.",ymj-46-177-g003
PMC2823048,Fig. 4,The WBBS revealed markedly increased bony uptake (arrow) of the left 3rd anterior rib without other abnormal uptake on the whole skeletons.,ymj-46-177-g004
PMC2823048,Fig. 5,Gross specimen showed a multilobulated pinkishwhite solid mass.,ymj-46-177-g005
