pmcid,figure_name,width,height
PMC2376905,89-6601069t2.jpg,795,849
PMC2376905,89-6601069f1.jpg,687,637
PMC2376905,89-6601069t1.jpg,795,488
PMC2376905,89-6601069f2.jpg,749,471
PMC2376905,89-6601069f3.jpg,792,1221
PMC5724465,ACM2-4-321-g008.jpg,317,450
PMC5724465,ACM2-4-321-g005.jpg,229,211
PMC5724465,ACM2-4-321-g012.jpg,550,287
PMC5724465,ACM2-4-321-g011.jpg,265,153
PMC5724465,ACM2-4-321-g003.jpg,351,452
PMC5724465,ACM2-4-321-g009.jpg,500,379
PMC5724465,ACM2-4-321-g001.jpg,231,273
PMC5724465,ACM2-4-321-g002.jpg,197,441
PMC5724465,ACM2-4-321-g013.jpg,264,192
PMC5724465,ACM2-4-321-g006.jpg,409,375
PMC5724465,ACM2-4-321-g007.jpg,267,201
PMC5724465,ACM2-4-321-g004.jpg,268,132
PMC5724465,ACM2-4-321-g010.jpg,263,353
PMC1977349,brjcancer00065-0100-a.jpg,666,655
PMC1977349,brjcancer00065-0101-a.jpg,660,318
PMC2409588,90-6601564t3.jpg,779,113
PMC2409588,90-6601564t1.jpg,779,820
PMC2409588,90-6601564f1.jpg,763,608
PMC2409588,90-6601564t2.jpg,779,254
PMC2816856,jkms-19-477-g002.jpg,635,302
PMC2816856,jkms-19-477-g001.jpg,473,473
PMC538289,1477-7819-2-38-1.jpg,600,450
PMC538289,1477-7819-2-38-4.jpg,413,465
PMC538289,1477-7819-2-38-6.jpg,600,450
PMC538289,1477-7819-2-38-3.jpg,480,640
PMC538289,1477-7819-2-38-7.jpg,600,439
PMC538289,1477-7819-2-38-2.jpg,600,415
PMC538289,1477-7819-2-38-5.jpg,600,337
PMC2361782,92-6602600f2.jpg,797,656
PMC2361782,92-6602600f6.jpg,791,545
PMC2361782,92-6602600f4.jpg,792,265
PMC2361782,92-6602600f3.jpg,832,475
PMC2361782,92-6602600f1.jpg,786,870
PMC2361782,92-6602600f5.jpg,773,696
PMC1513591,1477-7800-3-15-4.jpg,600,600
PMC1513591,1477-7800-3-15-2.jpg,600,480
