pmid,pmcid,title,journal,insert_time,has_targz
17346338,PMC1831467,Matrix Metalloproteinase-9 (MMP-9) polymorphisms in patients with cutaneous malignant melanoma.,BMC Med Genet,2023-12-17-22-13-04,True
17958893,PMC2148054,Functional polymorphisms in the promoter regions of MMP2 and MMP3 are not associated with melanoma progression.,J Negat Results Biomed,2023-12-17-22-13-04,True
18680608,PMC2525625,Melasma and its association with different types of nevi in women: a case-control study.,BMC Dermatol,2023-12-17-22-13-04,True
20804622,PMC2994384,Effect of combination of taurine and azelaic acid on antimelanogenesis in murine melanoma cells.,J Biomed Sci,2023-12-17-22-13-04,True
22236362,PMC3314538,Diffuse large B cell lymphoma presenting as Horner's syndrome in a patient diagnosed with neurofibromatosis type 1: a case report and review of the literature.,J Med Case Rep,2023-12-17-22-13-04,True
23112352,PMC3482795,Aging in elderly: chronological versus photoaging.,Indian J Dermatol,2023-12-17-22-13-04,True
23123854,PMC3521494,An ultraviolet-radiation-independent pathway to melanoma carcinogenesis in the red hair/fair skin background.,Nature,2023-12-17-22-13-04,True
23173036,PMC3500240,Plants from Brazilian Cerrado with potent tyrosinase inhibitory activity.,PLoS One,2023-12-17-22-13-04,True
23304221,PMC3524650,Melanogenesis Inhibitor(s) from Phyla nodiflora Extract.,Evid Based Complement Alternat Med,2023-12-17-22-13-04,True
23378708,PMC3560166,A Split-face Comparative Study of 70% Trichloroacetic Acid and 80% Phenol Spot Peel in the Treatment of Freckles.,J Cutan Aesthet Surg,2023-12-17-22-13-04,True
23739694,PMC3750885,A melanoma risk score in a Brazilian population.,An Bras Dermatol,2023-12-17-22-13-04,True
24194866,PMC3806753,Genetic and phenotypic heterogeneity in Chinese patients with Waardenburg syndrome type II.,PLoS One,2023-12-17-22-13-04,True
24494045,PMC3897580,Vitamin D and melanoma.,Dermatoendocrinol,2023-12-17-22-13-04,True
24649470,PMC3957316,Surgical treatment of mesial temporal lobe epilepsy in a patient with neurofibromatosis type 1.,J Epilepsy Res,2023-12-17-22-13-04,True
24965055,PMC4088300,Multiple non-ossifying fibromas as a cause of pathological femoral fracture in Jaffe-Campanacci syndrome.,BMC Musculoskelet Disord,2023-12-17-22-13-04,True
25046747,PMC4139872,"S-(-)-10,11-dihydroxyfarnesoic acid methyl ester inhibits melanin synthesis in murine melanocyte cells.",Int J Mol Sci,2023-12-17-22-13-04,True
25063049,PMC4282881,Melanogenesis inhibitory effect of aerial part of Pueraria thunbergiana in vitro and in vivo.,Arch Dermatol Res,2023-12-17-22-13-04,True
25247170,PMC4170576,Synchronous multiple colonic adenocarcinomas arising in patient with neurofibromatosis type 1.,Ann Surg Treat Res,2023-12-17-22-13-04,True
25288931,PMC4174796,Phyllosticta musarum Infection-Induced Defences Suppress Anthracnose Disease Caused by Colletotrichum musae in Banana Fruits cv 'Embul'.,Plant Pathol J,2023-12-17-22-13-04,True
25386046,PMC4217328,"NF-κB/AP-1-targeted inhibition of macrophage-mediated inflammatory responses by depigmenting compound AP736 derived from natural 1,3-diphenylpropane skeleton.",Mediators Inflamm,2023-12-17-22-13-04,True
25593393,PMC4293691,Effects of Cream Containing Ficus carica L. Fruit Extract on Skin Parameters: In vivo Evaluation.,Indian J Pharm Sci,2023-12-17-22-13-04,True
26010596,PMC4744993,Sesamol decreases melanin biosynthesis in melanocyte cells and zebrafish: Possible involvement of MITF via the intracellular cAMP and p38/JNK signalling pathways.,Exp Dermatol,2023-12-17-22-13-04,True
26347269,PMC4554394,Salicylic acid as a peeling agent: a comprehensive review.,Clin Cosmet Investig Dermatol,2023-12-17-22-13-04,True
