pmcid,figure_name,width,height
PMC2148054,1477-5751-6-9-1.jpg,600,409
PMC1831467,1471-2350-8-10-1.jpg,600,450
PMC2994384,1423-0127-17-S1-S45-4.jpg,600,502
PMC2994384,1423-0127-17-S1-S45-2.jpg,600,1038
PMC2994384,1423-0127-17-S1-S45-3.jpg,600,1006
PMC2994384,1423-0127-17-S1-S45-1.jpg,600,431
PMC2994384,1423-0127-17-S1-S45-5.jpg,600,500
PMC3314538,1752-1947-6-8-3.jpg,600,288
PMC3314538,1752-1947-6-8-2.jpg,600,294
PMC3314538,1752-1947-6-8-1.jpg,600,532
PMC3482795,IJD-57-343-g003.jpg,561,350
PMC3482795,IJD-57-343-g015.jpg,1157,480
PMC3482795,IJD-57-343-g014.jpg,1158,682
PMC3482795,IJD-57-343-g016.jpg,559,268
PMC3482795,IJD-57-343-g002.jpg,562,682
PMC3482795,IJD-57-343-g007.jpg,618,399
PMC3482795,IJD-57-343-g005.jpg,1157,249
PMC3482795,IJD-57-343-g009.jpg,619,448
PMC3482795,IJD-57-343-g008.jpg,618,448
PMC3482795,IJD-57-343-g012.jpg,1159,372
PMC3482795,IJD-57-343-g017.jpg,559,236
PMC3482795,IJD-57-343-g006.jpg,618,448
PMC3482795,IJD-57-343-g011.jpg,719,620
PMC3482795,IJD-57-343-g001.jpg,549,60
PMC3482795,IJD-57-343-g018.jpg,552,84
PMC3482795,IJD-57-343-g004.jpg,560,134
PMC3482795,IJD-57-343-g013.jpg,560,222
PMC3482795,IJD-57-343-g010.jpg,618,429
PMC3500240,pone.0048589.t002.jpg,786,1786
PMC3500240,pone.0048589.g001.jpg,783,641
PMC3500240,pone.0048589.g002.jpg,686,307
PMC3500240,pone.0048589.g004.jpg,672,835
PMC3500240,pone.0048589.g003.jpg,672,537
PMC3500240,pone.0048589.t001.jpg,746,491
PMC3560166,JCAS-5-261-g004.jpg,673,324
PMC3560166,JCAS-5-261-g006.jpg,714,464
PMC3560166,JCAS-5-261-g005.jpg,673,253
PMC3560166,JCAS-5-261-g003.jpg,673,456
PMC3560166,JCAS-5-261-g001.jpg,673,234
PMC3560166,JCAS-5-261-g002.jpg,632,413
PMC3524650,ECAM2012-867494.004.jpg,600,1306
PMC3524650,ECAM2012-867494.001.jpg,600,1094
PMC3524650,ECAM2012-867494.003.jpg,600,2052
PMC3524650,ECAM2012-867494.006.jpg,600,562
PMC3524650,ECAM2012-867494.005.jpg,600,2266
PMC3524650,ECAM2012-867494.002.jpg,600,1082
PMC3806753,pone.0077149.g002.jpg,705,573
PMC3806753,pone.0077149.t002.jpg,786,750
PMC3806753,pone.0077149.g001.jpg,738,565
PMC3806753,pone.0077149.t001.jpg,746,550
PMC3806753,pone.0077149.g003.jpg,716,553
PMC3897580,de-5-121-g1.jpg,791,550
PMC3897580,de-5-121-g4.jpg,700,517
PMC3897580,de-5-121-g3.jpg,769,762
PMC3897580,de-5-121-g2.jpg,691,416
PMC3957316,er-3-1-35-7f2.jpg,799,513
PMC3957316,er-3-1-35-7f1.jpg,798,473
PMC3957316,er-3-1-35-7f3.jpg,798,654
PMC3521494,nihms423264f1.jpg,762,500
PMC3521494,nihms423264f3.jpg,800,530
PMC3521494,nihms423264f2.jpg,601,900
PMC3521494,nihms423264f4.jpg,795,735
PMC4088300,1471-2474-15-218-7.jpg,600,594
PMC4088300,1471-2474-15-218-1.jpg,600,1207
PMC4088300,1471-2474-15-218-6.jpg,600,298
PMC4088300,1471-2474-15-218-3.jpg,600,686
PMC4088300,1471-2474-15-218-4.jpg,600,600
PMC4088300,1471-2474-15-218-5.jpg,600,594
PMC4088300,1471-2474-15-218-2.jpg,600,594
PMC4139872,ijms-15-12750-g006.jpg,680,491
PMC4139872,ijms-15-12750-g004.jpg,747,690
PMC4139872,ijms-15-12750-g003.jpg,766,432
PMC4139872,ijms-15-12750-g002.jpg,738,352
PMC4139872,ijms-15-12750-g005.jpg,772,382
PMC4139872,ijms-15-12750-g001.jpg,770,439
PMC4282881,403_2014_1489_Fig5_HTML.jpg,742,400
PMC4282881,403_2014_1489_Fig16_HTML.jpg,774,686
PMC4282881,403_2014_1489_Fig10_HTML.jpg,787,876
PMC4282881,403_2014_1489_Fig14_HTML.jpg,787,286
PMC4282881,403_2014_1489_Fig7_HTML.jpg,738,302
PMC4282881,403_2014_1489_Fig12_HTML.jpg,787,608
PMC4282881,403_2014_1489_Fig8_HTML.jpg,742,383
PMC4282881,403_2014_1489_Fig2_HTML.jpg,750,1094
PMC4282881,403_2014_1489_Fig6_HTML.jpg,787,601
PMC4282881,403_2014_1489_Fig11_HTML.jpg,774,656
PMC4282881,403_2014_1489_Fig4_HTML.jpg,787,267
PMC4282881,403_2014_1489_Fig3_HTML.jpg,800,223
PMC4282881,403_2014_1489_Fig13_HTML.jpg,787,1181
PMC4282881,403_2014_1489_Fig9_HTML.jpg,787,267
PMC4282881,403_2014_1489_Fig1_HTML.jpg,787,413
PMC4282881,403_2014_1489_Fig15_HTML.jpg,787,596
PMC4174796,ppj-29-077f2.jpg,788,909
PMC4174796,ppj-29-077f6.jpg,685,889
PMC4174796,ppj-29-077f1.jpg,654,380
PMC4174796,ppj-29-077f3.jpg,685,695
PMC4174796,ppj-29-077f4.jpg,768,652
PMC4174796,ppj-29-077f5.jpg,749,518
PMC4217328,MI2014-354843.001.jpg,658,457
PMC4217328,MI2014-354843.004.jpg,702,904
PMC4217328,MI2014-354843.005.jpg,710,954
PMC4217328,MI2014-354843.002.jpg,692,1379
PMC4217328,MI2014-354843.003.jpg,795,370
PMC4217328,MI2014-354843.006.jpg,741,576
PMC4293691,IJPhS-76-560-g001.jpg,480,231
PMC4293691,IJPhS-76-560-g004.jpg,478,278
PMC4293691,IJPhS-76-560-g003.jpg,471,240
PMC4293691,IJPhS-76-560-g002.jpg,480,248
PMC4293691,IJPhS-76-560-g005.jpg,470,260
PMC4170576,astr-87-156-i001.jpg,1200,375
PMC4170576,astr-87-156-g002.jpg,681,703
PMC4170576,astr-87-156-g001.jpg,686,512
PMC4744993,EXD-24-761-g002.jpg,319,128
PMC4744993,EXD-24-761-g001.jpg,319,269
PMC4744993,EXD-24-761-g004.jpg,319,285
PMC4744993,EXD-24-761-g003.jpg,319,263
PMC4972429,pone.0160146.t003.jpg,750,1924
PMC4972429,pone.0160146.t005.jpg,750,1577
PMC4972429,pone.0160146.t002.jpg,750,256
PMC4972429,pone.0160146.t001.jpg,750,256
PMC4972429,pone.0160146.t004.jpg,750,109
PMC4985397,medi-94-e1817-g001.jpg,800,838
PMC4985397,medi-94-e1817-g003.jpg,800,561
PMC4985397,medi-94-e1817-g007.jpg,800,892
PMC4985397,medi-94-e1817-g005.jpg,1200,1539
PMC4985397,medi-94-e1817-g004.jpg,800,587
PMC4985397,medi-94-e1817-g008.jpg,800,402
PMC4985397,medi-94-e1817-g006.jpg,1200,716
PMC4985397,medi-94-e1817-g002.jpg,800,1084
PMC4985397,medi-94-e1817-g009.jpg,800,581
PMC5802264,cej-27-192-g002.jpg,1200,268
PMC5802264,cej-27-192-g003.jpg,669,679
PMC5802264,cej-27-192-g001.jpg,669,679
PMC6273111,molecules-21-01296-g002.jpg,734,194
PMC6273111,molecules-21-01296-g004.jpg,757,407
PMC6273111,molecules-21-01296-g003.jpg,722,446
PMC6273111,molecules-21-01296-g005a.jpg,720,469
PMC6273111,molecules-21-01296-g001.jpg,713,798
PMC6273111,molecules-21-01296-g005b.jpg,722,476
PMC5346920,cro-0010-0161-g01.jpg,531,454
PMC5346920,cro-0010-0161-g02.jpg,531,487
PMC5346920,cro-0010-0161-g03.jpg,531,397
PMC5103440,12906_2016_1442_Fig4_HTML.jpg,358,430
PMC5103440,12906_2016_1442_Fig5_HTML.jpg,779,599
PMC5103440,12906_2016_1442_Fig3_HTML.jpg,358,629
PMC5103440,12906_2016_1442_Fig1_HTML.jpg,357,477
PMC5103440,12906_2016_1442_Fig2_HTML.jpg,358,287
PMC5548677,1349-7235-56-1843-g003.jpg,630,279
PMC5548677,1349-7235-56-1843-g002.jpg,551,358
PMC5548677,1349-7235-56-1843-g004.jpg,709,808
PMC5548677,1349-7235-56-1843-g001.jpg,708,926
PMC6151517,molecules-22-01480-g005.jpg,790,397
PMC6151517,molecules-22-01480-g001.jpg,774,917
PMC6151517,molecules-22-01480-g002.jpg,703,920
PMC6151517,molecules-22-01480-g003.jpg,789,675
PMC6151517,molecules-22-01480-g004.jpg,743,221
PMC6151517,molecules-22-01480-g006.jpg,751,337
PMC5618573,ijms-18-01924-g002.jpg,775,392
PMC5618573,ijms-18-01924-g003.jpg,778,476
PMC5618573,ijms-18-01924-g001a.jpg,795,232
PMC5618573,ijms-18-01924-g004.jpg,755,323
PMC5618573,ijms-18-01924-g001b.jpg,780,205
PMC5858515,thnov08p2031g001.jpg,782,522
PMC5858515,thnov08p2031g007.jpg,765,483
PMC5858515,thnov08p2031g004.jpg,788,536
PMC5858515,thnov08p2031g002.jpg,764,269
PMC5858515,thnov08p2031g005.jpg,758,486
PMC5858515,thnov08p2031g006.jpg,721,590
PMC5858515,thnov08p2031g003.jpg,778,490
PMC5858515,thnov08p2031g009.jpg,778,1040
PMC5858515,thnov08p2031g010.jpg,740,331
PMC5858515,thnov08p2031g008.jpg,782,390
PMC5958947,cmar-10-1143Fig1.jpg,788,926
PMC5958947,cmar-10-1143Fig3.jpg,667,358
PMC5958947,cmar-10-1143Fig2.jpg,781,926
PMC5457264,materials-09-00929-g020.jpg,740,565
PMC5457264,materials-09-00929-g003.jpg,735,234
PMC5457264,materials-09-00929-g012.jpg,744,626
PMC5457264,materials-09-00929-g009.jpg,710,432
PMC5457264,materials-09-00929-g001.jpg,743,629
PMC5457264,materials-09-00929-g008.jpg,780,1336
PMC5457264,materials-09-00929-g011.jpg,765,1173
PMC5457264,materials-09-00929-g010.jpg,744,301
PMC5457264,materials-09-00929-g005.jpg,756,553
PMC5457264,materials-09-00929-g004.jpg,744,252
PMC5457264,materials-09-00929-g014.jpg,782,592
PMC5457264,materials-09-00929-g016.jpg,796,636
PMC5457264,materials-09-00929-g019.jpg,745,663
PMC5457264,materials-09-00929-g017.jpg,707,535
PMC5457264,materials-09-00929-g002.jpg,748,253
PMC5457264,materials-09-00929-g018.jpg,702,538
PMC5457264,materials-09-00929-g006.jpg,670,472
PMC5457264,materials-09-00929-g015.jpg,793,615
PMC5457264,materials-09-00929-g007.jpg,762,440
PMC5457264,materials-09-00929-g013.jpg,756,624
PMC6091948,pone.0201750.t003.jpg,750,814
PMC6091948,pone.0201750.t001.jpg,750,629
PMC6091948,pone.0201750.g001.jpg,740,449
PMC6091948,pone.0201750.t002.jpg,750,378
PMC6175938,41598_2018_33352_Fig4_HTML.jpg,660,414
PMC6175938,41598_2018_33352_Fig3_HTML.jpg,760,206
PMC6175938,41598_2018_33352_Fig2_HTML.jpg,760,424
PMC6175938,41598_2018_33352_Fig5_HTML.jpg,675,367
PMC6175938,41598_2018_33352_Fig9_HTML.jpg,675,516
PMC6175938,41598_2018_33352_Fig8_HTML.jpg,760,467
PMC6175938,41598_2018_33352_Fig6_HTML.jpg,660,197
PMC6175938,41598_2018_33352_Fig1_HTML.jpg,760,488
PMC6175938,41598_2018_33352_Fig7_HTML.jpg,760,427
PMC6316950,materials-11-02398-g002.jpg,720,721
PMC6316950,materials-11-02398-g001.jpg,736,689
PMC6316950,materials-11-02398-g008.jpg,712,538
PMC6316950,materials-11-02398-g009.jpg,791,608
PMC6316950,materials-11-02398-g007.jpg,748,600
PMC6316950,materials-11-02398-g005.jpg,724,294
PMC6316950,materials-11-02398-g006.jpg,748,762
PMC6316950,materials-11-02398-g003.jpg,721,531
PMC6316950,materials-11-02398-g004.jpg,744,376
PMC6321646,molecules-23-03307-g005.jpg,764,285
PMC6321646,molecules-23-03307-g002.jpg,756,716
PMC6321646,molecules-23-03307-g003.jpg,734,512
PMC6321646,molecules-23-03307-g004.jpg,721,313
PMC6321646,molecules-23-03307-g001.jpg,749,297
PMC6321646,molecules-23-03307-g006.jpg,786,399
PMC6364722,OAMJMS-7-287-g001.jpg,549,631
PMC6398655,bmjopen-2018-025246f02.jpg,669,150
PMC6398655,bmjopen-2018-025246f01.jpg,713,392
PMC6383105,fgene-10-00111-g003.jpg,780,381
PMC6383105,fgene-10-00111-g002.jpg,770,1030
PMC6383105,fgene-10-00111-g001.jpg,793,263
PMC6415303,NP2019-7143458.003.jpg,715,669
PMC6415303,NP2019-7143458.004.jpg,677,1221
PMC6415303,NP2019-7143458.002.jpg,715,545
PMC6415303,NP2019-7143458.001.jpg,793,1154
PMC6536080,IDOJ-10-293-g002.jpg,539,223
PMC6536080,IDOJ-10-293-g003.jpg,539,233
PMC6536080,IDOJ-10-293-g001.jpg,539,251
PMC6587929,peerj-07-7030-g003.jpg,545,239
PMC6587929,peerj-07-7030-g002.jpg,633,163
PMC6587929,peerj-07-7030-g001.jpg,545,133
PMC6587929,peerj-07-7030-g004.jpg,394,124
PMC6614830,CCID-12-489-g0002.jpg,778,647
PMC6614830,CCID-12-489-g0001.jpg,810,648
PMC6963690,foods-08-00602-g002.jpg,712,464
PMC6963690,foods-08-00602-g001.jpg,731,473
PMC7173358,APJCP-20-3723-g005.jpg,738,305
PMC7173358,APJCP-20-3723-g003.jpg,735,303
PMC7173358,APJCP-20-3723-g006.jpg,641,508
PMC7173358,APJCP-20-3723-g001.jpg,738,305
PMC7173358,APJCP-20-3723-g004.jpg,645,547
PMC7173358,APJCP-20-3723-g002.jpg,737,303
PMC6946412,medi-99-e18078-g002.jpg,800,1002
PMC6946412,medi-99-e18078-g003.jpg,800,218
PMC6946412,medi-99-e18078-g001.jpg,800,495
PMC6946412,medi-99-e18078-g004.jpg,800,583
PMC6946412,medi-99-e18078-g005.jpg,800,782
PMC6992199,pone.0228582.t002.jpg,750,484
PMC6992199,pone.0228582.g001.jpg,773,562
PMC6992199,pone.0228582.t001.jpg,750,496
PMC6992199,pone.0228582.g002.jpg,714,585
PMC7090343,gr9.jpg,787,391
PMC7090343,gr8.jpg,788,524
PMC7090343,gr6.jpg,788,546
