pmcid,figure_name,width,height
PMC4472344,pone.0129492.g002.jpg,666,671
PMC4472344,pone.0129492.g001.jpg,671,220
PMC4472344,pone.0129492.g009.jpg,666,533
PMC4472344,pone.0129492.g011.jpg,666,534
PMC4472344,pone.0129492.g006.jpg,666,534
PMC4472344,pone.0129492.t001.jpg,752,687
PMC4472344,pone.0129492.g010.jpg,666,501
PMC4472344,pone.0129492.g012.jpg,666,534
PMC4472344,pone.0129492.g003.jpg,666,534
PMC4472344,pone.0129492.g008.jpg,666,534
PMC4472344,pone.0129492.g005.jpg,666,535
PMC4472344,pone.0129492.g004.jpg,666,534
PMC4472344,pone.0129492.g007.jpg,666,535
