pmcid,label,caption,graphic,disease,modality
PMC5556748,Fig. 1,Preoperative photography shows about 1×1 cm sized nodular and pinkish mass in the scalp.,acfs-18-62-g001,NotMatch,NotMatch
PMC5556748,Fig. 2,"(A) The histopathologic examination shows spindle-shaped cells arranged in whirls and fascicles. The mass is adjacent to arrector pili muscle (black arrows). The tumor margin is irregularly mixed with dermal collagen (yellow arrows) (H&E, ×20). (B) The high-power histologic examination shows the indistinctive cytoplasmic membranes and blunt-ended nuclei. There are no cellular atypia, abnormal mitotic activity or necrosis (H&E, ×400).",acfs-18-62-g002,NotMatch,Match
PMC5556748,Fig. 3,"Immunohistochemistrical study for alpha-smooth muscle actin confirms the diagnosis of cutaneous leiomyoma (H&E, ×40).",acfs-18-62-g003,NotMatch,Match
PMC3051292,Figure 1,Classic presentation of plaque studded with papules and nodules,IJD-55-337-g001,NotMatch,NotMatch
PMC3051292,Figure 2,Acneiform distribution on face,IJD-55-337-g003,NotMatch,NotMatch
PMC3051292,Figure 3,"Photomicrograph of piloleiomyoma showing interlacing bundles of smooth muscle fibers with eosinophilic cytoplasm and spindle-shaped nuclei (H and E, ×100)",IJD-55-337-g005,NotMatch,Match
PMC3051292,Figure 4,"Piloleiomyoma with prominent arector pili (AP) adjacent to the lesion (H and E, ×200)",IJD-55-337-g006,NotMatch,NotMatch
PMC3051292,Figure 5,"Large pleomorphic hyperchromatic nuclei. Mitosis is inconspicuous (H and E, ×400)",IJD-55-337-g007,NotMatch,NotMatch
PMC3051292,Figure 6,"Lymphocyte aggregates in between muscle bundles (H and E, ×200)",IJD-55-337-g008,NotMatch,NotMatch
PMC3051292,Figure 7,Immunohistochemical stain against smooth muscle actin highlighting the tumor (×200),IJD-55-337-g009,NotMatch,NotMatch
PMC7021516,Fig. 1,Intersecting fascicles of spindle cells separated by variably collagenized stroma. (H&E stain).,gr1,NotMatch,Match
PMC7021516,Fig. 2,Strong diffuse cytoplasmic staining for desmin in spindle cells.,gr2,NotMatch,NotMatch
PMC7021516,Fig. 3,The cells show positive cytoplasmic membrane staining for smooth muscle actin.,gr3,NotMatch,NotMatch
PMC10511247,Figure 1,Angioleiomyoma. A) Thin-walled vascular channels (small veins) (H&E; x100). B) Thin and thick-walled vascular channels (H&E; x50). C) Calcification of the vascular walls and hyalinization (H&E;x50). D) Myxoid changes (H&E; x50).,TurkPatolojiDerg-36-9147-g001,NotMatch,Match
PMC10511247,Figure 2,Piloleiomyoma. A) Epidermal hyperplasia (H&E; x50). B) Basal hyperpigmentation (H&E; x50). C) Entrapped eccrine glands (H&E; x100). D) Entrapped hair follicle in PLM (H&E; x50).,TurkPatolojiDerg-36-9147-g002,NotMatch,Match
PMC10511247,Figure 3,"
A,B) Smooth muscle hamartoma in two patients. Variable shape, size, and orientation of the smooth muscle bundles in the upper dermis (H&E; x50).",TurkPatolojiDerg-36-9147-g003,NotMatch,Match
PMC10511247,Figure 4,"
A) Leiomyosarcoma (H&E; x50). B) Ulceration (H&E; x50). C) Hyaline degeneration (H&E; x100). D) Myxoid changes (H&E; x100).",TurkPatolojiDerg-36-9147-g004,NotMatch,Match
PMC10511247,Figure 5,Leiomyosarcoma. A) Chronic inflammatory cell infiltration around the tumor (H&E; x100). B) Tumor necrosis (H&E; x50).,TurkPatolojiDerg-36-9147-g005,NotMatch,Match
