pmcid,figure_name,width,height
PMC3051292,IJD-55-337-g007.jpg,744,558
PMC3051292,IJD-55-337-g001.jpg,743,496
PMC3051292,IJD-55-337-g005.jpg,744,558
PMC3051292,IJD-55-337-g009.jpg,744,558
PMC3051292,IJD-55-337-g002.jpg,615,328
PMC3051292,IJD-55-337-g004.jpg,615,390
PMC3051292,IJD-55-337-g003.jpg,419,559
PMC3051292,IJD-55-337-g006.jpg,744,558
PMC3051292,IJD-55-337-g008.jpg,744,558
PMC5556748,acfs-18-62-g001.jpg,726,1050
PMC5556748,acfs-18-62-g002.jpg,766,1164
PMC5556748,acfs-18-62-g003.jpg,766,570
PMC7021516,gr2.jpg,697,394
PMC7021516,gr3.jpg,697,394
PMC7021516,gr1.jpg,697,394
PMC10511247,TurkPatolojiDerg-36-9147-g005.jpg,787,296
PMC10511247,TurkPatolojiDerg-36-9147-g001.jpg,787,596
PMC10511247,TurkPatolojiDerg-36-9147-g003.jpg,786,295
PMC10511247,TurkPatolojiDerg-36-9147-g004.jpg,787,590
PMC10511247,TurkPatolojiDerg-36-9147-g002.jpg,787,590
