pmcid,figure_name,width,height
PMC3657245,IJD-58-160d-g003.jpg,650,488
PMC3657245,IJD-58-160d-g001.jpg,548,487
PMC3657245,IJD-58-160d-g004.jpg,650,488
PMC3657245,IJD-58-160d-g002.jpg,532,732
PMC9449619,1349-7235-61-2545-g001.jpg,708,545
PMC9449619,1349-7235-61-2545-g002.jpg,709,802
PMC8803383,cureus-0014-00000021705-i01.jpg,750,565
PMC8803383,cureus-0014-00000021705-i02.jpg,750,848
PMC9593160,1349-7235-61-2967-g002.jpg,708,411
PMC9593160,1349-7235-61-2967-g001.jpg,705,557
PMC5383761,ad-29-249-g002.jpg,789,525
PMC5383761,ad-29-249-g001.jpg,789,525
