pmcid,label,caption,graphic
PMC2769436,Figure 1.,Axial T1-weighted magnetic resonance imaging (MRI) scans. (a) A 5 cm hypointense and isointense with muscle mass on the left carotid bifurcation compressing jugulary vein and carotid artery and 2.5 cm mass at the left side. (b) These masses intensely enhance contrast.,1757-1626-0002-0000008402-001
PMC2769436,Figure 2.,"(a) Magnetic resonance angiography (MRA) demonstrated a mass at the left carotid bifurcation compressing the external carotid artery, and a mass with similar characteristics at the right carotid bifurcation. (b) Lateral angiographic view reveals an intense blush of hypervascular mass.",1757-1626-0002-0000008402-002
PMC2769436,Figure 3.,"FDG-Positron Emission Tomography (PET) CT scans showed a mass at the left side (SUVmax: 9.9), and mass at the right side of the neck (SUVmax: 8.5).",1757-1626-0002-0000008402-003
PMC2769436,Figure 4.,FDG-Positron Emission Tomography (PET) CT scans showed a mass (SUVmax: 28.3) detected at the celiac truncus level in front of the abdominal aorta (arrow).,1757-1626-0002-0000008402-004
PMC2769436,Figure 5.,FDG-Positron Emission Tomography (PET) CT scans showed a mass at the left side with necrosis at the central part (SUVmax: 7.7) and a mass (SUVmax: 2.5) at right side of the neck after radiotherapy.,1757-1626-0002-0000008402-005
PMC6147844,Figure 1,"Gadolinium enhanced MRI of the middle finger of right hand: The axial (A) and coronal (B) MRI demonstrate a small ovoid, intensely enhancing soft tissue mass located at the posterior border of the distal phalanx.",asm-6-486f1
PMC9443577,Figure 2,Tortuous vertebral-basilar transition.,gr2
PMC9443577,Figure 1,Normal anatomy of arteries: 1 – vertebral; 2 – basilar; 3 – internal carotid; 4 – media cerebral artery.,gr1
PMC2831458,Figure 1,Volume rendering contrast enhanced MDCT with water as oral contrast. (a) Coronal and (b) Sagittal 3D images demonstrate a 1.7 cm densely enhancing mass along the gastric antrum (arrows).,CRM2010-126095.001
PMC2831458,Figure 2,"Standard axial image from the contrast enhance MDCT does show the antral lesion in retrospect (arrow). However, the radiologist did not note this on the initial interpretation.",CRM2010-126095.002
PMC2831458,Figure 3,(a) High-magnification hematoxylin (×100) and eosin stained section that demonstrates a fragment of smooth muscle containing infiltrating uniform cells arranged around blood vessels (arrows) and (b) positive immunohistochemical stain for actin which are supportive of a diagnosis of gastric glomus tumor.,CRM2010-126095.003
PMC2856582,Figure 1,Glomus tumor of the stomach as featured on upper gastrointestinal endoscopy: a well circumscribed submucosal mass with normal overlying mucosa.,1477-7819-8-19-1
PMC2856582,Figure 2,Glomus tumor of the stomach in a 72 year-old woman: unenhanced computer tomography scan shows the well-circumscribed mass (arrow) in the gastric antrum.,1477-7819-8-19-2
PMC2856582,Figure 3,"Glomus tumor of the stomach in a 72 year-old woman: On a contrast-enhanced computer tomography scan, the mass is greatly enhanced (arrow).",1477-7819-8-19-3
PMC2856582,Figure 4,The prepyloric mass of the stomach at the lesser curvature.,1477-7819-8-19-4
PMC2856582,Figure 5,The specimen of the stomach.,1477-7819-8-19-5
PMC2856582,Figure 6,Trabeculae of tumor cells distributed around dilated and ectactic blood vessels (Hematoxylin & Eosin staining ×100).,1477-7819-8-19-6
PMC2856582,Figure 7,Glomus tumor of the stomach. Positive staining for smooth muscle actin (× 100).,1477-7819-8-19-7
PMC2983075,Figure 1,"Round to oval cells with homogenous granular chromatin, scanty cytoplasm and indistinct cell borders. A capillary crossing a cell cluster (MGG, ×400)",JCytol-27-104-g001
PMC3051308,Figure 1,Reddish blue papule over flexor aspect of right elbow,IJD-55-397-g001
PMC3051308,Figure 2,HPE H&E stain ×10 showingstratified squamous lining with well circumscribed tumour in the dermis,IJD-55-397-g002
PMC3051308,Figure 3,HPE H&E stain X40 showing the tumour consisting of sheets of uniform cells with pale cytoplasm; round to ovoid centrally placed punched out nuclei and well defined cell margins. There are numerous dilated thin walled vascular spaces surrounded by a layer of tumour cells,IJD-55-397-g003
PMC2958890,Figure 1,Chest computed tomography (CT) showed a tumor in the parahilar region of the right upper lobe.,1749-8090-5-76-1
PMC2958890,Figure 2,Fiberoptic bronchoscopy demonstrated an endobronchial hypervascular mass causing obstruction of the apical segmental bronchus.,1749-8090-5-76-2
PMC2958890,Figure 3,"The tumor was encapsulated and was composed of sheets and nests of small, uniform, rounded cells with centrally placed round nuclei (H-E × 200).",1749-8090-5-76-3
PMC2958890,Figure 4,Immunohistochemistry: tumor cells were positive for smooth muscle actin (SMA × 100).,1749-8090-5-76-4
PMC2958890,Figure 5,Immunohistochemistry: tumor cells were positive for caldesmon (× 100).,1749-8090-5-76-5
PMC2958890,Figure 6,Immunohistochemistry: tumor cells were positive for vimentin (× 100).,1749-8090-5-76-6
PMC3075157,Fig. 1,"a Endoscopy of the glomus tumor, showing a spherical, submucosal solid tumor, located in the pyloric antrum with b endosonographically poorly reflective, inhomogeneous pattern and echo-free areas.",crg0002-0001-f01
PMC3075157,Fig. 2,Immunohistochemistry; a negative CD 117-Ab reaction; b positive reaction on vimentin/actin staining (magnification 200×).,crg0002-0001-f02
PMC3062228,Fig. 1,Neck CT axial images with enhancement show two mass like lesions in parotid (A) and submandibular region (B) (arrows).,ceo-4-49-g001
PMC3062228,Fig. 2,Postoperative picture show parotid region mass (left) and submandibular region mass (right) specimens.,ceo-4-49-g002
PMC3062228,Fig. 3,"Pathology findings of a submandibular mass (A,B) & parotid mass (C,D). A,C: Tumor cells that are uniform with a round nucleus are seen around blood vessels. Atypical cell is not seen. B,D: Smooth muscle α-actin-positive cells are seen.",ceo-4-49-g003
PMC3167993,Figure 1,"Microphotograph showing clusters of round-to-oval cells (MGG, ×100). Inset showing wisps of magenta-colored material (MGG, ×400)",JCytol-26-46-g001
PMC3167993,Figure 2,"Microphotograph showing spindle-shaped endothelial cells (arrow) crossing a cluster of tumor cells (MGG, ×400)",JCytol-26-46-g002
PMC3167993,Figure 3,"Histopathologic sections showing nests and sheets of tumor cells around endothelium-lined small blood vessels (Hand E, ×100)",JCytol-26-46-g003
PMC3221231,Figure 1,Fullness in posterior nail fold region,IJD-56-583-g001
PMC3221231,Figure 2,Glomus tumor during exploration,IJD-56-583-g002
PMC3221231,Figure 3,Tumor cells invading vessel wall (magnification ×10),IJD-56-583-g003
PMC3286739,Fig. 1,"(A) Gastrointestinal endoscopy showing a round elevated lesion with an overlying normal mucosa. (B) In case number 9, a mucosal ulceration is observed.",gnl-6-52-g001
