pmcid,figure_name,width,height
PMC2769436,1757-1626-0002-0000008402-003.jpg,502,279
PMC2769436,1757-1626-0002-0000008402-004.jpg,502,256
PMC2769436,1757-1626-0002-0000008402-001.jpg,502,269
PMC2769436,1757-1626-0002-0000008402-002.jpg,502,279
PMC2769436,1757-1626-0002-0000008402-005.jpg,502,238
PMC9443577,gr2.jpg,680,507
PMC9443577,gr1.jpg,680,509
PMC6147844,asm-6-486f1.jpg,747,1058
PMC2831458,CRM2010-126095.002.jpg,727,655
PMC2831458,CRM2010-126095.003.jpg,757,1177
PMC2831458,CRM2010-126095.001.jpg,781,1422
PMC2856582,1477-7819-8-19-7.jpg,600,449
PMC2856582,1477-7819-8-19-6.jpg,600,457
PMC2856582,1477-7819-8-19-2.jpg,600,470
PMC2856582,1477-7819-8-19-4.jpg,600,585
PMC2856582,1477-7819-8-19-5.jpg,600,669
PMC2856582,1477-7819-8-19-3.jpg,600,439
PMC2856582,1477-7819-8-19-1.jpg,600,485
PMC2983075,JCytol-27-104-g001.jpg,744,506
PMC3051308,IJD-55-397-g001.jpg,745,539
PMC3051308,IJD-55-397-g002.jpg,611,604
PMC3051308,IJD-55-397-g003.jpg,613,606
PMC2958890,1749-8090-5-76-1.jpg,600,600
PMC2958890,1749-8090-5-76-4.jpg,600,450
PMC2958890,1749-8090-5-76-2.jpg,600,600
PMC2958890,1749-8090-5-76-3.jpg,600,450
PMC2958890,1749-8090-5-76-6.jpg,600,450
PMC2958890,1749-8090-5-76-5.jpg,600,450
PMC3075157,crg0002-0001-f01.jpg,529,251
PMC3075157,crg0002-0001-f02.jpg,529,220
PMC3062228,ceo-4-49-g001.jpg,495,247
PMC3062228,ceo-4-49-g002.jpg,495,294
PMC3062228,ceo-4-49-g003.jpg,495,347
PMC3167993,JCytol-26-46-g003.jpg,743,520
PMC3167993,JCytol-26-46-g002.jpg,743,520
PMC3167993,JCytol-26-46-g001.jpg,742,520
PMC3221231,IJD-56-583-g002.jpg,569,350
PMC3221231,IJD-56-583-g003.jpg,569,333
PMC3221231,IJD-56-583-g001.jpg,619,340
PMC3286739,gnl-6-52-g002.jpg,479,359
PMC3286739,gnl-6-52-g004.jpg,655,488
PMC3286739,gnl-6-52-g001.jpg,478,184
PMC3286739,gnl-6-52-i002.jpg,658,181
PMC3286739,gnl-6-52-g003.jpg,654,494
PMC3286739,gnl-6-52-i001.jpg,656,263
PMC3270289,kjtcs-44-440-g002.jpg,414,414
PMC3270289,kjtcs-44-440-g004.jpg,473,355
PMC3270289,kjtcs-44-440-g005.jpg,473,355
PMC3270289,kjtcs-44-440-g006.jpg,488,621
PMC3270289,kjtcs-44-440-g003.jpg,402,414
PMC3270289,kjtcs-44-440-g001.jpg,461,620
PMC3324735,kjpain-25-108-g002.jpg,628,251
PMC3324735,kjpain-25-108-g001.jpg,462,384
PMC3350055,CRIM.SURGERY2011-371082.001.jpg,600,407
PMC3350055,CRIM.SURGERY2011-371082.004.jpg,600,852
PMC3350055,CRIM.SURGERY2011-371082.002.jpg,600,522
