pmcid,label,caption,graphic
PMC2687619,Figure 1,The chest PA appears normal.,kjim-22-101-g001
PMC2687619,Figure 2,Bronchoscopy showing a yellowish patch.,kjim-22-101-g002
PMC2687619,Figure 3,"H&E staining reveal large cells with cytoplasmic granules. Immunohistochemical staining show tumor cells positive for NSE, S-100, and CD68.",kjim-22-101-g003
PMC2687619,Figure 4,Follow-up bronchoscopy showing no change in the yellowish patch.,kjim-22-101-g004
PMC2687619,Figure 5,The chest CT is seen as normal.,kjim-22-101-g005
PMC2655740,Fig. 1,"(A) Sagittal T1-weighted MRI view of the right orbit showing the inferiorly located mass. (B) In this coronal T2-weighted MRI frame, distinction between the tumor and the inferior rectus muscle cannot be made.",kjo-23-43-g001
PMC2655740,Fig. 2,"(A) The tumor consists of nests of polygonal cells with prominent round to oval nuclei in a collagenized stroma with a fascicular development pattern (H&E, original magnification ×60). (B) Positive staining with periodic acid-Schiff reagent (original magnification ×100). (C) Tumor cells stain strongly positive for S-100 protein (S-100, original magnification ×100).",kjo-23-43-g002
PMC9445966,Figure 1,Laryngoscopy showing smooth-surface tumor involving the entire left vocal fold.,gr1
PMC9445966,Figure 2A,HE: histology of larger eosinophilic tumor cells with cytoplasmatic granulation (magnification 40 X 0.65); non-manipulated digitally captured image).,gr2
PMC9445966,Figure 2B,Immunohistochemical expression of protein S100-positive tumor cells.,gr3
PMC272934,Figure 1,Chest radiograph showing a mass lesion (arrow) intimately associated with a segmental bronchus of the left lower lobe.,1477-7819-1-22-1
PMC272934,Figure 2,"Chest computed tomogram showing localized expansion of mass, which measured 2.8 × 2.0 cm in size.",1477-7819-1-22-2
PMC272934,Figure 3,"Microscopically, the tumor was made of sheets of granular cells with moderate atypia, prominent spindling, increased nuclear/cytoplasm ratio and greater pleomorphism. Note two giant tumor cells were in the central field of the photograph. (Hematoxylin and eosin; × 400)",1477-7819-1-22-3
PMC1184093,Figure 1,Endoscopic ultrasound image of a 52 x 39 mm hypoechoic mass in the upper mediastinum (Olympus UC-30P).,1742-6413-2-8-1
PMC1184093,Figure 2,"Smears revealed loosely cohesive polygonal cells with small, round, dark nuclei and granular cytoplasm (Diff-Quick, 200X).",1742-6413-2-8-2
PMC1184093,Figure 3,Immunocytochemistry performed on the cell block revealed that the cytoplasmic granules stain strongly for S-100 (400X).,1742-6413-2-8-3
PMC1184093,Figure 4,Electron microscopy revealed abundant cytoplasmic lysosomes,1742-6413-2-8-4
PMC1184093,Figure 5,"Histologic sections of the resected tumor revealed sheets of polygonal cells with small, round, dark nuclei and granular cytoplasm (200X).",1742-6413-2-8-5
PMC1184093,Figure 6,Immunohistochemistry performed on tissue section revealed that the cytoplasmic granules stain diffusely positive for S-100 (200X).,1742-6413-2-8-6
PMC2672140,Fig. 1,"Colonoscopy detected an approximately 13×12 mm yellowish, submucosal tumor in the descending colon. It was hard in consistency without ulceration.",jkms-24-337-g001
PMC2672140,Fig. 2,"Histological findings of the tumor. (A) The resected tumor was covered with normal mucosa (H&E, ×20). A nested growth of nonuniform large tumor cells with slightly pleomorphic nuclei (inlet, H&E, ×400). (B) Some granules were positive for periodic acid-Schiff (PAS, ×400).",jkms-24-337-g002
PMC2672140,Fig. 3,"Histological findings of the tumor showing positive immunoreaction for S-100 protein (immunohistochemical stain, ×400).",jkms-24-337-g003
PMC2740250,Figure 1.,"Barrett’s esophagus (H&E stain, low power).",1757-1626-0002-0000008093-001
PMC2740250,Figure 2.,"Intramucosal adenocarcinoma colliding with granular cell tumor (H&E stain, low power).",1757-1626-0002-0000008093-002
PMC2740250,Figure 3.,"Intramucosal adenocarcinoma colliding with granular cell tumor (H&E stain, high power).",1757-1626-0002-0000008093-003
PMC2740250,Figure 4.,"Intramucosal adenocarcinoma (pale counter-stained glands near center) colliding with S100+ granular cell tumor (S100 immunostain, low power).",1757-1626-0002-0000008093-004
PMC2740250,Figure 5.,"Intramucosal adenocarcinoma (pale counter-stained glands) colliding with S100+ granular cell tumor (S100 immunostain, high power).",1757-1626-0002-0000008093-005
PMC2740250,Figure 6.,Slightly raised nodule is seen just proximal to the esophagogastric junction.,1757-1626-0002-0000008093-006
PMC2740250,Figure 7.,Pseudopolyp created following endoscopic suction and band application visualized through Cook Endoscopy Duette® Multi-Band Mucosectomy Device.,1757-1626-0002-0000008093-007
PMC2740250,Figure 8.,Mucosal defect following snare electrocautery resection.,1757-1626-0002-0000008093-008
PMC2848320,Fig. 1,(A) Preoperative direct laryngoscopic finding. An irregular margined mass occupying the right true vocal cord. (B) A laryngeal stroboscopic finding after the operation. The tumor was completely excised and no evidence of recurrence was found 1 yr after the operation.,ceo-3-52-g001
PMC2848320,Fig. 2,"(A) The cells contain innumerable fine cytoplasmic granules (H&E, ×200). (B) The cytoplasm of tumor cells contains periodic acid-Schiff-positive materials (H&E, ×40). (C) S-100 immunohistochemical staining shows positive granular cells possessiveness, denoting its neuroectodermal origin (H&E, ×200). (D) Neuron-specific enolase immunohistochemical staining shows positive granular cells possessiveness, denoting its neuroectodermal origin (H&E, ×100). (E) Tumor cells revealed no immunoreactivity for smooth muscle actin (H&E, ×100).",ceo-3-52-g002
PMC2769456,Figure 1.,Hematoxylin-Eosin × 400: Typical eosinophilic granular appearance of the cytoplasm.,1757-1626-0002-0000008551-001
PMC2769456,Figure 2.,Hematoxylin-Eosin × 200: Spindle to polygonal cells arranged in compact nests and sheets.,1757-1626-0002-0000008551-002
PMC2769456,Figure 3.,Hematoxylin-Eosin × 100: Peripheral area of the where the tumor (left) shows a well defined pushing border. On the right top corner breast lobular units are evident.,1757-1626-0002-0000008551-003
PMC2769456,Figure 4.,Hematoxylin-Eosin × 100: Peripheral area of the where the tumor (left) shows infiltrative growth (right) around a breast ductal structure (center).,1757-1626-0002-0000008551-004
PMC2769456,Figure 5.,"Hematoxylin-Eosin × 40: Panoramic view of the lesion. The tumor is in the lower left corner, fat lobules on the upper right corner, ductal unit in the top center portion, and a breast lobular unit on the upper right corner.",1757-1626-0002-0000008551-005
PMC2769456,Figure 6.,S-100 protein × 200: positive tumor cells.,1757-1626-0002-0000008551-006
PMC2769456,Figure 7.,"CD-68 × 200: positive tumor cells on the right, negative staining of breast parenchyma on the left.",1757-1626-0002-0000008551-007
PMC3051311,Figure 1,The itching and burning solitary cutaneous nodule of the anal-perianal region of about 5 cm × 3 cm,IJD-55-403-g001
PMC3051311,Figure 2,"Histopathological examination showed cutis with a proliferation of voluminous cells in the reticular dermis (H and E staining, ×100)",IJD-55-403-g002
PMC3051311,Figure 3,"At higher magnification, the cells showed a coarsed granular cytoplasm (H and E staining, ×400)",IJD-55-403-g003
PMC3051311,Figure 4,Immunohistochemical examination showed positivity for S-100 protein (×200),IJD-55-403-g004
PMC3051311,Figure 5,"Immunohistochemical examination showed positivity for NSE. Both NSE and S-100, like most nerve sheath-derived neoplasms, are hyper-expressed in the GCT (×200)",IJD-55-403-g005
PMC2858852,FIG. 1,Cystoscopy showed a semispherical tumor approximately 1 cm in diameter covered with normal bladder mucosa in the posterior wall of the bladder.,kju-51-291-g001
PMC2858852,FIG. 2,"(A) High-power microscopic view of tumor cells showing abundant granular cytoplasm and small nuclei (H&E, ×400). (B) Tumor cells showing diffuse and strong cytoplasmic and nuclear positivity with immunohistochemical staining (S-100, ×400).",kju-51-291-g002
PMC3065337,Figure 1,"Soft, sessile mass between soft and posterior hard palate, in a 50 year-old man",DRJ-7-41-g001
PMC3065337,Figure 2,"(A) Submucosal mass on the lateral border of the dorsal part of the tongue. (B) Gross picture of lipoma on the dorsal part of the tongue. (C) Lobulated mass with fibrosis capsule (H & E staining, original magnification X100). (D) Mature fat cells (H & E staining, original magnification X400)",DRJ-7-41-g002
