pmcid,figure_name,width,height
PMC272934,1477-7819-1-22-2.jpg,600,491
PMC272934,1477-7819-1-22-3.jpg,600,493
PMC272934,1477-7819-1-22-1.jpg,600,491
PMC9445966,gr2.jpg,682,511
PMC9445966,gr3.jpg,682,511
PMC9445966,gr1.jpg,682,473
PMC2687619,kjim-22-101-g005.jpg,477,398
PMC2687619,kjim-22-101-g001.jpg,482,576
PMC2687619,kjim-22-101-g002.jpg,431,408
PMC2687619,kjim-22-101-g003.jpg,476,363
PMC2687619,kjim-22-101-g004.jpg,435,424
PMC1184093,1742-6413-2-8-4.jpg,600,481
PMC1184093,1742-6413-2-8-2.jpg,600,450
PMC1184093,1742-6413-2-8-5.jpg,600,450
PMC1184093,1742-6413-2-8-3.jpg,600,450
PMC1184093,1742-6413-2-8-6.jpg,600,450
PMC1184093,1742-6413-2-8-1.jpg,412,317
PMC2655740,kjo-23-43-g002.jpg,651,214
PMC2655740,kjo-23-43-g001.jpg,416,615
PMC2672140,jkms-24-337-i001.jpg,635,256
PMC2672140,jkms-24-337-g002.jpg,635,216
PMC2672140,jkms-24-337-g001.jpg,472,337
PMC2672140,jkms-24-337-g003.jpg,473,337
PMC2769456,1757-1626-0002-0000008551-004.jpg,502,382
PMC2769456,1757-1626-0002-0000008551-007.jpg,502,382
PMC2769456,1757-1626-0002-0000008551-005.jpg,502,382
PMC2769456,1757-1626-0002-0000008551-001.jpg,502,382
PMC2769456,1757-1626-0002-0000008551-003.jpg,502,382
PMC2769456,1757-1626-0002-0000008551-006.jpg,502,382
PMC2769456,1757-1626-0002-0000008551-002.jpg,502,382
PMC2848320,ceo-3-52-g002.jpg,661,790
PMC2848320,ceo-3-52-g001.jpg,661,261
PMC2740250,1757-1626-0002-0000008093-006.jpg,501,440
PMC2740250,1757-1626-0002-0000008093-001.jpg,502,377
PMC2740250,1757-1626-0002-0000008093-003.jpg,502,377
PMC2740250,1757-1626-0002-0000008093-007.jpg,502,438
PMC2740250,1757-1626-0002-0000008093-002.jpg,502,670
PMC2740250,1757-1626-0002-0000008093-008.jpg,502,439
PMC2740250,1757-1626-0002-0000008093-004.jpg,502,670
PMC2740250,1757-1626-0002-0000008093-005.jpg,502,377
PMC3051311,IJD-55-403-g004.jpg,744,557
PMC3051311,IJD-55-403-g003.jpg,744,557
PMC3051311,IJD-55-403-g002.jpg,744,560
