pmcid,figure_name,width,height
PMC4372948,IJD-60-214e-g003.jpg,536,402
PMC4372948,IJD-60-214e-g002.jpg,551,937
PMC4372948,IJD-60-214e-g001.jpg,553,312
PMC4112264,PDIA-31-22369-g001.jpg,731,368
PMC4112264,PDIA-31-22369-g002.jpg,764,665
PMC4112264,PDIA-31-22369-g003.jpg,760,608
PMC4817486,IJD-61-238e-g003.jpg,538,586
PMC4817486,IJD-61-238e-g002.jpg,586,587
PMC4817486,IJD-61-238e-g001.jpg,782,587
PMC2916106,kjo-24-237-g001.jpg,492,362
PMC2916106,kjo-24-237-g002.jpg,489,342
PMC2916106,kjo-24-237-g003.jpg,492,362
PMC4738519,IDOJ-6-50-g002.jpg,539,406
PMC4738519,IDOJ-6-50-g003.jpg,539,406
PMC4738519,IDOJ-6-50-g001.jpg,539,372
PMC5695056,CMJ-130-2703-g001.jpg,780,520
PMC6441708,gr1.jpg,722,754
PMC5447382,gr2.jpg,719,542
PMC5447382,gr1.jpg,723,539
PMC6484574,JCAS-12-17-g002.jpg,653,653
PMC6484574,JCAS-12-17-g004.jpg,653,870
PMC6484574,JCAS-12-17-g005.jpg,653,865
PMC6484574,JCAS-12-17-g003.jpg,653,970
PMC6484574,JCAS-12-17-g008.jpg,653,576
PMC6484574,JCAS-12-17-g006.jpg,653,653
PMC6484574,JCAS-12-17-g007.jpg,536,1446
PMC6484574,JCAS-12-17-g001.jpg,650,650
PMC8172037,dp1103a78g002.jpg,360,202
PMC8172037,dp1103a78g001.jpg,360,537
PMC8172037,dp1103a78g004.jpg,739,685
PMC8172037,dp1103a78g003.jpg,359,284
PMC7109369,gr2.jpg,759,570
PMC7109369,gr4.jpg,759,569
PMC7109369,gr3.jpg,759,570
PMC7109369,gr1.jpg,722,974
PMC8009706,CRIDM2021-6672528.001.jpg,473,315
PMC8009706,CRIDM2021-6672528.005.jpg,473,316
PMC8009706,CRIDM2021-6672528.004.jpg,472,841
PMC8009706,CRIDM2021-6672528.003.jpg,473,316
PMC8009706,CRIDM2021-6672528.006.jpg,473,316
PMC8009706,CRIDM2021-6672528.002.jpg,473,316
PMC8460482,ad-33-481-g001.jpg,622,461
PMC8460482,ad-33-481-g002.jpg,733,349
PMC9069907,IJT-14-68-g003.jpg,537,587
PMC9069907,IJT-14-68-g002.jpg,294,587
PMC9069907,IJT-14-68-g001.jpg,584,586
PMC8308045,jcm-10-03047-g002.jpg,704,451
PMC8308045,jcm-10-03047-g001.jpg,733,275
PMC8308045,jcm-10-03047-g003.jpg,762,996
PMC10105572,CCID-16-1003-g0001.jpg,750,662
PMC9464570,dp1203a109g001.jpg,800,743
PMC9464570,dp1203a109g002.jpg,753,375
