pmid,pmcid,title,journal,insert_time,label,caption,graphic
20714388,PMC2916106,Poliosis of eyelashes as an unusual sign of a halo nevus.,Korean J Ophthalmol,2023-12-17-22-13-05,Fig. 1,Poliosis with a melanocytic nevus on the central eyelid.,kjo-24-237-g001
20714388,PMC2916106,Poliosis of eyelashes as an unusual sign of a halo nevus.,Korean J Ophthalmol,2023-12-17-22-13-05,Fig. 2,"No melanocytes are seen in the hair follicles, while melanocytes are observed in the overlying epidermis (H&E, ×40).",kjo-24-237-g002
20714388,PMC2916106,Poliosis of eyelashes as an unusual sign of a halo nevus.,Korean J Ophthalmol,2023-12-17-22-13-05,Fig. 3,"Melanocytes (open arrow) in the dermis display maturation with progressive descent, much of the dermal component is obscured by a dense lymphohistiocytic infiltrate (arrow) (H&E, ×40).",kjo-24-237-g003
25097486,PMC4112264,Dermoscopy of halo nevus in own observation.,Postepy Dermatol Alergol,2023-12-17-22-13-05,Figure 1,Dermoscopic pictures of halo nevus in our own study. Figure presents the most common dermoscopic patterns with selected dermoscopic features of halo nevus in investigated patients’ group. A – Uniform globular pattern in brown with a typical surrounding depigmented whitish halo. B – Structureless pattern in brown-white. C – Blue granules and a rest of network pattern of clinically disappearing halo nevus. D – Cobblestone pattern with several central serpiginous vessels. E – Halo nevus with circumflexing linear vessels like a “vascular crown”. There is seen a very sharply demarcated rim in slight pinkish in contrast with normal skin in light-brown. F – Halo nevus with circumflexing linear vessels like a “vascular crown” and several serpiginous vessels inside the nevus. The surrounding halo is telangiectatic and pinkish,PDIA-31-22369-g001
25097486,PMC4112264,Dermoscopy of halo nevus in own observation.,Postepy Dermatol Alergol,2023-12-17-22-13-05,Figure 2,Dermoscopic patterns of HN depending on the patients’ age,PDIA-31-22369-g002
25097486,PMC4112264,Dermoscopy of halo nevus in own observation.,Postepy Dermatol Alergol,2023-12-17-22-13-05,Figure 3,Dermoscopic patterns of HN depending on the patients’ gender,PDIA-31-22369-g003
25814744,PMC4372948,Basal cell carcinoma with halo phenomenon in a young female: significance of dermatoscopy in early diagnosis.,Indian J Dermatol,2023-12-17-22-13-05,Figure 1,Peripherally pigmented pinkish nodule on the face,IJD-60-214e-g001
25814744,PMC4372948,Basal cell carcinoma with halo phenomenon in a young female: significance of dermatoscopy in early diagnosis.,Indian J Dermatol,2023-12-17-22-13-05,Figure 2,Dermatoscopic view of the lesion in three quadrants according to Figure 1,IJD-60-214e-g002
25814744,PMC4372948,Basal cell carcinoma with halo phenomenon in a young female: significance of dermatoscopy in early diagnosis.,Indian J Dermatol,2023-12-17-22-13-05,Figure 3,"Infiltrative-type basal cell carcinoma (H and E, ×100)",IJD-60-214e-g003
26904453,PMC4738519,Dermpath quiz: An irregularly colored papule on the back of an adolescent female.,Indian Dermatol Online J,2023-12-17-22-13-05,Figure 1,A variably colored pink and brown papule on the right suprascapular back,IDOJ-6-50-g001
26904453,PMC4738519,Dermpath quiz: An irregularly colored papule on the back of an adolescent female.,Indian Dermatol Online J,2023-12-17-22-13-05,Figure 2,"Well-defined proliferation of nested melanocytes with bland nuclei and bandlike lymphoid infiltrate (H and E, ×100)",IDOJ-6-50-g002
26904453,PMC4738519,Dermpath quiz: An irregularly colored papule on the back of an adolescent female.,Indian Dermatol Online J,2023-12-17-22-13-05,Figure 3,"Moderately atypical nuclei are present within superficial dermal nests (H and E, ×400)",IDOJ-6-50-g003
27057061,PMC4817486,Throwing Light onto the Core of a Halo Nevus: A New Finding.,Indian J Dermatol,2023-12-17-22-13-05,Figure 1,Nevus with central hypopigmentation and leukotrichia,IJD-61-238e-g001
27057061,PMC4817486,Throwing Light onto the Core of a Halo Nevus: A New Finding.,Indian J Dermatol,2023-12-17-22-13-05,Figure 2,Dermoscopic image showing hypopigmented whitish spots and leukotrichia (×40),IJD-61-238e-g002
27057061,PMC4817486,Throwing Light onto the Core of a Halo Nevus: A New Finding.,Indian J Dermatol,2023-12-17-22-13-05,Figure 3,"Histopathology showing lymphocytic infiltrate and absence of nevus cell nest (H and E, ×10)",IJD-61-238e-g003
