pmcid,figure_name,width,height
PMC3522343,iranjradiol-09-42-g002.jpg,600,585
PMC3522343,iranjradiol-09-42-g001.jpg,632,421
PMC2934709,MEAJO-17-191-g005.jpg,605,159
PMC2934709,MEAJO-17-191-g004.jpg,746,523
PMC2934709,MEAJO-17-191-g002.jpg,763,303
PMC2934709,MEAJO-17-191-g003.jpg,770,303
PMC2934709,MEAJO-17-191-g001.jpg,605,159
PMC2934709,MEAJO-17-191-g006.jpg,605,159
PMC4311945,poljradiol-80-51-g003.jpg,720,318
PMC4311945,poljradiol-80-51-g004.jpg,771,250
PMC4311945,poljradiol-80-51-g002.jpg,720,867
PMC4311945,poljradiol-80-51-g001.jpg,771,257
PMC4388893,trd-78-106-i001.jpg,1200,1387
PMC4388893,trd-78-106-g003.jpg,705,273
PMC4388893,trd-78-106-g001.jpg,705,202
PMC4388893,trd-78-106-g002.jpg,741,339
PMC4410728,poljradiol-80-206-g001.jpg,800,745
PMC4410728,poljradiol-80-206-g004.jpg,800,675
PMC4410728,poljradiol-80-206-g003.jpg,600,449
PMC4410728,poljradiol-80-206-g002.jpg,600,449
PMC4522429,ce-48-340-g003.jpg,675,251
PMC4522429,ce-48-340-g002.jpg,674,255
PMC4522429,ce-48-340-g004.jpg,675,267
PMC4522429,ce-48-340-g001.jpg,675,322
PMC4749197,ijp-11-061-g001.jpg,758,228
PMC4749197,ijp-11-061-g002.jpg,758,246
PMC4763809,poljradiol-81-51-g004.jpg,600,535
PMC4763809,poljradiol-81-51-g001.jpg,600,474
PMC4763809,poljradiol-81-51-g003.jpg,600,789
PMC4763809,poljradiol-81-51-g002.jpg,600,568
PMC5621078,ogs-60-473-g002.jpg,697,305
PMC5621078,ogs-60-473-g001.jpg,696,244
PMC2071255,brjcancer00490-0151-d.jpg,762,1082
PMC2071255,brjcancer00490-0150-b.jpg,763,1031
PMC2071255,brjcancer00490-0151-b.jpg,761,1022
PMC2071255,brjcancer00490-0150-c.jpg,750,1059
PMC2071255,brjcancer00490-0151-a.jpg,749,1024
PMC2071255,brjcancer00490-0151-c.jpg,749,1080
PMC2071255,brjcancer00490-0150-d.jpg,758,1057
PMC2071255,brjcancer00490-0150-a.jpg,742,1031
PMC5837169,PAMJ-28-130-g001.jpg,573,408
PMC5837169,PAMJ-28-130-g002.jpg,600,463
PMC7307612,jcen-22-1-15f2.jpg,669,411
PMC7307612,jcen-22-1-15f1.jpg,769,2197
PMC4584003,12907_2015_18_Fig1_HTML.jpg,358,578
PMC4584003,12907_2015_18_Fig3_HTML.jpg,358,573
PMC4584003,12907_2015_18_Fig4_HTML.jpg,358,579
PMC4584003,12907_2015_18_Fig6_HTML.jpg,568,614
PMC4584003,12907_2015_18_Fig2_HTML.jpg,358,577
PMC4584003,12907_2015_18_Fig5_HTML.jpg,358,575
PMC7529128,toj-19-0017-figure1.jpg,638,640
PMC7529128,toj-19-0017-figure2.jpg,640,627
PMC7382876,acc-59-183-f5.jpg,785,589
PMC7382876,acc-59-183-f4.jpg,622,347
PMC7382876,acc-59-183-f1.jpg,577,346
PMC7382876,acc-59-183-f2.jpg,756,472
PMC7382876,acc-59-183-f3.jpg,634,650
PMC9663946,apm-22128f2.jpg,293,800
PMC9663946,apm-22128f1.jpg,719,721
PMC9663946,apm-22128f4.jpg,558,373
PMC9663946,apm-22128f3.jpg,559,325
PMC9311291,str-53-2521-g003.jpg,800,472
PMC9311291,str-53-2521-g004.jpg,800,448
PMC9311291,str-53-2521-g002.jpg,800,382
PMC9311291,str-53-2521-g001.jpg,800,303
PMC7649328,fneur-11-590589-g0004.jpg,669,465
PMC7649328,fneur-11-590589-g0003.jpg,669,427
PMC7649328,fneur-11-590589-g0005.jpg,669,456
PMC7649328,fneur-11-590589-g0006.jpg,669,468
PMC7649328,fneur-11-590589-g0002.jpg,669,567
PMC7649328,fneur-11-590589-g0007.jpg,669,468
PMC7649328,fneur-11-590589-g0001.jpg,722,629
PMC9524384,autopsy-12-e2021401-g03.jpg,778,597
PMC9524384,autopsy-12-e2021401-g01.jpg,637,486
PMC9524384,autopsy-12-e2021401-g02.jpg,790,606
PMC9485440,fped-10-892456-g001.jpg,675,619
PMC9485440,fped-10-892456-g008.jpg,708,361
PMC9485440,fped-10-892456-g009.jpg,708,361
PMC9485440,fped-10-892456-g003.jpg,675,258
PMC9485440,fped-10-892456-g002.jpg,675,258
PMC9485440,fped-10-892456-g004.jpg,675,258
PMC9485440,fped-10-892456-g005.jpg,775,531
PMC9485440,fped-10-892456-g010.jpg,708,316
PMC9485440,fped-10-892456-g006.jpg,725,510
PMC9485440,fped-10-892456-g007.jpg,725,510
PMC10321780,autopsy-13-e2023436-g01.jpg,662,442
PMC9748666,etm-25-01-11722-g02.jpg,677,518
PMC9748666,etm-25-01-11722-g01.jpg,677,515
PMC9748666,etm-25-01-11722-g00.jpg,677,517
PMC10499060,cureus-0015-00000043442-i02.jpg,750,290
PMC10499060,cureus-0015-00000043442-i01.jpg,750,333
PMC10499060,cureus-0015-00000043442-i03.jpg,750,270
