pmcid,label,caption,graphic,disease,modality
PMC1638294,Figure 1,,envhper00309-0150-a,Empty,Empty
PMC1638294,Figure 2,,envhper00309-0151-a,Empty,Empty
PMC2808613,Fig. 1,"Computed tomographic (CT) scan of thorax demonstrates a homogeneous mass expanding the right seventh rib and invading into the adjacent lung, and also a right sided pleural effusion.",jkms-20-316-g001,NotMatch,NotMatch
PMC2808613,Fig. 2,Preoperative angiography shows hypervascularization of the tumor from the right 7th and 8th intercostal arteries.,jkms-20-316-g002,NotMatch,NotMatch
PMC2808613,Fig. 3,"Microscopic evaluation of the tumor reveals a solid mesencymal mass composed of indistinct fusiform to rounded cells arranged around slit-like and branching thin-walled vessels (Hematoxylin-Eosin, ×120).",jkms-20-316-g003,NotMatch,NotMatch
PMC2409972,Figure 1,"Overall survival following surgery, according to tumour size (⩽5 vs >5 cm). The numbers in parentheses indicate the number of patients still at risk at selected time points.",91-6601920f1,NotMatch,NotMatch
PMC1459159,Figure 1,Chest X-ray showing an abnormal shadow associated with ipsilateral pleural effusion.,1477-7819-4-23-1,NotMatch,NotMatch
PMC1459159,Figure 2,Preoperative computed tomographic scan demonstrated a tumor mass located in the mediastinum next to descending aorta and associated with pleural effusion.,1477-7819-4-23-2,NotMatch,NotMatch
PMC1459159,Figure 3,"Round and spindle cells surrounded by thin-walled, endothelium-lined vascular channels, giving a ""staghorn"" appearance to the vessels as typically seen in hemangiopericytoma (Hematoxylin and eosin stain ×400).",1477-7819-4-23-3,Match,NotMatch
PMC1459159,Figure 4,Tumor cells clearly positive for a-SMA (anti-smooth-muscle-actin) protein (×400).,1477-7819-4-23-4,NotMatch,NotMatch
PMC1352359,Figure 1,"Resected specimen measured 18 × 12 × 6 cm and cut surface showed multiple lobulated, solid, well circumscribed nodules of variable sizes 1 cm to 7 cm in diameter with areas of hemorrhage and cystic degeneration.",1477-7819-3-77-1,NotMatch,NotMatch
PMC1352359,Figure 2,"(a) shows dilated, sinuous vascular channels surrounded by oval to spindle tumor cells, having scanty cytoplasm and hyperchromatic nuclei, mitotic figures occasional present (Hematoxylin & Eosin ×200); (b) Reticulin stain (×200) shows intricate reticulum laid down around tumor cells and dilated vascular channels; (c) & (d) shows fibrous capsule of the tumor along with areas of necrosis (Hematoxylin & Eosin ×50).",1477-7819-3-77-2,NotMatch,NotMatch
PMC1852394,Figure 1,"Enhanced computed tomography exhibited a well-defined heterogeneous tumor with contrast enhancement in the left lower quadrant of the abdomen, and demonstrated that the left gastroepiploic artery (arrow) was feeding the tumor.",11605_2007_99_Fig1_HTML,NotMatch,NotMatch
PMC1852394,Figure 2,A solitary tumor arose in the greater omentum and was connected with the greater omentum by a vascular pedicle.,11605_2007_99_Fig2_HTML,NotMatch,NotMatch
PMC1852394,Figure 3,"The resected tumor measured 55 × 45 × 40 mm, weighed 68.5 g, and was solid and encapsulated without central necrosis or hemorrhage.",11605_2007_99_Fig3_HTML,NotMatch,NotMatch
PMC1693778,Figure 1,"A 57-year-old man with hepatic metastases of retroperitoneal hemangiopericytoma. (a) Contrast-enhanced CT reveals a mass in the left lobe. (b) T1-weighted MR image at baseline shows a mass in the left lobe. (c) Gd-BOPTA-enhanced axial T1-weighted MR image in the dynamic phase shows homogeneous enhancement of the left lobe liver lesion with multiple signal flow voids representing large tumour vessels. (d) The corresponding image of Gd-BOPTA in the delayed phase shows the wash-out of contrast agent from the metastasis with delineation. (e) T2-weighted MR image before ferumoxides. (f) Ferumoxides-enhanced axial spin-echo T2-weighted MR image reveals lesion to have homogeneously increased signal. Prominent signal voids correspond to enlarged vessels. (g) Angiography shows three tumour lesions (arrows) and demonstrates increase in the size and number of feeding arteries and a profusion of draining veins. (h) Unenhanced US scan of the liver with detection of multiple hypoechoic lesions (arrow indicates the one highlighted in this image). (i) Following BR1 administration, in the same scan of (h), the metastasis is clearly depicted and appears hyperechoic in the arterial phase (arrow). (j) In the portal venous phase, the lesion shows a central hypoechoic area with peripheral hyperechoic ring (arrow). (k) In the delayed phase, the lesion appears hypoechoic (arrow). ",ci06005601,Match,NotMatch
PMC2071213,Fig. 6-11,,brjcancer00497-0123-a,Empty,Empty
PMC2071213,Fig. 4-5,,brjcancer00497-0122-a,Empty,Empty
PMC2071213,Figs. 18-22,,brjcancer00497-0125-a,Empty,Empty
PMC2071213,Figs. 2-3,,brjcancer00497-0121-a,Empty,Empty
