pmcid,figure_name,width,height
PMC2808613,jkms-20-316-g003.jpg,473,473
PMC2808613,jkms-20-316-g001.jpg,472,472
PMC2808613,jkms-20-316-g002.jpg,472,472
PMC2409972,91-6601920t1.jpg,793,367
PMC2409972,91-6601920f1.jpg,773,356
PMC2409972,91-6601920t2.jpg,793,920
PMC1352359,1477-7819-3-77-1.jpg,600,450
PMC1352359,1477-7819-3-77-2.jpg,600,426
PMC1638294,envhper00309-0151-a.jpg,685,220
PMC1638294,envhper00309-0150-a.jpg,688,242
PMC1459159,1477-7819-4-23-1.jpg,600,449
PMC1459159,1477-7819-4-23-2.jpg,600,450
PMC1459159,1477-7819-4-23-4.jpg,600,450
PMC1459159,1477-7819-4-23-3.jpg,600,450
PMC1852394,11605_2007_99_Fig3_HTML.jpg,595,447
PMC1852394,11605_2007_99_Fig2_HTML.jpg,595,447
PMC1852394,11605_2007_99_Fig1_HTML.jpg,595,595
PMC1693778,ci06005601.jpg,447,598
PMC1906779,1477-7819-5-63-1.jpg,600,598
PMC1906779,1477-7819-5-63-2.jpg,600,450
PMC1906779,1477-7819-5-63-3.jpg,600,450
PMC1906779,1477-7819-5-63-4.jpg,600,450
PMC2627159,kjr-8-336-g009.jpg,440,326
PMC2627159,kjr-8-336-g007.jpg,438,323
PMC2627159,kjr-8-336-g010.jpg,438,323
PMC2627159,kjr-8-336-g004.jpg,462,230
PMC2627159,kjr-8-336-g005.jpg,441,285
PMC2627159,kjr-8-336-g013.jpg,438,297
PMC2627159,kjr-8-336-g012.jpg,436,322
PMC2627159,kjr-8-336-g011.jpg,665,164
PMC2627159,kjr-8-336-g014.jpg,432,401
PMC2627159,kjr-8-336-g001.jpg,667,153
PMC2627159,kjr-8-336-g016.jpg,440,328
PMC2627159,kjr-8-336-g003.jpg,462,201
PMC2627159,kjr-8-336-g006.jpg,436,323
PMC2627159,kjr-8-336-g002.jpg,463,218
PMC2627159,kjr-8-336-g008.jpg,438,336
PMC2627159,kjr-8-336-g017.jpg,435,326
PMC2627159,kjr-8-336-g015.jpg,440,300
PMC2071213,brjcancer00497-0123-a.jpg,485,636
PMC2071213,brjcancer00497-0121-a.jpg,412,698
PMC2071213,brjcancer00497-0125-a.jpg,482,644
PMC2071213,brjcancer00497-0124-a.jpg,483,650
PMC2071213,brjcancer00497-0122-a.jpg,402,672
PMC2661536,ci09000302.jpg,455,455
PMC2661536,ci09000301.jpg,573,387
PMC2702908,SJG-14-88-g001.jpg,540,387
PMC2702908,SJG-14-88-g002.jpg,445,581
PMC2075367,pone.0001202.g003.jpg,478,239
PMC2075367,pone.0001202.g005.jpg,498,317
PMC2075367,pone.0001202.g008.jpg,478,312
PMC2075367,pone.0001202.g001.jpg,478,239
PMC2075367,pone.0001202.g006.jpg,498,332
PMC2075367,pone.0001202.g004.jpg,478,466
PMC2075367,pone.0001202.t001.jpg,654,791
PMC2075367,pone.0001202.g007.jpg,661,622
PMC2075367,pone.0001202.g002.jpg,478,400
PMC2739687,ci09000702.jpg,451,318
PMC2739687,ci09000701.jpg,450,317
PMC2739687,ci09000703.jpg,451,286
PMC2823763,1752-1947-4-8-3.jpg,600,152
PMC2823763,1752-1947-4-8-2.jpg,600,233
PMC2823763,1752-1947-4-8-1.jpg,600,312
PMC2590878,ci08003002.jpg,619,241
PMC2590878,ci08003001.jpg,479,439
PMC2590878,ci08003003.jpg,453,833
PMC2918851,cro0003-0093-f02.jpg,529,200
PMC2918851,cro0003-0093-f01.jpg,529,197
PMC2954839,1746-160X-6-23-1.jpg,245,326
PMC2954839,1746-160X-6-23-8.jpg,246,327
PMC2954839,1746-160X-6-23-6.jpg,319,240
