pmid,pmcid,title,journal,insert_time,has_targz,disease
1036093,PMC1475262,Biological effects of vinyl chloride: an experimental study.,Environ Health Perspect,2023-12-17-22-16-12,True,NotMatch
19461996,PMC2680013,Gene expression profiles of sporadic canine hemangiosarcoma are uniquely associated with breed.,PLoS One,2023-12-17-22-16-12,True,Match
19812364,PMC2794330,The role of hypoxia in 2-butoxyethanol-induced hemangiosarcoma.,Toxicol Sci,2023-12-17-22-16-12,True,Match
19825192,PMC2768746,"Establishment of canine hemangiosarcoma xenograft models expressing endothelial growth factors, their receptors, and angiogenesis-associated homeobox genes.",BMC Cancer,2023-12-17-22-16-12,True,Match
21062482,PMC2994824,Gene expression profiling identifies inflammation and angiogenesis as distinguishing features of canine hemangiosarcoma.,BMC Cancer,2023-12-17-22-16-12,True,Match
21165236,PMC2992565,Orbital metastatic angiosarcoma.,Korean J Ophthalmol,2023-12-17-22-16-12,True,Match
21528039,PMC3075463,Intraoral epithelioid hemangioendothelioma: an intermediate vascular tumor- a case report.,Dent Res J (Isfahan),2023-12-17-22-16-12,True,NotMatch
22071262,PMC3291645,Haploinsufficiency of the genes encoding the tumor suppressor Pten predisposes zebrafish to hemangiosarcoma.,Dis Model Mech,2023-12-17-22-16-12,True,Match
22232648,PMC3251770,Canine hemangiosarcoma in a female Jindo dog.,Lab Anim Res,2023-12-17-22-16-12,True,Match
22272042,PMC3234627,Natural occurrence of neoplastic lesions in young sprague-dawley rats.,J Toxicol Pathol,2023-12-17-22-16-12,True,NotMatch
22500283,PMC3322182,Cardiac angiosarcoma on the right atrium: two cases.,Korean J Thorac Cardiovasc Surg,2023-12-17-22-16-12,True,Match
22707897,PMC3372809,Angiosarcomas of the bilateral breast and heart: which one is the primary site?,Korean J Intern Med,2023-12-17-22-16-12,True,Match
22839755,PMC3438112,Constitutive phosphorylation of the mTORC2/Akt/4E-BP1 pathway in newly derived canine hemangiosarcoma cell lines.,BMC Vet Res,2023-12-17-22-16-12,True,Match
22988473,PMC3440946,Single agent polysaccharopeptide delays metastases and improves survival in naturally occurring hemangiosarcoma.,Evid Based Complement Alternat Med,2023-12-17-22-16-12,True,Match
23341800,PMC3551437,Angiosarcoma involving solid organs and the gastrointestinal tract with life-threatening bleeding.,Case Rep Gastroenterol,2023-12-17-22-16-12,True,Match
23342252,PMC3544435,Establishment and characterization of a novel lymphangiosarcoma cell line (MO-LAS) compared with the hemangiosarcoma cell line (ISO-HAS).,Cancer Med,2023-12-17-22-16-12,True,Match
23345930,PMC3517923,Splenic hemangiosarcoma in a young sprague-dawley rat.,J Toxicol Pathol,2023-12-17-22-16-12,True,Match
23418479,PMC3572183,Neutering dogs: effects on joint disorders and cancers in golden retrievers.,PLoS One,2023-12-17-22-16-12,True,NotMatch
