pmcid,figure_name,width,height
PMC1475262,envhper00492-0205-a.jpg,472,316
PMC1475262,envhper00492-0205-b.jpg,473,317
PMC1475262,envhper00492-0206-a.jpg,474,323
PMC1475262,envhper00492-0206-c.jpg,474,318
PMC1475262,envhper00492-0206-b.jpg,473,315
PMC2680013,pone.0005549.g003.jpg,560,816
PMC2680013,pone.0005549.g001.jpg,661,447
PMC2680013,pone.0005549.t003.jpg,658,178
PMC2680013,pone.0005549.t001.jpg,492,813
PMC2680013,pone.0005549.g004.jpg,498,325
PMC2680013,pone.0005549.t002.jpg,657,493
PMC2680013,pone.0005549.g002.jpg,406,534
PMC2680013,pone.0005549.t004.jpg,658,244
PMC2768746,1471-2407-9-363-2.jpg,600,449
PMC2768746,1471-2407-9-363-5.jpg,600,600
PMC2768746,1471-2407-9-363-4.jpg,600,300
PMC2768746,1471-2407-9-363-6.jpg,600,783
PMC2768746,1471-2407-9-363-1.jpg,600,600
PMC2768746,1471-2407-9-363-3.jpg,600,987
PMC2992565,kjo-24-364-g006.jpg,493,418
PMC2992565,kjo-24-364-g005.jpg,496,351
PMC2992565,kjo-24-364-g001.jpg,495,335
PMC2992565,kjo-24-364-g008.jpg,496,384
PMC2992565,kjo-24-364-g007.jpg,495,315
PMC2992565,kjo-24-364-g002.jpg,493,340
PMC2992565,kjo-24-364-g004.jpg,495,360
PMC2992565,kjo-24-364-g003.jpg,495,363
PMC3075463,DRJ-6-99-g002.jpg,594,342
PMC3075463,DRJ-6-99-g005.jpg,559,424
PMC3075463,DRJ-6-99-g007.jpg,552,421
PMC3075463,DRJ-6-99-g006.jpg,553,428
PMC3075463,DRJ-6-99-g003.jpg,585,401
PMC3075463,DRJ-6-99-g004.jpg,545,426
PMC3075463,DRJ-6-99-g001.jpg,735,519
PMC3291645,DMM008326F4.jpg,525,304
PMC3291645,supp_008326_DMM008326FigS2.jpg,992,794
PMC3291645,DMM008326T1.jpg,528,98
PMC3291645,DMM008326F2.jpg,531,989
PMC3291645,DMM008326F1.jpg,479,341
PMC3291645,DMM008326T2.jpg,528,86
PMC3291645,DMM008326F3.jpg,525,357
PMC3291645,supp_008326_DMM008326FigS1.jpg,985,1224
PMC2994824,1471-2407-10-619-5.jpg,600,869
PMC2994824,1471-2407-10-619-1.jpg,600,732
PMC2994824,1471-2407-10-619-4.jpg,600,313
PMC2994824,1471-2407-10-619-3.jpg,600,1575
PMC2994824,1471-2407-10-619-2.jpg,600,484
PMC3234627,tox-24-037-t002.jpg,502,290
PMC3234627,tox-24-037-t001.jpg,500,221
PMC3251770,lar-27-361-g005.jpg,441,335
PMC3251770,lar-27-361-g004.jpg,442,332
PMC3251770,lar-27-361-g001.jpg,471,263
PMC3251770,lar-27-361-g002.jpg,443,333
PMC3251770,lar-27-361-g003.jpg,647,866
PMC3322182,kjtcs-45-120-g001.jpg,472,177
PMC3322182,kjtcs-45-120-g002.jpg,472,231
PMC3322182,kjtcs-45-120-g003.jpg,472,193
PMC3372809,kjim-27-224-g001.jpg,753,346
PMC3372809,kjim-27-224-g006.jpg,785,327
PMC3372809,kjim-27-224-g002.jpg,717,555
PMC3372809,kjim-27-224-g005.jpg,767,571
PMC3372809,kjim-27-224-g004.jpg,785,327
PMC3372809,kjim-27-224-g003.jpg,780,303
PMC3440946,ECAM2012-384301.001.jpg,600,445
PMC3440946,ECAM2012-384301.002.jpg,600,531
PMC3440946,ECAM2012-384301.003.jpg,600,741
PMC3438112,1746-6148-8-128-5.jpg,600,766
PMC3438112,1746-6148-8-128-3.jpg,600,981
PMC3438112,1746-6148-8-128-6.jpg,600,795
PMC3438112,1746-6148-8-128-1.jpg,600,491
PMC3438112,1746-6148-8-128-2.jpg,600,239
PMC3438112,1746-6148-8-128-4.jpg,600,922
PMC3551437,crg-0006-0772-g03.jpg,788,202
PMC3551437,crg-0006-0772-g01.jpg,788,767
PMC3551437,crg-0006-0772-g02.jpg,788,591
PMC3544435,cam40001-0039-f2.jpg,676,624
PMC3544435,cam40001-0039-f4.jpg,600,389
PMC3544435,cam40001-0039-f1.jpg,682,436
PMC3544435,cam40001-0039-f5.jpg,622,422
PMC3544435,cam40001-0039-f6.jpg,622,410
PMC3544435,cam40001-0039-f3.jpg,573,881
PMC3572183,pone.0055937.t003.jpg,785,787
PMC3572183,pone.0055937.t001.jpg,746,220
PMC3572183,pone.0055937.g001.jpg,780,549
PMC3572183,pone.0055937.g002.jpg,780,549
PMC3572183,pone.0055937.t004.jpg,746,270
PMC3572183,pone.0055937.t002.jpg,786,816
PMC3942987,jvms-75-1515-g001.jpg,771,544
PMC3942987,jvms-75-1515-g002.jpg,787,561
PMC3517923,tox-25-273-g007.jpg,238,199
PMC3517923,tox-25-273-g005.jpg,238,156
PMC3517923,tox-25-273-g003.jpg,238,156
PMC3517923,tox-25-273-g006.jpg,238,156
PMC3517923,tox-25-273-t001.jpg,1200,672
PMC3517923,tox-25-273-g001.jpg,238,156
PMC3517923,tox-25-273-g004.jpg,238,156
PMC3517923,tox-25-273-g002.jpg,238,156
PMC2794330,toxscikfp213f01_3c.jpg,409,455
PMC2794330,toxscikfp213f04_3c.jpg,448,502
PMC2794330,toxscikfp213f03_3c.jpg,448,454
PMC2794330,toxscikfp213f05_lw.jpg,480,319
PMC2794330,toxscikfp213f02_3c.jpg,407,697
PMC3942993,jvms-75-1433-g002.jpg,734,1118
PMC3942993,jvms-75-1433-g004.jpg,661,676
PMC3942993,jvms-75-1433-g005.jpg,689,528
PMC3942993,jvms-75-1433-g001.jpg,734,1127
PMC3942993,jvms-75-1433-g003.jpg,756,1185
PMC3728515,VMI2013-942351.001.jpg,600,601
PMC3728515,VMI2013-942351.002.jpg,600,1891
PMC3695341,tox-26-193-g006.jpg,773,546
PMC3695341,tox-26-193-g004.jpg,773,546
PMC3695341,tox-26-193-g003.jpg,773,546
PMC3695341,tox-26-193-g001.jpg,794,776
PMC3695341,tox-26-193-g002.jpg,773,546
PMC3695341,tox-26-193-g005.jpg,773,552
PMC4895544,JVIM-28-066-g001.jpg,237,189
PMC4096726,pone.0102241.t003.jpg,746,283
PMC4096726,pone.0102241.g002.jpg,680,847
PMC4096726,pone.0102241.t002.jpg,746,283
PMC4096726,pone.0102241.g001.jpg,682,854
PMC4096726,pone.0102241.t001.jpg,746,220
PMC4096726,pone.0102241.t005.jpg,746,283
PMC4096726,pone.0102241.t004.jpg,746,283
PMC4087139,kjpathol-48-241-g003.jpg,756,373
PMC4087139,kjpathol-48-241-g002.jpg,793,633
PMC4087139,kjpathol-48-241-g001.jpg,794,426
PMC4118155,2046-0481-67-15-3.jpg,600,451
PMC4118155,2046-0481-67-15-2.jpg,600,401
PMC4118155,2046-0481-67-15-5.jpg,600,281
PMC4118155,2046-0481-67-15-4.jpg,600,393
PMC4118155,2046-0481-67-15-1.jpg,600,297
PMC4217701,nihms505752f2.jpg,634,548
PMC4217701,nihms505752f1.jpg,601,911
PMC4217701,nihms505752f3.jpg,714,460
PMC4188569,2045-824X-6-20-2.jpg,600,735
PMC4188569,2045-824X-6-20-7.jpg,600,780
PMC4188569,2045-824X-6-20-8.jpg,600,1108
PMC4188569,2045-824X-6-20-1.jpg,600,574
PMC4188569,2045-824X-6-20-6.jpg,600,425
PMC4188569,2045-824X-6-20-4.jpg,600,1324
PMC4188569,2045-824X-6-20-3.jpg,600,582
PMC4188569,2045-824X-6-20-5.jpg,600,795
PMC4322986,oncotarget-05-11924-g007.jpg,550,812
PMC4322986,oncotarget-05-11924-g004.jpg,550,533
PMC4322986,oncotarget-05-11924-g003.jpg,550,620
PMC4322986,oncotarget-05-11924-g008.jpg,550,805
PMC4322986,oncotarget-05-11924-g005.jpg,550,435
PMC4322986,oncotarget-05-11924-g006.jpg,550,801
PMC4322986,oncotarget-05-11924-g001.jpg,550,1216
PMC4322986,oncotarget-05-11924-g002.jpg,550,825
PMC4591166,jvms-77-1187-g001.jpg,609,300
PMC4464614,12917_2015_446_Fig2_HTML.jpg,567,227
PMC4464614,12917_2015_446_Fig1_HTML.jpg,567,220
PMC4333733,pgen.1004922.t001.jpg,753,2096
PMC4333733,pgen.1004922.g001.jpg,799,709
PMC4333733,pgen.1004922.t002.jpg,757,341
PMC4333733,pgen.1004922.g003.jpg,754,1124
PMC4333733,pgen.1004922.t003.jpg,756,483
PMC4333733,pgen.1004922.g002.jpg,781,811
PMC4710731,jvms-77-1685-g001.jpg,771,466
PMC4710731,jvms-77-1685-g004.jpg,734,496
PMC4710731,jvms-77-1685-g002.jpg,554,183
PMC4710731,jvms-77-1685-g003.jpg,555,182
PMC4684944,JVIM-29-1088-g003.jpg,313,226
PMC4684944,JVIM-29-1088-g006.jpg,426,551
PMC4684944,JVIM-29-1088-g001.jpg,431,369
PMC4684944,JVIM-29-1088-g002.jpg,429,432
PMC4684944,JVIM-29-1088-g005.jpg,429,333
PMC4684944,JVIM-29-1088-g004.jpg,432,404
PMC4632806,ijms-16-25377-g004.jpg,742,418
PMC4632806,ijms-16-25377-g003.jpg,744,559
PMC4632806,ijms-16-25377-g005.jpg,748,210
PMC4632806,ijms-16-25377-g001.jpg,792,756
PMC4632806,ijms-16-25377-g002.jpg,717,374
PMC1567728,envhper00419-0047-c.jpg,518,361
PMC1567728,envhper00419-0045-b.jpg,513,396
PMC1567728,envhper00419-0051-b.jpg,514,399
PMC1567728,envhper00419-0049-d.jpg,516,386
PMC1567728,envhper00419-0048-d.jpg,513,379
PMC1567728,envhper00419-0046-d.jpg,451,590
PMC1567728,envhper00419-0045-a.jpg,513,369
PMC1567728,envhper00419-0047-a.jpg,461,618
PMC1567728,envhper00419-0052-c.jpg,514,387
PMC1567728,envhper00419-0046-c.jpg,518,405
PMC1567728,envhper00419-0044-b.jpg,515,401
PMC1567728,envhper00419-0049-c.jpg,516,396
PMC1567728,envhper00419-0048-a.jpg,514,406
PMC1567728,envhper00419-0051-a.jpg,513,416
PMC1567728,envhper00419-0051-d.jpg,516,387
PMC1567728,envhper00419-0053-b.jpg,515,365
PMC1567728,envhper00419-0049-a.jpg,512,395
PMC1567728,envhper00419-0054-a.jpg,515,380
PMC1567728,envhper00419-0050-a.jpg,519,405
PMC1567728,envhper00419-0050-b.jpg,519,381
PMC1567728,envhper00419-0051-c.jpg,516,391
PMC1567728,envhper00419-0052-a.jpg,513,400
PMC1567728,envhper00419-0047-b.jpg,514,399
PMC1567728,envhper00419-0049-b.jpg,511,385
PMC1567728,envhper00419-0046-a.jpg,515,393
PMC1567728,envhper00419-0047-d.jpg,522,386
PMC1567728,envhper00419-0048-c.jpg,512,394
PMC1567728,envhper00419-0053-a.jpg,513,388
PMC1567728,envhper00419-0045-c.jpg,513,382
PMC1567728,envhper00419-0046-b.jpg,516,394
PMC1567728,envhper00419-0050-c.jpg,518,394
PMC1567728,envhper00419-0048-b.jpg,513,396
PMC1567728,envhper00419-0052-b.jpg,515,389
PMC1567728,envhper00419-0044-a.jpg,514,401
PMC4921675,jvs-17-257-g001.jpg,736,763
PMC4921675,jvs-17-257-g002.jpg,673,318
PMC4921675,jvs-17-257-i001.jpg,1200,627
PMC4708591,tau-04-04-464-f3.jpg,768,605
PMC4708591,tau-04-04-464-f2.jpg,768,621
PMC4708591,tau-04-04-464-f1.jpg,768,631
PMC4708591,tau-04-04-464-f4.jpg,768,580
PMC4764967,IJMS-41-154-g002.jpg,490,377
PMC4764967,IJMS-41-154-g001.jpg,490,411
PMC4873857,jvms-78-649-g004.jpg,675,451
PMC4873857,jvms-78-649-g003.jpg,672,451
PMC4873857,jvms-78-649-g001.jpg,676,450
PMC4873857,jvms-78-649-g002.jpg,675,452
PMC4559432,pone.0137361.g004.jpg,726,568
