pmcid,figure_name,width,height
PMC2994483,rt-2010-1-e7-g002.jpg,441,272
PMC2994483,rt-2010-1-e7-g003.jpg,438,673
PMC2994483,rt-2010-1-e7-g001.jpg,414,420
PMC3252043,tox-22-205-g004.jpg,476,360
PMC3252043,tox-22-205-g003.jpg,476,358
PMC3252043,tox-22-205-g002.jpg,474,356
PMC3252043,tox-22-205-g001.jpg,476,360
PMC3249941,IJRI-21-270-g001.jpg,556,363
PMC3249941,IJRI-21-270-g002.jpg,743,579
PMC3249941,IJRI-21-270-g005.jpg,742,543
PMC3249941,IJRI-21-270-g004.jpg,556,263
PMC3249941,IJRI-21-270-g003.jpg,743,557
PMC4872979,1679-4508-eins-11-01-0111-gf01.jpg,685,280
PMC3259327,13244_2011_107_Fig9_HTML.jpg,313,150
PMC3259327,13244_2011_107_Fig1_HTML.jpg,787,451
PMC3259327,13244_2011_107_Fig8_HTML.jpg,747,264
PMC3259327,13244_2011_107_Fig4_HTML.jpg,761,771
PMC3259327,13244_2011_107_Fig6_HTML.jpg,787,275
PMC3259327,13244_2011_107_Fig3_HTML.jpg,747,206
PMC3259327,13244_2011_107_Fig7_HTML.jpg,787,291
PMC3259327,13244_2011_107_Fig5_HTML.jpg,761,676
PMC3259327,13244_2011_107_Fig2_HTML.jpg,787,246
PMC3932122,PAMJ-16-27-g002.jpg,610,420
PMC3932122,PAMJ-16-27-g001.jpg,640,424
PMC3932122,PAMJ-16-27-g003.jpg,617,425
PMC3932122,PAMJ-16-27-g004.jpg,650,450
PMC3928751,IJNM-29-40-g001.jpg,739,361
PMC3928751,IJNM-29-40-g002.jpg,591,488
PMC3372282,2045-3329-1-3-13.jpg,287,347
PMC3372282,2045-3329-1-3-23.jpg,229,369
PMC3372282,2045-3329-1-3-1.jpg,370,396
PMC3372282,2045-3329-1-3-21.jpg,260,365
PMC3372282,2045-3329-1-3-6.jpg,342,331
PMC3372282,2045-3329-1-3-3.jpg,353,412
PMC3372282,2045-3329-1-3-16.jpg,350,388
PMC3372282,2045-3329-1-3-26.jpg,281,224
PMC3372282,2045-3329-1-3-2.jpg,388,408
PMC3372282,2045-3329-1-3-7.jpg,342,377
PMC3372282,2045-3329-1-3-15.jpg,360,388
PMC3372282,2045-3329-1-3-22.jpg,248,377
PMC3372282,2045-3329-1-3-18.jpg,378,285
PMC3372282,2045-3329-1-3-14.jpg,410,347
PMC3372282,2045-3329-1-3-10.jpg,353,517
PMC3372282,2045-3329-1-3-4.jpg,342,331
PMC3372282,2045-3329-1-3-20.jpg,248,365
PMC3372282,2045-3329-1-3-8.jpg,353,377
PMC3372282,2045-3329-1-3-17.jpg,354,299
PMC3372282,2045-3329-1-3-12.jpg,353,581
PMC3372282,2045-3329-1-3-19.jpg,388,285
PMC3372282,2045-3329-1-3-24.jpg,259,229
PMC3372282,2045-3329-1-3-25.jpg,281,227
PMC3372282,2045-3329-1-3-11.jpg,401,640
PMC3372282,2045-3329-1-3-9.jpg,342,377
PMC3372282,2045-3329-1-3-5.jpg,365,331
PMC4189526,CRIM2014-804580.005.jpg,600,453
PMC4189526,CRIM2014-804580.004.jpg,600,529
PMC4189526,CRIM2014-804580.002.jpg,600,1011
PMC4189526,CRIM2014-804580.001.jpg,600,455
PMC4189526,CRIM2014-804580.003.jpg,600,1468
PMC4359796,12880_2015_46_Fig4_HTML.jpg,472,364
PMC4359796,12880_2015_46_Fig3_HTML.jpg,358,143
PMC4359796,12880_2015_46_Fig2_HTML.jpg,358,304
PMC4359796,12880_2015_46_Fig1_HTML.jpg,472,321
PMC4359796,12880_2015_46_Fig6_HTML.jpg,358,288
PMC4359796,12880_2015_46_Fig5_HTML.jpg,358,153
PMC4350833,1806-3713-jbpneu-41-01-00103-gf02.jpg,665,1007
PMC4350833,1806-3713-jbpneu-41-01-00103-gf01.jpg,788,1065
PMC4430564,kjs-9-362-g002.jpg,778,169
PMC4430564,kjs-9-362-g004.jpg,743,272
PMC4430564,kjs-9-362-g003.jpg,717,443
PMC4430564,kjs-9-362-g001.jpg,727,541
PMC4691481,CRIOR2015-958690.004.jpg,759,194
PMC4691481,CRIOR2015-958690.001.jpg,760,217
PMC4691481,CRIOR2015-958690.005.jpg,632,542
PMC4691481,CRIOR2015-958690.003.jpg,632,484
PMC4691481,CRIOR2015-958690.002.jpg,632,684
PMC4897017,gr2.jpg,607,1222
PMC4897017,gr1.jpg,756,732
PMC5043362,cro-0009-0427-g01.jpg,708,514
PMC5043362,cro-0009-0427-g03.jpg,708,523
PMC5043362,cro-0009-0427-g02.jpg,708,279
PMC5409814,cureus-0009-00000001124-i01.jpg,642,600
PMC5409814,cureus-0009-00000001124-i02.jpg,643,600
PMC4954860,JoU-2016-0016-g001.jpg,669,469
PMC4954860,JoU-2016-0016-g003.jpg,669,395
PMC4954860,JoU-2016-0016-g009.jpg,669,454
PMC4954860,JoU-2016-0016-g018.jpg,675,436
PMC4954860,JoU-2016-0016-g008.jpg,669,534
PMC4954860,JoU-2016-0016-g004.jpg,669,478
PMC4954860,JoU-2016-0016-g015.jpg,673,653
PMC4954860,JoU-2016-0016-g016.jpg,673,428
PMC4954860,JoU-2016-0016-g010.jpg,669,453
PMC4954860,JoU-2016-0016-g014.jpg,669,445
PMC4954860,JoU-2016-0016-g013.jpg,669,447
PMC4954860,JoU-2016-0016-g011.jpg,669,658
PMC4954860,JoU-2016-0016-g005.jpg,669,382
PMC4954860,JoU-2016-0016-g002.jpg,670,467
PMC4954860,JoU-2016-0016-g006.jpg,669,380
PMC4954860,JoU-2016-0016-g017.jpg,669,494
PMC4954860,JoU-2016-0016-g012.jpg,669,417
PMC4954860,JoU-2016-0016-g007.jpg,669,536
PMC4954860,JoU-2016-0016-g019.jpg,676,582
PMC5471793,cro-0010-0438-g01.jpg,789,592
PMC5019935,CRIRA2016-2378143.002.jpg,647,296
PMC5019935,CRIRA2016-2378143.001.jpg,750,686
