pmid,pmcid,title,journal,insert_time,has_targz
18959791,PMC2584079,Bartholin's abscess arising within hidradenoma papilliferum of the vulva: a case report.,Cases J,2023-12-17-22-02-31,True
21197082,PMC3004393,Ectopic hidradenoma papilliferum.,Dermatol Res Pract,2023-12-17-22-02-31,True
21847412,PMC3148539,Ectopic hidradenoma papilliferum of the breast: ultrasound finding.,J Breast Cancer,2023-12-17-22-02-31,True
22148064,PMC3229079,Hidradenoma papilliferum occurring on the nasal skin.,Ann Dermatol,2023-12-17-22-02-31,True
22355505,PMC3282455,A giant ectopic hidradenoma papilliferum in a Niger delta region of Nigeria.,Rare Tumors,2023-12-17-22-02-31,True
23531415,PMC3621362,Anal phyllodes tumor in a male patient: a unique case presentation and literature review.,Diagn Pathol,2023-12-17-22-02-31,True
25309673,PMC4191688,[Hidradenoma papilliferum].,Pan Afr Med J,2023-12-17-22-02-31,True
25396149,PMC4228661,Hidradenoma papilliferum of the vulva.,Indian Dermatol Online J,2023-12-17-22-02-31,True
26595821,PMC4894790,GATA3 Expression in Normal Skin and in Benign and Malignant Epidermal and Cutaneous Adnexal Neoplasms.,Am J Dermatopathol,2023-12-17-22-02-31,True
27047567,PMC4818383,Benign Vulvar Adnexal Tumours - A 5 year Study in a Tertiary Care Hospital.,J Family Reprod Health,2023-12-17-22-02-31,True
28503344,PMC5414439,Adnexal Tumors of Skin: An Experience at a Tertiary Care Center at Delhi.,Ann Med Health Sci Res,2023-12-17-22-02-31,True
28674589,PMC5483366,[Hidradenoma papilliferum].,Pan Afr Med J,2023-12-17-22-02-31,True
29924236,PMC6001074,Ectopic hidradenoma papilliferum.,An Bras Dermatol,2023-12-17-22-02-31,True
31871682,PMC6911944,Hidradenoma papilliferum of the external auditory canal. Case report.,Ann Med Surg (Lond),2023-12-17-22-02-31,True
31937076,PMC6968723,Hidradenoma Papilliferum of the Anus: A Report of 2 Cases and Review of the Literature.,Ann Coloproctol,2023-12-17-22-02-31,True
32180606,PMC7059462,Hidradenoma Papilliferum: Everyone Else's Diagnosis.,Indian J Dermatol,2023-12-17-22-02-31,True
33680603,PMC7928078,Hidradeonoma Papilliferum of the Anus: A Case Report About the Relationship Between Neoplasms of the Mammary-Like-Glands and Hormones.,Cureus,2023-12-17-22-02-31,True
33845900,PMC8042849,Hidradenoma papilliferum of the hymen: a case report.,J Med Case Rep,2023-12-17-22-02-31,True
33967496,PMC8083398,Rare and unusual occurrence of ectopic hidradenoma papilliferum in maxillofacial region.,J Oral Maxillofac Pathol,2023-12-17-22-02-31,True
34926767,PMC8651789,Poroid hidradenocarcinoma and atypical hidradenoma papilliferum of the vulva - Two cases.,Gynecol Oncol Rep,2023-12-17-22-02-31,True
35024216,PMC8648414,Vulvar Hidradenoma Papilliferum Dermoscopically Mimicking Basal Cell Carcinoma.,Dermatol Pract Concept,2023-12-17-22-02-31,True
36967274,PMC10334327,Hidradenoma papilliferum of the vulva: a dermoscopic challenging diagnosis.,An Bras Dermatol,2023-12-17-22-02-31,True
