pmcid,figure_name,width,height
PMC2584079,1757-1626-1-282-4.jpg,600,452
PMC2584079,1757-1626-1-282-1.jpg,600,451
PMC2584079,1757-1626-1-282-2.jpg,600,453
PMC2584079,1757-1626-1-282-3.jpg,600,453
PMC3148539,jbc-14-153-i001.jpg,646,299
PMC3148539,jbc-14-153-g002.jpg,483,342
PMC3148539,jbc-14-153-g001.jpg,483,342
PMC3148539,jbc-14-153-g003.jpg,646,219
PMC3282455,rt-2011-4-e50-g003.jpg,651,484
PMC3282455,rt-2011-4-e50-g004.jpg,652,418
PMC3282455,rt-2011-4-e50-g002.jpg,651,486
PMC3282455,rt-2011-4-e50-g001.jpg,652,488
PMC3229079,ad-23-S254-g005.jpg,486,391
PMC3229079,ad-23-S254-g003.jpg,480,386
PMC3229079,ad-23-S254-g004.jpg,485,389
PMC3229079,ad-23-S254-g002.jpg,644,263
PMC3229079,ad-23-S254-g001.jpg,580,845
PMC4191688,PAMJ-17-274-g001.jpg,545,536
PMC3004393,DRP2010-709371.005.jpg,447,357
PMC3004393,DRP2010-709371.003.jpg,459,357
PMC3004393,DRP2010-709371.001.jpg,721,877
PMC3004393,DRP2010-709371.002.jpg,691,876
PMC3004393,DRP2010-709371.004.jpg,453,414
PMC3621362,1746-1596-8-49-1.jpg,600,450
PMC3621362,1746-1596-8-49-3.jpg,600,671
PMC3621362,1746-1596-8-49-4.jpg,600,449
PMC3621362,1746-1596-8-49-2.jpg,160,101
PMC4894790,ajd-37-0885-g002.jpg,1200,668
PMC4894790,ajd-37-0885-g003.jpg,706,288
PMC4894790,ajd-37-0885-g005.jpg,705,286
PMC4894790,ajd-37-0885-g001.jpg,705,286
PMC4894790,ajd-37-0885-g004.jpg,1200,440
PMC4818383,JFRH-9-199-g002.jpg,716,513
PMC4818383,JFRH-9-199-g001.jpg,667,423
PMC4818383,JFRH-9-199-g003.jpg,726,519
PMC4228661,IDOJ-5-523-g003.jpg,539,399
PMC4228661,IDOJ-5-523-g002.jpg,539,415
PMC4228661,IDOJ-5-523-g001.jpg,539,404
PMC5483366,PAMJ-26-196-g001.jpg,730,282
PMC6001074,abd-93-03-0474-g02.jpg,693,970
PMC6001074,abd-93-03-0474-g03.jpg,771,553
PMC6001074,abd-93-03-0474-g01.jpg,771,435
PMC6968723,ac-2018-08-03f2.jpg,682,179
PMC6968723,ac-2018-08-03f1.jpg,680,247
PMC7059462,IJD-65-151-g003.jpg,538,421
PMC7059462,IJD-65-151-g002.jpg,538,404
PMC7059462,IJD-65-151-g001.jpg,537,382
PMC6911944,gr2.jpg,685,509
PMC6911944,gr4.jpg,689,866
PMC6911944,gr3.jpg,685,479
PMC6911944,gr1.jpg,738,984
PMC5414439,AMHSR-6-280-g010.jpg,549,411
PMC5414439,AMHSR-6-280-g006.jpg,537,410
PMC5414439,AMHSR-6-280-g005.jpg,533,410
PMC5414439,AMHSR-6-280-g007.jpg,523,411
PMC5414439,AMHSR-6-280-g008.jpg,525,411
PMC5414439,AMHSR-6-280-g003.jpg,569,407
PMC5414439,AMHSR-6-280-g002.jpg,569,730
PMC5414439,AMHSR-6-280-g009.jpg,547,411
PMC5414439,AMHSR-6-280-g001.jpg,566,419
PMC5414439,AMHSR-6-280-g004.jpg,1178,348
PMC8042849,13256_2021_2786_Fig1_HTML.jpg,896,711
PMC8042849,13256_2021_2786_Fig2_HTML.jpg,896,1169
PMC8083398,JOMFP-24-554-g003.jpg,782,586
PMC8083398,JOMFP-24-554-g002.jpg,588,587
PMC8083398,JOMFP-24-554-g004.jpg,782,586
PMC8083398,JOMFP-24-554-g001.jpg,578,587
PMC8648414,dp1104a70g001.jpg,592,314
PMC8648414,dp1104a70g002.jpg,592,312
PMC10334327,gr2.jpg,742,285
PMC10334327,gr1.jpg,742,277
PMC8651789,gr2.jpg,661,496
PMC8651789,gr4.jpg,661,496
PMC8651789,gr3.jpg,661,481
PMC8651789,gr1.jpg,661,496
