pmid,pmcid,title,journal,insert_time,label,caption,graphic
18959791,PMC2584079,Bartholin's abscess arising within hidradenoma papilliferum of the vulva: a case report.,Cases J,2023-12-17-22-02-31,Figure 1,Bartholin's abscess wall demonstrating fibro-necrotic tissues with acute and chronic inflammation. (Hematoxylin-eosin stain; original magnification: ×10).,1757-1626-1-282-1
18959791,PMC2584079,Bartholin's abscess arising within hidradenoma papilliferum of the vulva: a case report.,Cases J,2023-12-17-22-02-31,Figure 2,Papillary neoplasm with cystic dilation. (Hematoxylin-eosin stain; original magnification: ×10).,1757-1626-1-282-2
18959791,PMC2584079,Bartholin's abscess arising within hidradenoma papilliferum of the vulva: a case report.,Cases J,2023-12-17-22-02-31,Figure 3,The papillary projections and cystic areas are lined by basophilic cuboidal to columnar cells with outer compressed myoepithelial cells. (Hematoxylin-eosin stain; original magnification: ×10).,1757-1626-1-282-3
18959791,PMC2584079,Bartholin's abscess arising within hidradenoma papilliferum of the vulva: a case report.,Cases J,2023-12-17-22-02-31,Figure 4,Hidradenoma papilliferum. Papillary neoplasm with foci of apocrine differentiation and cystic dilation. (Hematoxylin-eosin stain; original magnification: ×10).,1757-1626-1-282-4
21197082,PMC3004393,Ectopic hidradenoma papilliferum.,Dermatol Res Pract,2023-12-17-22-02-31,Figure 1,Clinical features of the skin lesion on the upper eyelid.,DRP2010-709371.001
21197082,PMC3004393,Ectopic hidradenoma papilliferum.,Dermatol Res Pract,2023-12-17-22-02-31,Figure 2,Dermoscopy findings.,DRP2010-709371.002
21197082,PMC3004393,Ectopic hidradenoma papilliferum.,Dermatol Res Pract,2023-12-17-22-02-31,Figure 3,Hematoxylin-eosin stain (4x) showed a dermal nodule with many glandular structures and papillary folds.,DRP2010-709371.003
21197082,PMC3004393,Ectopic hidradenoma papilliferum.,Dermatol Res Pract,2023-12-17-22-02-31,Figure 4,Hematoxylin-eosin stain (40x) showed the presence of focal areas infiltrated by plasma cells and lymphocytes in the stroma.,DRP2010-709371.004
21197082,PMC3004393,Ectopic hidradenoma papilliferum.,Dermatol Res Pract,2023-12-17-22-02-31,Figure 5,Hematoxylin-eosin stain (20x) showed the tumor epithelium to be composed by an outer cuboidal cell layer and an inner columnar cell layer.,DRP2010-709371.005
21847412,PMC3148539,Ectopic hidradenoma papilliferum of the breast: ultrasound finding.,J Breast Cancer,2023-12-17-22-02-31,Figure 1,"Ultrasound shows three, round complex masses in the dermis which abutted the subcutaneous fat layer of the left breast.",jbc-14-153-g001
21847412,PMC3148539,Ectopic hidradenoma papilliferum of the breast: ultrasound finding.,J Breast Cancer,2023-12-17-22-02-31,Figure 2,Excisied specimen shows two well circumscribed solid and partly cystic masses.,jbc-14-153-g002
21847412,PMC3148539,Ectopic hidradenoma papilliferum of the breast: ultrasound finding.,J Breast Cancer,2023-12-17-22-02-31,Figure 3,"Microscopic findings of the lesions (A, H&E stain, ×1; B, H&E stain, ×200). The lesions are composed of proliferation of papillary fronds made of loose fibrous connective tissue lined by pseudostratified bland-looking epithelial cells. These findings are consistent with the cystic papillary tumors.",jbc-14-153-g003
22148064,PMC3229079,Hidradenoma papilliferum occurring on the nasal skin.,Ann Dermatol,2023-12-17-22-02-31,Fig. 1,"Solitary, 10-mm sized, pink-brown, elevated, firm nodule with smooth surface on the nasal skin was seen.",ad-23-S254-g001
22148064,PMC3229079,Hidradenoma papilliferum occurring on the nasal skin.,Ann Dermatol,2023-12-17-22-02-31,Fig. 2,"Variously shaped cystic and tubular structures were lined with a double or single layer of inner columnar and outer cuboidal cells. The cells of the lumina showed decapitation secretion similar to that of apocrine gland (A: H&E, ×40, B: H&E, ×200).",ad-23-S254-g002
22148064,PMC3229079,Hidradenoma papilliferum occurring on the nasal skin.,Ann Dermatol,2023-12-17-22-02-31,Fig. 3,"Positive reactivity with gross cystic disease fluid protein is seen (immunoperoxidase, ×40).",ad-23-S254-g003
22148064,PMC3229079,Hidradenoma papilliferum occurring on the nasal skin.,Ann Dermatol,2023-12-17-22-02-31,Fig. 4,"Positive reactivity with epithelial membrane antigen is seen (immunoperoxidase, ×40).",ad-23-S254-g004
22148064,PMC3229079,Hidradenoma papilliferum occurring on the nasal skin.,Ann Dermatol,2023-12-17-22-02-31,Fig. 5,"Cytoplasm of these cells is negative for carcinoembryonic antigen (immunoperoxidase, ×40).",ad-23-S254-g005
22355505,PMC3282455,A giant ectopic hidradenoma papilliferum in a Niger delta region of Nigeria.,Rare Tumors,2023-12-17-22-02-31,Figure 1,Macroscopic description showed multi-locular cystic cut surfaces containing light greenish to light brownish mucoid gelatinous materials.,rt-2011-4-e50-g001
22355505,PMC3282455,A giant ectopic hidradenoma papilliferum in a Niger delta region of Nigeria.,Rare Tumors,2023-12-17-22-02-31,Figure 2,Photomicrograph of breast showed complex arborizing papillary glandular structure (haematoxylin and eosin × 10).,rt-2011-4-e50-g002
22355505,PMC3282455,A giant ectopic hidradenoma papilliferum in a Niger delta region of Nigeria.,Rare Tumors,2023-12-17-22-02-31,Figure 3,Photomicrograph of breast showed complex arborizing papillary glandular structure (haematoxylin and eosin HE × 40).,rt-2011-4-e50-g003
22355505,PMC3282455,A giant ectopic hidradenoma papilliferum in a Niger delta region of Nigeria.,Rare Tumors,2023-12-17-22-02-31,Figure 4,Photomicrograph of breast showed the lumen of the papillary glandular structure lined by two layers of columnar and cuboidal cell with focal decapitation and fibrovascular core infiltrated by inflammatory cells (haematoxylin and eosin × 100).,rt-2011-4-e50-g004
23531415,PMC3621362,Anal phyllodes tumor in a male patient: a unique case presentation and literature review.,Diagn Pathol,2023-12-17-22-02-31,Figure 1,Colofibroscopic finding. The endoscopic findings revealed a subepithelial tumor at anal verge.,1746-1596-8-49-1
23531415,PMC3621362,Anal phyllodes tumor in a male patient: a unique case presentation and literature review.,Diagn Pathol,2023-12-17-22-02-31,Figure 2,Gross features. The tumor appeared circumscribed. The cut sections showed leaf-like slits.,1746-1596-8-49-2
23531415,PMC3621362,Anal phyllodes tumor in a male patient: a unique case presentation and literature review.,Diagn Pathol,2023-12-17-22-02-31,Figure 3,"Microscopic findings. a) At the low power field, the tumor was found to be well-circumscribed. Leaf-like growth pattern was clearly depicted. b) The overlying skin and skin appendage of this tumor showed no remarkable change. c) The epithelium was composed of double layers. The stroma showed low cellularity. d) However, there is other area of tumor which shows increased stromal cellularity in low-to-intermediate degree. e) At high power field, stormal hypercellularity and cell atypism were identified. f) At peripheral, gynecomastoid hyperplasia featuring proliferation of both ductal and stromal cells was found.",1746-1596-8-49-3
23531415,PMC3621362,Anal phyllodes tumor in a male patient: a unique case presentation and literature review.,Diagn Pathol,2023-12-17-22-02-31,Figure 4,Immunohistochemistry. a) ER. b) PR.c) AR. d) GCDFP-15. e) CD34. f) Ki-67. g) CK7. h) PSAP. i) AE1/AE3.,1746-1596-8-49-4
25309673,PMC4191688,[Hidradenoma papilliferum].,Pan Afr Med J,2023-12-17-22-02-31,Figure 1,Hidradénome papillifère de localisation vulvaire,PAMJ-17-274-g001
25396149,PMC4228661,Hidradenoma papilliferum of the vulva.,Indian Dermatol Online J,2023-12-17-22-02-31,Figure 1,Well-circumscribed red eroded nodule on the vulva,IDOJ-5-523-g001
25396149,PMC4228661,Hidradenoma papilliferum of the vulva.,Indian Dermatol Online J,2023-12-17-22-02-31,Figure 2,"Histopathology showing dermal tumor with cells in papillary folds, tubules, and cystically dilated spaces. (H and E, ×100)",IDOJ-5-523-g002
25396149,PMC4228661,Hidradenoma papilliferum of the vulva.,Indian Dermatol Online J,2023-12-17-22-02-31,Figure 3,"Histopathology showing lumen lined by columnar cells with decapitation secretion. (H and E, ×400)",IDOJ-5-523-g003
26595821,PMC4894790,GATA3 Expression in Normal Skin and in Benign and Malignant Epidermal and Cutaneous Adnexal Neoplasms.,Am J Dermatopathol,2023-12-17-22-02-31,FIGURE 1,"GATA3 expression in normal skin. Epidermis (×200): positive staining for GATA3 is present in the basal and spinous layers of the epidermis but is absent in the granular cell layer. Pilosebaceous unit (×100): positive staining for GATA3 is seen in both the outer root sheath of the hair follicle and in the sebaceous glands. Hair bulb and root sheath (×100): strong positive staining for GATA3 is present in some layers of the inner root sheath, with less intense staining also present in the outer root sheath, whereas the matrix cells of the hair bulb are negative for GATA3. Sweat glands (×200): apocrine glands (left) exhibit positive staining for GATA3, whereas eccrine glands (right) are negative for GATA3.",ajd-37-0885-g001
26595821,PMC4894790,GATA3 Expression in Normal Skin and in Benign and Malignant Epidermal and Cutaneous Adnexal Neoplasms.,Am J Dermatopathol,2023-12-17-22-02-31,FIGURE 2,"GATA3 expression in benign cutaneous epithelial neoplasms. Positive staining for GATA3 is demonstrated in these examples of trichofolliculoma (×200), sebaceous adenoma (×200), and hidradenoma papilliferum (×200), whereas the spiradenoma (×200) is negative for GATA3.",ajd-37-0885-g003
26595821,PMC4894790,GATA3 Expression in Normal Skin and in Benign and Malignant Epidermal and Cutaneous Adnexal Neoplasms.,Am J Dermatopathol,2023-12-17-22-02-31,FIGURE 3,"GATA3 expression in malignant cutaneous epithelial neoplasms. Positive staining for GATA3 is demonstrated in these examples of basal cell carcinoma (×200), apocrine carcinoma (×200), and mucinous carcinoma (×200), whereas the adenoid cystic carcinoma (×200) is negative for GATA3.",ajd-37-0885-g005
27047567,PMC4818383,Benign Vulvar Adnexal Tumours - A 5 year Study in a Tertiary Care Hospital.,J Family Reprod Health,2023-12-17-22-02-31,Figure 1,Hidradenoma Papilliferum (H&E X100),JFRH-9-199-g001
27047567,PMC4818383,Benign Vulvar Adnexal Tumours - A 5 year Study in a Tertiary Care Hospital.,J Family Reprod Health,2023-12-17-22-02-31,Figure 2,Syringoma (H&E X100),JFRH-9-199-g002
27047567,PMC4818383,Benign Vulvar Adnexal Tumours - A 5 year Study in a Tertiary Care Hospital.,J Family Reprod Health,2023-12-17-22-02-31,Figure 3,Chondroid Syringoma exhibiting cartilaginous differentiation (H&E X450),JFRH-9-199-g003
28503344,PMC5414439,Adnexal Tumors of Skin: An Experience at a Tertiary Care Center at Delhi.,Ann Med Health Sci Res,2023-12-17-22-02-31,Figure 1,Pie chart showing distribution of the cases according to line of differentiation (n = 25),AMHSR-6-280-g001
28503344,PMC5414439,Adnexal Tumors of Skin: An Experience at a Tertiary Care Center at Delhi.,Ann Med Health Sci Res,2023-12-17-22-02-31,Figure 2,"Photomicrograph of hidradenoma papilliferum showing (a) tumor composed of tubular and cystic structures with papillary folds projecting into cystic spaces (H and E, ×100) (b) these are lined by two layers of cells with apical secretions (H and E, ×400)",AMHSR-6-280-g005
28503344,PMC5414439,Adnexal Tumors of Skin: An Experience at a Tertiary Care Center at Delhi.,Ann Med Health Sci Res,2023-12-17-22-02-31,Figure 3,"Pilomatricoma (a) Grossly, it is a capsulated tumor with a grayish white cut surface (b) Photomicrograph showing basaloid as well as shadow cells (white and black arrow) along with foreign body giant cell reaction (black arrow) (H and E, ×400)",AMHSR-6-280-g006
28503344,PMC5414439,Adnexal Tumors of Skin: An Experience at a Tertiary Care Center at Delhi.,Ann Med Health Sci Res,2023-12-17-22-02-31,Figure 4,"Photomicrograph of cylindroma showing (a) tumor composed of variably shaped islands of tumor cells arranged like a jigsaw puzzle (H and E, ×100), (b) The islands are surrounded by a hyaline sheath and occasional islands also show droplets of hyaline material (arrow) (H and E, ×400)",AMHSR-6-280-g007
28503344,PMC5414439,Adnexal Tumors of Skin: An Experience at a Tertiary Care Center at Delhi.,Ann Med Health Sci Res,2023-12-17-22-02-31,Figure 5,"Photomicrograph of (a) chondroid syringoma showing tubular and ductal structures embedded in chondromyxoid stroma (arrow) (H and E, ×100) (b) Syringoma composed of numerous small ducts with comma-like tails, giving a tadpole-like appearance (arrows) (H and E, ×100)",AMHSR-6-280-g008
28503344,PMC5414439,Adnexal Tumors of Skin: An Experience at a Tertiary Care Center at Delhi.,Ann Med Health Sci Res,2023-12-17-22-02-31,Figure 6,"Photomicrograph of proliferating trichilemmal tumor showing variably sized lobules of squamous epithelium showing abrupt keratinization (arrow with black border), horn pearls are also seen (black arrows with white border) (H and E, ×400)",AMHSR-6-280-g009
28503344,PMC5414439,Adnexal Tumors of Skin: An Experience at a Tertiary Care Center at Delhi.,Ann Med Health Sci Res,2023-12-17-22-02-31,Figure 7,"Photomicrograph of (a) nevus sebaceous showing sebaceous gland hyperplasia (H and E, ×100) (b) Sebaceous carcinoma of irregular lobular formations composed of sebaceous cells (clear cells marked by arrow) as well as undifferentiated cells with moderate-to-marked nuclear pleomorphism (H and E, ×400)",AMHSR-6-280-g010
28674589,PMC5483366,[Hidradenoma papilliferum].,Pan Afr Med J,2023-12-17-22-02-31,Figure 1,hidradénome papillifère A) aspact clinique de kyste du sillon interlabial; B) HE Gx10 tumeur annexielle bénigne faite de projections papillaires vêtus par un revêtement apocrine,PAMJ-26-196-g001
29924236,PMC6001074,Ectopic hidradenoma papilliferum.,An Bras Dermatol,2023-12-17-22-02-31,Figure 1,"A - An erythematous papule on left areola . B -
Detail of the lesion",abd-93-03-0474-g01
29924236,PMC6001074,Ectopic hidradenoma papilliferum.,An Bras Dermatol,2023-12-17-22-02-31,Figure 2,"A - Microscopic examination: dermal tumor with papillary folds
and no connection to the overlying epidermis (Hematoxylin & eosin,
X100). B - Lumen lined by columnar cells with decapitation
secretion. (Hematoxylin & eosin, X400)",abd-93-03-0474-g02
29924236,PMC6001074,Ectopic hidradenoma papilliferum.,An Bras Dermatol,2023-12-17-22-02-31,Figure 3,"Histopathological: transverse section (Hematoxylin & eosin, X400)",abd-93-03-0474-g03
31871682,PMC6911944,Hidradenoma papilliferum of the external auditory canal. Case report.,Ann Med Surg (Lond),2023-12-17-22-02-31,Fig. 1,"Ectopic hidradenoma papilliferum located in the right EAC, appearing as a polypoid burgeoning mass.",gr1
31871682,PMC6911944,Hidradenoma papilliferum of the external auditory canal. Case report.,Ann Med Surg (Lond),2023-12-17-22-02-31,Fig. 2,"Image of the PTA of the right ear, showing a conductive hearing loss with a hearing threshold of 35 dB.",gr2
31871682,PMC6911944,Hidradenoma papilliferum of the external auditory canal. Case report.,Ann Med Surg (Lond),2023-12-17-22-02-31,Fig. 3,CT image showing a tissular tumor of the EAC. The middle ear and the temporal bone are intact.,gr3
31871682,PMC6911944,Hidradenoma papilliferum of the external auditory canal. Case report.,Ann Med Surg (Lond),2023-12-17-22-02-31,Fig. 4,Hidradenoma papilliferum ; a double layer of cells is seen : basal cuboidal cells and luminal columnal cells,gr4
31937076,PMC6968723,Hidradenoma Papilliferum of the Anus: A Report of 2 Cases and Review of the Literature.,Ann Coloproctol,2023-12-17-22-02-31,Fig. 1.,"(A, B) Two cases of hidradenoma papilliferum of the anus.",ac-2018-08-03f1
31937076,PMC6968723,Hidradenoma Papilliferum of the Anus: A Report of 2 Cases and Review of the Literature.,Ann Coloproctol,2023-12-17-22-02-31,Fig. 2.,"Microscopic findings of hidradenoma papilliferum (H&E: A, ×40; B, ×100; C; ×200).",ac-2018-08-03f2
32180606,PMC7059462,Hidradenoma Papilliferum: Everyone Else's Diagnosis.,Indian J Dermatol,2023-12-17-22-02-31,Figure 1,"(a) Case 1: Hidradenoma papilliferum: 3-mm asymptomatic lesion on the labium majora of a 52-year-old female (H and E, ×24). (b) Case 1. Hidradenoma papilliferum: Higher power view showing thin strands of relatively clear cells with sparse stroma (the “papilliferum” component of the lesion). Note the apocrine (“decapitation”) secretion of the cells (H and E, ×240). (c) Case 1. Hidradenoma papilliferum: View shows clearly that the tumor is connected to the epidermis (H and E, ×60)",IJD-65-151-g001
32180606,PMC7059462,Hidradenoma Papilliferum: Everyone Else's Diagnosis.,Indian J Dermatol,2023-12-17-22-02-31,Figure 2,"(a) An example of a syringocystadenoma papilliferum found in a dermatopathology reference file mislabeled as hidradenoma papilliferum. This lesion was from the perineum of a 49-year-old female. The lesion was asymptomatic. Note the bulbous shape of the papillae and their abundant stroma in contrast to the thin stromas of the hidradenoma papilliferum seen in Figures 1a and b. Note the apocrine secretion and the denser appearance of the cells than in Figures 1a and b. Note also the absence of an inflammatory infiltrate in the stroma of these papillae (H and E, ×60). (b) Same case as in Figure 2a, high-power view. Again note the absence of an inflammatory infiltrate within the papilla shown (H and E, ×240). (c) An example of a syringocystadeoma papilliferum occurring in a nevus sebaceous of Jadassohn. Note the intense infiltrate of plasma cells in the papilla shown (H and E, ×120)",IJD-65-151-g002
32180606,PMC7059462,Hidradenoma Papilliferum: Everyone Else's Diagnosis.,Indian J Dermatol,2023-12-17-22-02-31,Figure 3,"(a) Trichoepithelioma. Note the basophilic cells in which are imbedded collagenous structures resembling immature hair papillae. These changes are diagnostic of this entity (H and E, ×100). (b) Trichoepithelioma combined with hair follicle lining epithelium, producing a cyst-like structure (H and E, ×80). (c) Trichoepithelioma combined with hair follicle lining epithelium, producing a papillary structure with diagnostic changes of trichoepithelioma projecting into a cyst-like structure composed of hair follicular epithelium (H and E, ×60)",IJD-65-151-g003
33680603,PMC7928078,Hidradeonoma Papilliferum of the Anus: A Case Report About the Relationship Between Neoplasms of the Mammary-Like-Glands and Hormones.,Cureus,2023-12-17-22-02-31,,,
33845900,PMC8042849,Hidradenoma papilliferum of the hymen: a case report.,J Med Case Rep,2023-12-17-22-02-31,Fig. 1,Hidradenoma papilliferum noduler lesion on posterior hymenal area.,13256_2021_2786_Fig1_HTML
33845900,PMC8042849,Hidradenoma papilliferum of the hymen: a case report.,J Med Case Rep,2023-12-17-22-02-31,Fig. 2,a Histopatological showing tumor consisted of irregular glandular structures arranged in a labyrinth pattern hidradenoma papilliferum (Hematoxylin and eosin [H&E] × 40). b Muscle-specific actin immunohistochemical expression in myoepithelial cells scattered among the ductal cells (× 20).,13256_2021_2786_Fig2_HTML
33967496,PMC8083398,Rare and unusual occurrence of ectopic hidradenoma papilliferum in maxillofacial region.,J Oral Maxillofac Pathol,2023-12-17-22-02-31,Figure 1,Lesion showing parts of necrosed overlying skin and mulberry like surface texture,JOMFP-24-554-g001
33967496,PMC8083398,Rare and unusual occurrence of ectopic hidradenoma papilliferum in maxillofacial region.,J Oral Maxillofac Pathol,2023-12-17-22-02-31,Figure 2,AP view showing a pedunculated appearance of the lesion,JOMFP-24-554-g002
33967496,PMC8083398,Rare and unusual occurrence of ectopic hidradenoma papilliferum in maxillofacial region.,J Oral Maxillofac Pathol,2023-12-17-22-02-31,Figure 3,"Low power view shows a solid-cystic dermal tumor arranged in lobules and sheets (H&E, ×40)",JOMFP-24-554-g003
33967496,PMC8083398,Rare and unusual occurrence of ectopic hidradenoma papilliferum in maxillofacial region.,J Oral Maxillofac Pathol,2023-12-17-22-02-31,Figure 4,"Higher magnification shows round to oval cells with vesicular nuclei and inconspicuous nucleoli. Few cells with clear cytoplasm also seen (H&E, ×100)",JOMFP-24-554-g004
34926767,PMC8651789,Poroid hidradenocarcinoma and atypical hidradenoma papilliferum of the vulva - Two cases.,Gynecol Oncol Rep,2023-12-17-22-02-31,Fig. 1,"Case 1 – Areas of atypia within the tumour including cells with pleomorphic nuclei, multiple mitotic figures and areas of necrosis.",gr1
34926767,PMC8651789,Poroid hidradenocarcinoma and atypical hidradenoma papilliferum of the vulva - Two cases.,Gynecol Oncol Rep,2023-12-17-22-02-31,Fig. 2,Case 1 – Immunohistochemistry: CK7 shows positive staining in the lumina of vacuolated cells.,gr2
34926767,PMC8651789,Poroid hidradenocarcinoma and atypical hidradenoma papilliferum of the vulva - Two cases.,Gynecol Oncol Rep,2023-12-17-22-02-31,Fig. 3,Case 2 – Round to ovoid and minimally pleomorphic cells with increased mitotic activity.,gr3
34926767,PMC8651789,Poroid hidradenocarcinoma and atypical hidradenoma papilliferum of the vulva - Two cases.,Gynecol Oncol Rep,2023-12-17-22-02-31,Fig. 4,Case 2 – High power view of central necrosis.,gr4
35024216,PMC8648414,Vulvar Hidradenoma Papilliferum Dermoscopically Mimicking Basal Cell Carcinoma.,Dermatol Pract Concept,2023-12-17-22-02-31,Figure 1,Clinical and dermoscopic aspects of vulvar hidradenoma papilliferum (HP). (A) HP involving the right inner site of the labia majora in a form of a red nodule with non-ulcerated surface. (B) Dermoscopy revealed prominent and well-focused arborizing vessels over the pinkish and whitish background. (*) Artifacts.,dp1104a70g001
35024216,PMC8648414,Vulvar Hidradenoma Papilliferum Dermoscopically Mimicking Basal Cell Carcinoma.,Dermatol Pract Concept,2023-12-17-22-02-31,Figure 2,"(A) Histopathological examination revealed a well-circumscribed dermal tumor without connection with the overlying non-ulcerated epidermis (H&E, ×4). (B) Tubular and papillary structures lined by epithelium consisted of the layers of two cell types: cuboidal and luminal columnar cells (H&E, ×10).",dp1104a70g002
36967274,PMC10334327,Hidradenoma papilliferum of the vulva: a dermoscopic challenging diagnosis.,An Bras Dermatol,2023-12-17-22-02-31,Figure 1,"50-year-old woman, right interlabial fold of the vulva. (A) Clinically, single, firm, well-circumscribed, smooth surfaced focally ulcerated nodule (4 × 4 mm) with no pigment. (B) Dermoscopy showed a central reddish ulceration with undermined edges due to the detachment of the mucosal surface from the lower layers surrounded by a whitish halo in the absence of other dermoscopically-relevant parameters.",gr1
36967274,PMC10334327,Hidradenoma papilliferum of the vulva: a dermoscopic challenging diagnosis.,An Bras Dermatol,2023-12-17-22-02-31,Figure 2,"(A) Histopathological examination shows a dermal cystic neoplasm characterized by papillary projections (Hematoxylin & eosin, ×50). (B) Papillae are lined by myoepithelial cells (at the periphery) and tall columnar cells, showing decapitation secretion (Hematoxylin & eosin, ×100).",gr2
