pmid,pmcid,title,journal,insert_time
20976127,PMC2957110,Dermoscopic features of eccrine porocarcinoma arising from hidroacanthoma simplex.,Dermatol Res Pract,2023-12-17-22-02-31
23723516,PMC3667328,A case of hidroacanthoma simplex.,Indian J Dermatol,2023-12-17-22-02-31
24987351,PMC4067718,Dermoscopy findings of hidroacanthoma simplex.,Case Rep Dermatol,2023-12-17-22-02-31
26500536,PMC4612547,Giant Hidroacanthoma Simplex Mimicking Bowen's Disease.,Case Rep Dermatol,2023-12-17-22-02-31
28538891,PMC5429117,Hidroacanthoma simplex: dermoscopy and cryosurgery treatment.,An Bras Dermatol,2023-12-17-22-02-31
29057137,PMC5625745,A Large Lumbar Adnexal Neoplasm Presenting Characteristics of Eccrine Poroma and Poroid Hidradenoma.,Case Rep Surg,2023-12-17-22-02-31
30484540,PMC6256207,Dermatoscopy: an auxiliary resource for the diagnosis of poroid neoplasms.,An Bras Dermatol,2023-12-17-22-02-31
31932162,PMC7058883,Dermatoscopy of the Borst-Jadassohn phenomenon in hidroacanthoma simplex.,An Bras Dermatol,2023-12-17-22-02-31
32363098,PMC7190561,Porocarcinoma From Preexisting Hidroacanthoma Simplex: Dermoscopic Findings.,Dermatol Pract Concept,2023-12-17-22-02-31
32831380,PMC7423234,Cricumscribed and Multiple Hidroacanthoma Simplex.,Indian J Dermatol,2023-12-17-22-02-31
35225875,PMC8883970,Dermal Duct Tumor: A Diagnostic Dilemma.,Dermatopathology (Basel),2023-12-17-22-02-31
37426364,PMC10327661,"Clinical, dermoscopic, and histopathologic findings of hidroacanthoma simplex: a case report and literature review.",Dermatol Reports,2023-12-17-22-02-31
37727732,PMC10506014,Malignant form of hidroacanthoma simplex: A case report.,World J Clin Cases,2023-12-17-22-02-31
