pmcid,label,caption,graphic,disease,modality
PMC3667328,Figure 1,"A 7.0 × 4.8 × 0.5 cm, well-circumscribed, brown-colored, sessile tumor on the left lumbar part. The surface was rough with reddish-brown crusts",IJD-58-245e-g001,NotMatch,NotMatch
PMC3667328,Figure 2,"The histopathology showed broad anastomosing tracts of cuboidal cells, with uniform nuclei originated from the epidermis in the tumor tissue. It was constructed by basal-like cells with uniform size and shape. Tubular structures were present within the neoplasm. There was no atypia, mitosis",IJD-58-245e-g002,NotMatch,NotMatch
PMC3667328,Figure 3,"The histopathology showed broad anastomosing tracts of cuboidal cells, with uniform nuclei originating from the epidermis in the tumor tissue. It was constructed by basaloid cells with uniform size and shape. Tubular structures were present within the neoplasm. There was no atypia or mitosis.",IJD-58-245e-g003,NotMatch,NotMatch
PMC3667328,Figure 4,Tubular structures appeared within the neoplasm,IJD-58-245e-g004,NotMatch,NotMatch
PMC3667328,Figure 5,Immunohistochemical study showed the tumor tissue sections were positive for EMA,IJD-58-245e-g005,NotMatch,NotMatch
PMC4067718,Fig. 1,"A brown, hyperkeratotic plaque, 26 × 20 mm in size on the lateral side of the left thigh (a). Dermoscopy findings of the thinner, brownish, part of the tumor revealed whitish globular structures (arrows for the representative ones) surrounded by homogenous, pigmented lines (b). At the dark brown, thick part of the tumor, these whitish globular structures were covered with gatherings of the thick, oval keratotic materials, giving them a ‘muskmelon appearance’ (c).",cde-0006-0154-g01,NotMatch,NotMatch
PMC4067718,Fig. 2,"Well-demarcated nests within the epidermis (a). The nests were mainly composed of cuboidal basaloid cells, which surrounded necrotic cells with abundant melanin granules (b). Original magnification ×100 (a), ×400 (b).",cde-0006-0154-g02,NotMatch,Match
PMC4612547,Fig. 1,"A 70 × 50 mm, well-circumscribed, dark reddish-brown, elevated plaque on the right flank part.",cde-0007-0241-g01,NotMatch,NotMatch
PMC4612547,Fig. 2,A Low-power view showing well-circumscribed intraepidermal nests within an acanthotic epidermis (HE stain. Original magnification ×40). B High-power view showing small and relatively monomorphic tumor cells with no atypia (HE. ×100). C Diffuse lumican staining was noted (×40).,cde-0007-0241-g02,NotMatch,Match
PMC5429117,Figure 1,Brownish scaly plaque in the right pretibial region,abd-92-02-0253-g01,NotMatch,NotMatch
PMC5429117,Figure 2,"Dermoscopy shows whitish globular structures surrounded by pigmented
lines on the right side and dotty brown structures on the left side.
Some linear irregular hairpin vessels can be observed on the left side
as well",abd-92-02-0253-g02,NotMatch,NotMatch
PMC5429117,Figure 3,"HE-stained histology specimen showing nests of cuboidal basaloid cells
and an acanthotic epidermis",abd-92-02-0253-g03,NotMatch,NotMatch
PMC5429117,Figure 4,"Residual scaly surface in the center of the lesion 2 months after
cryosurgery",abd-92-02-0253-g04,NotMatch,NotMatch
PMC5625745,Figure 1,"Macroscopic view of the smooth, reddish, and purulent tumor. No signs of infiltration are seen in the surrounding skin.",CRIS2017-9865672.001,NotMatch,NotMatch
PMC5625745,Figure 2,Histological examination of the tumor revealed mixed character of eccrine poroma and poroid hidradenoma (H&E ×25).,CRIS2017-9865672.002,NotMatch,Match
PMC5625745,Figure 3,Immunostaining with ck-7 showed focal staining at eccrine poroma sites while areas of poroid hidradenoma were negative (ck-7 ×25).,CRIS2017-9865672.003,NotMatch,NotMatch
PMC2957110,Figure 1,Two reddish-colored pendulated lesions at the peripheries of a keratotic light brown plaque.,DRP2010-192371.001,NotMatch,NotMatch
PMC2957110,Figure 2,"(a) Dermoscopic examination of the light brown plaque demonstrated a lot of whitish globular structures on the light brown background. (b) In the left pendulated nodule, prominent polymorphous vessels were observed together with irregularly shaped whitish negative network. (c) Vessels were more conspicuous and irregular in the right nodule.",DRP2010-192371.002,NotMatch,NotMatch
PMC2957110,Figure 3,Histopathologic examination of the flat pigmented plaque disclosed many well-defined nests within the epidermis. (HE ×200).,DRP2010-192371.003,NotMatch,NotMatch
PMC2957110,Figure 4,"(a) In the right red nodule, the epidermis was prominently acanthotic with intraepidermal proliferation of clear cells and squamoid cells. Dermal invasion of atypical squamoid cells was partially apparent (HE ×20). (b) In the right red nodule, the tumor cells were focally positive for carcinoembryonic antigen (CEA, ×20). (c) In the right red nodule, markedly atypical cells proliferated and extended throughout the entire thickness of the acanthotic epidermis (HE ×400). (d) The atypical clear cells expressed CEA (CEA ×400). (e) The ductal structures expressed CEA (CEA, ×400).",DRP2010-192371.004,NotMatch,NotMatch
PMC2957110,Figure 5,"In the left red nodule, although the atypical basaloid cells proliferated in the epidermis, there were no visible invasions in the dermis (HE ×40).",DRP2010-192371.005,NotMatch,NotMatch
PMC7190561,Figure 1,"Clinical examination shows a well-demarcated plaque of 4.7 × 2.5 cm in size on the left leg, with a superimposed keratotic nodule at the periphery.",dp1002a36g001,NotMatch,NotMatch
