pmid,pmcid,title,journal,insert_time
19161624,PMC2637255,Hidrocystoma of the external auditory canal: a case report.,Cases J,2023-12-17-22-02-48
21976914,PMC3183727,Eccrine hidrocystoma successfully treated with topical synthetic botulinum Peptide.,J Cutan Aesthet Surg,2023-12-17-22-02-48
22438860,PMC3307209,Fine-needle aspiration cytology of eccrine hidrocystoma.,Cytojournal,2023-12-17-22-02-48
22783504,PMC3385299,Apocrine hidrocystoma of the cheek.,Arch Plast Surg,2023-12-17-22-02-48
22953132,PMC3420569,Pigmented tumour of the eyelid with unexpected findings.,Case Rep Pathol,2023-12-17-22-02-48
23248381,PMC3519270,Multiple eccrine hidrocystomas in a patient of sarcoidosis.,Indian J Dermatol,2023-12-17-22-02-48
23569386,PMC3615882,Syringocystadenoma papilliferum in the right lower abdomen: a case report and review of literature.,Onco Targets Ther,2023-12-17-22-02-48
23904854,PMC3728617,Eccrine Hidrocystoma Arising at the Tarsal Plate during Childhood.,Case Rep Ophthalmol,2023-12-17-22-02-48
26237024,PMC4470245,Three Adult Cases of Orbital Hidrocystoma Presenting with Blepharoptosis.,J Clin Med,2023-12-17-22-02-48
26595821,PMC4894790,GATA3 Expression in Normal Skin and in Benign and Malignant Epidermal and Cutaneous Adnexal Neoplasms.,Am J Dermatopathol,2023-12-17-22-02-48
26693090,PMC4667602,Pale halo surrounding a homogeneous bluish-purplish central area: dermoscopic clue for eccrine hidrocystoma.,Dermatol Pract Concept,2023-12-17-22-02-48
27057052,PMC4817477,Rare Benign Cystic Lesions on Face: Apocrine Hidrocystoma.,Indian J Dermatol,2023-12-17-22-02-48
27057493,PMC4804579,Apocrine hidrocystoma arising from nevus sebaceous on the scalp.,Indian Dermatol Online J,2023-12-17-22-02-48
27437442,PMC4939421,Multiple eccrine axillary hidrocystomas.,JAAD Case Rep,2023-12-17-22-02-48
27891276,PMC5116350,Blue Ear Cyst: A Rare Eccrine Hidrocystoma of the Ear Canal and Successful Endoscopic Excision.,Case Rep Otolaryngol,2023-12-17-22-02-48
28058171,PMC5200841,Orbital Eccrine Hidrocystoma.,Turk J Ophthalmol,2023-12-17-22-02-48
28251170,PMC5324226,Presentation of massive orbital hidrocystoma at birth: case report and review of the literature.,Eye Vis (Lond),2023-12-17-22-02-48
28405487,PMC5384117,Giant Hidrocystoma of the Orbit Presenting with Inversion and Ptosis of the Upper Eyelid.,Turk J Ophthalmol,2023-12-17-22-02-48
28781903,PMC5525067,Diagnostic Workup and Treatment of a Rare Apocrine Hidrocystoma Affecting the Oral Mucosa: A Clinical and Histological Case Report.,Case Rep Dent,2023-12-17-22-02-48
28905840,PMC5621279,Giant eyelid eccrine hidrocystoma-induced progressive ptosis in childhood.,Indian J Ophthalmol,2023-12-17-22-02-48
