pmcid,figure_name,width,height
PMC3183727,JCAS-4-154-g001.jpg,760,570
PMC3183727,JCAS-4-154-g002.jpg,730,548
PMC3183727,JCAS-4-154-g003.jpg,730,541
PMC3307209,CJ-9-6-g004.jpg,569,426
PMC3307209,CJ-9-6-g002.jpg,569,427
PMC3307209,CJ-9-6-g001.jpg,569,427
PMC3307209,CJ-9-6-g003.jpg,569,426
PMC3307209,CJ-9-6-g005.jpg,771,478
PMC2637255,1757-1626-2-79-3.jpg,600,445
PMC2637255,1757-1626-2-79-1.jpg,368,355
PMC2637255,1757-1626-2-79-2.jpg,600,503
PMC3519270,IJD-57-504a-g002.jpg,741,299
PMC3519270,IJD-57-504a-g001.jpg,742,536
PMC3385299,aps-39-86-i001.jpg,1200,169
PMC3385299,aps-39-86-g001.jpg,797,290
PMC3385299,aps-39-86-g002.jpg,773,549
PMC3420569,CRIM.PATHOLOGY2012-471368.001.jpg,600,234
PMC3420569,CRIM.PATHOLOGY2012-471368.002.jpg,600,312
PMC3615882,ott-6-233Fig2.jpg,633,236
PMC3615882,ott-6-233Fig1.jpg,633,474
PMC3728617,cop-0004-0061-g01.jpg,788,668
PMC4470245,jcm-04-00150-g002b.jpg,728,277
PMC4470245,jcm-04-00150-g003b.jpg,786,369
PMC4470245,jcm-04-00150-g003a.jpg,711,207
PMC4470245,jcm-04-00150-g002a.jpg,719,312
PMC4470245,jcm-04-00150-g001a.jpg,756,307
PMC4470245,jcm-04-00150-g001b.jpg,746,265
PMC4894790,ajd-37-0885-g002.jpg,1200,668
PMC4894790,ajd-37-0885-g003.jpg,706,288
PMC4894790,ajd-37-0885-g005.jpg,705,286
PMC4894790,ajd-37-0885-g001.jpg,705,286
PMC4894790,ajd-37-0885-g004.jpg,1200,440
PMC4667602,dp0504a11g002.jpg,773,880
PMC4667602,dp0504a11g001.jpg,683,416
PMC4817477,IJD-61-237a-g003.jpg,1010,648
PMC4817477,IJD-61-237a-g001.jpg,539,268
PMC4817477,IJD-61-237a-g002.jpg,438,587
PMC4939421,gr2.jpg,711,535
PMC4939421,gr1.jpg,602,453
PMC5116350,CRIOT2016-5902547.003.jpg,748,677
PMC5116350,CRIOT2016-5902547.002.jpg,748,715
PMC5116350,CRIOT2016-5902547.005.jpg,748,571
PMC5116350,CRIOT2016-5902547.001.jpg,748,667
PMC5116350,CRIOT2016-5902547.004.jpg,748,571
PMC4804579,IDOJ-7-111-g006.jpg,486,211
PMC4804579,IDOJ-7-111-g003.jpg,538,430
PMC4804579,IDOJ-7-111-g004.jpg,538,420
PMC4804579,IDOJ-7-111-g005.jpg,539,304
PMC4804579,IDOJ-7-111-g002.jpg,538,344
PMC4804579,IDOJ-7-111-g001.jpg,538,403
PMC5200841,TJO-46-251-g2.jpg,750,250
PMC5200841,TJO-46-251-g4.jpg,750,174
PMC5200841,TJO-46-251-g3.jpg,750,322
PMC5200841,TJO-46-251-g1.jpg,750,203
PMC5384117,TJO-47-113-g1.jpg,450,361
PMC5384117,TJO-47-113-g2.jpg,450,405
PMC5525067,CRID2017-9382812.001.jpg,752,830
PMC5525067,CRID2017-9382812.003.jpg,752,573
PMC5525067,CRID2017-9382812.002.jpg,752,815
PMC5525067,CRID2017-9382812.005.jpg,752,641
PMC5525067,CRID2017-9382812.004.jpg,752,573
PMC5621279,IJO-65-884-g002.jpg,539,658
PMC5621279,IJO-65-884-g003.jpg,539,198
PMC5621279,IJO-65-884-g001.jpg,539,486
PMC5621279,IJO-65-884-g005.jpg,539,263
PMC5621279,IJO-65-884-g004.jpg,539,203
PMC6031948,dpa-0005-0079-g02.jpg,686,645
PMC6031948,dpa-0005-0079-g01.jpg,750,688
PMC5324226,40662_2017_69_Fig2_HTML.jpg,472,324
PMC5324226,40662_2017_69_Fig5_HTML.jpg,358,228
PMC5324226,40662_2017_69_Fig6_HTML.jpg,358,135
PMC5324226,40662_2017_69_Fig3_HTML.jpg,358,197
PMC5324226,40662_2017_69_Fig1_HTML.jpg,358,240
PMC5324226,40662_2017_69_Fig4_HTML.jpg,358,836
PMC6083646,CRIPA2018-4263104.002.jpg,752,390
PMC6083646,CRIPA2018-4263104.003.jpg,752,848
PMC6083646,CRIPA2018-4263104.005.jpg,752,430
PMC6083646,CRIPA2018-4263104.001.jpg,752,452
PMC6083646,CRIPA2018-4263104.004.jpg,612,420
PMC6689838,PAMJ-33-70-g001.jpg,332,316
PMC6670128,13256_2019_2175_Fig1_HTML.jpg,709,297
PMC6670128,13256_2019_2175_Fig2_HTML.jpg,778,194
PMC7231704,IJPH-49-403-g002.jpg,627,469
PMC7231704,IJPH-49-403-g001.jpg,661,1206
PMC6232990,IDOJ-9-448-g001.jpg,539,546
PMC6232990,IDOJ-9-448-g005.jpg,673,185
PMC6232990,IDOJ-9-448-g003.jpg,539,405
PMC6232990,IDOJ-9-448-g002.jpg,539,327
PMC6232990,IDOJ-9-448-g004.jpg,539,405
PMC7478450,cm9-133-2107-g001.jpg,800,701
PMC9309698,ActaDV-100-19-5962-g002.jpg,709,200
PMC9309698,ActaDV-100-19-5962-g001.jpg,800,235
PMC6880129,gr2.jpg,715,457
PMC6880129,gr4.jpg,742,437
PMC6880129,gr3.jpg,733,467
PMC6880129,gr5.jpg,742,937
PMC6880129,gr1.jpg,693,480
PMC7279684,cureus-0012-00000008012-i02.jpg,800,600
PMC7279684,cureus-0012-00000008012-i03.jpg,800,600
PMC7279684,cureus-0012-00000008012-i01.jpg,800,600
PMC8052164,CRIDM2021-5543803.002.jpg,471,280
PMC8052164,CRIDM2021-5543803.001.jpg,472,458
PMC8149987,JCAS-14-118-g002.jpg,752,576
PMC8149987,JCAS-14-118-g001.jpg,752,571
PMC8482105,dermatopathology-08-00046-g001.jpg,762,400
PMC9116550,dp1202a90g001.jpg,640,492
PMC9102149,10.1177_2050313X221097770-fig7.jpg,607,365
PMC9102149,10.1177_2050313X221097770-fig4.jpg,607,380
PMC9102149,10.1177_2050313X221097770-fig8.jpg,608,376
PMC9102149,10.1177_2050313X221097770-fig6.jpg,607,372
PMC9102149,10.1177_2050313X221097770-fig2.jpg,704,255
PMC9102149,10.1177_2050313X221097770-fig5.jpg,607,378
PMC9102149,10.1177_2050313X221097770-fig3.jpg,606,366
PMC9102149,10.1177_2050313X221097770-fig1.jpg,704,234
PMC9102149,10.1177_2050313X221097770-img1.jpg,61,61
PMC7992752,ad-31-442-i001.jpg,779,496
PMC7992752,ad-31-442-g001.jpg,699,1052
PMC7992752,ad-31-442-g002.jpg,771,388
PMC9905859,ad-35-66-g002.jpg,752,577
PMC9905859,ad-35-66-i001.jpg,755,364
PMC9905859,ad-35-66-g001.jpg,629,833
PMC9985670,cureus-0015-00000034571-i01.jpg,750,244
PMC9985670,cureus-0015-00000034571-i03.jpg,750,497
PMC9985670,cureus-0015-00000034571-i04.jpg,750,550
PMC9985670,cureus-0015-00000034571-i05.jpg,750,535
PMC9985670,cureus-0015-00000034571-i02.jpg,750,175
PMC9650017,gr2.jpg,688,1161
PMC9650017,gr4.jpg,688,154
PMC9650017,gr3.jpg,688,298
PMC9650017,gr1.jpg,688,333
PMC9317353,medicina-58-00840-g003.jpg,750,308
PMC9317353,medicina-58-00840-g004.jpg,700,523
PMC9317353,medicina-58-00840-g002.jpg,738,274
PMC9317353,medicina-58-00840-g005.jpg,701,211
PMC9317353,medicina-58-00840-g001.jpg,689,278
