pmcid,figure_name,width,height
PMC5315040,dp0701a08g002.jpg,800,600
PMC5315040,dp0701a08g003.jpg,667,211
PMC5315040,dp0701a08g001.jpg,800,600
PMC4230664,abd-89-06-0956-g05.jpg,600,431
PMC4230664,abd-89-06-0956-g03.jpg,600,426
PMC4230664,abd-89-06-0956-g02.jpg,600,428
PMC4230664,abd-89-06-0956-g04.jpg,600,451
PMC4230664,abd-89-06-0956-g01.jpg,600,331
PMC4230664,abd-89-06-0956-g06.jpg,600,415
PMC3229956,ad-23-539-i001.jpg,661,394
PMC3229956,ad-23-539-g003.jpg,469,205
PMC3229956,ad-23-539-g004.jpg,467,356
PMC3229956,ad-23-539-g001.jpg,467,311
PMC3229956,ad-23-539-g002.jpg,632,487
PMC3229956,ad-23-539-g005.jpg,632,226
