pmid,pmcid,title,journal,insert_time
11157989,PMC2195990,Focal activation of a mutant allele defines the role of stem cells in mosaic skin disorders.,J Cell Biol,2024-02-14-09-13-17
21772595,PMC3132911,Epidermolytic hyperkeratosis in inflammatory linear verrucous epidermal nevus.,Indian J Dermatol,2024-02-14-09-13-17
21773039,PMC3135235,"Incidental cutaneous reaction patterns: epidermolytic hyperkeratosis, acantholytic dyskeratosis, and hailey-hailey-like acantholysis: a potential marker of premalignant skin change.",J Skin Cancer,2024-02-14-09-13-17
23723510,PMC3667322,Ichthyosis associated with rickets in two Indian children.,Indian J Dermatol,2024-02-14-09-13-17
23957016,PMC3744379,A Novel non-sense Mutation in Keratin 10 Causes a Familial Case of Recessive Epidermolytic Ichthyosis.,Mol Genet Genomic Med,2024-02-14-09-13-17
25386243,PMC4211474,Quality of life in Swedish children with congenital ichthyosis.,Dermatol Reports,2024-02-14-09-13-17
26288413,PMC4533543,Bilateral Systematized Epidermolytic Verrucous Epidermal Nevus: A Rare Entity.,Indian J Dermatol,2024-02-14-09-13-17
26464567,PMC4592507,Pachyonychia Congenita (K16) with Unusual Features and Good Response to Acitretin.,Case Rep Dermatol,2024-02-14-09-13-17
26734873,PMC4689080,Epidermolytic Hyperkeratosis--case report.,An Bras Dermatol,2024-02-14-09-13-17
28868008,PMC5567085,"Epidermolytic Acanthoma on Fingers, Mimicking Flat Warts.",Case Rep Dermatol,2024-02-14-09-13-17
30258804,PMC6137671,Appearance of Verruca Over Linear Verrucous Epidermal Nevus - An Example of Locus Minoris Resistentiae: A Report of Three Cases.,Indian Dermatol Online J,2024-02-14-09-13-17
31190940,PMC6512611,Epidermolytic hyperkeratosis: clinical update.,Clin Cosmet Investig Dermatol,2024-02-14-09-13-17
31290641,PMC6711255,Epidermolytic Hyperkeratosis: A Challenging Pathology for Clinical Correlation.,Balkan Med J,2024-02-14-09-13-17
31890829,PMC6931078,Verrucous papules on the scrotum.,JAAD Case Rep,2024-02-14-09-13-17
32482553,PMC7335885,Annular epidermolytic ichthyosis: a case report and literature review.,An Bras Dermatol,2024-02-14-09-13-17
33024766,PMC7520793,Epidermolytic acanthoma: A case report.,World J Clin Cases,2024-02-14-09-13-17
33081034,PMC7593923,First Case of KRT2 Epidermolytic Nevus and Novel Clinical and Genetic Findings in 26 Italian Patients with Keratinopathic Ichthyoses.,Int J Mol Sci,2024-02-14-09-13-17
33363749,PMC7752314,Adult-onset epidermal nevus with epidermolytic hyperkeratotic pattern: Case report and dermoscopic findings.,Clin Case Rep,2024-02-14-09-13-17
33363884,PMC7752546,A novel KRT1 c.1433A>G p.(Glu478Gly) mutation in a newborn with epidermolytic ichthyosis.,Clin Case Rep,2024-02-14-09-13-17
33777434,PMC7968908,Bilateral Systematised Epidermolytic Epidermal Nevus: A case report.,Sultan Qaboos Univ Med J,2024-02-14-09-13-17
33911795,PMC7875239,Two Cases of Multiple Epidermolytic Acanthomas Mimicking Verruca Vulgaris.,Ann Dermatol,2024-02-14-09-13-17
35126011,PMC8802968,Bullous diseases caused by KRT1 gene mutations: from epidermolytic hyperkeratosis to a novel variant of epidermolysis bullosa simplex.,Postepy Dermatol Alergol,2024-02-14-09-13-17
35463735,PMC9013870,Nevus Comedonicus with Epidermolytic Hyperkeratosis: A Case Report.,Iran J Pathol,2024-02-14-09-13-17
35721331,PMC9171174,Diagnostic Pearls of Vulvar Epidermolytic Acanthoma: Case Report.,Ann Dermatol,2024-02-14-09-13-17
36251712,PMC9576078,A de novo variant in the keratin 1 gene (KRT1) in a Chinese shar-pei dog with severe congenital cornification disorder and non-epidermolytic ichthyosis.,PLoS One,2024-02-14-09-13-17
36683620,PMC9850991,Staphylococcus aureus bacteremia and infective endocarditis in a patient with epidermolytic hyperkeratosis: A case report.,World J Clin Cases,2024-02-14-09-13-17
38203406,PMC10779394,Key Factors in the Complex and Coordinated Network of Skin Keratinization: Their Significance and Involvement in Common Skin Conditions.,Int J Mol Sci,2024-02-14-09-13-17
