pmcid,label,caption,graphic,disease,modality
PMC3132911,Figure 1,White linear hyperkeratotic lesions some of them on erythematosus background and brown linear verrucous lesions without any erythema and inflammation,IJD-56-309-g001,NotMatch,NotMatch
PMC3132911,Figure 2,"Psoriasiform acanthosis, mild papillomatosis, hyperkeratosis with foci of parakeratosis and epidermolytic hyperkeratosis change in acrosyrinx and moderate perivascular lymphohistiocytes infiltrate",IJD-56-309-g002,Match,NotMatch
PMC3132911,Figure 3,Epidermolytic hyperkeratosis: vacuolization of the upper and mid spinous layer in acrotrichia,IJD-56-309-g003,Match,NotMatch
PMC2195990,Figure 1,"Targeting of the mouse keratin 10 gene. (A) Genomic organization of the mouse keratin 10 locus. Exon 1 contains codon 154 encoding arginine (R154). (B) The targeting vector contains a C to T mutation encoding cysteine (C154) which also destroys an AciI restriction site. (C) Recombinant mutneo allele after homologous recombination in ES cells. (D) Recombinant mutloxP allele after Cre-mediated excision of PGKneo. 5′ and 3′: probes used for Southern blot analysis. R, EcoRV; B, BglII; X, XhoI; S, ScaI; A, ApaI; N, NotI; K, KpnI.",JCB0010102.f1,NotMatch,NotMatch
PMC2195990,Figure 3,Chimeric mice derived from +/mutloxP ES cells. Thick hyperkeratoses on the paws at 5 wk (A) and 3 mo of age (B). (C) Normal paw.,JCB0010102.f3,NotMatch,NotMatch
PMC2195990,Figure 2,"Inducible mouse model for EHK. (A) Bigenic +/mutneo. CrePR1 pup after four topical applications of RU486. Scaling around the arm folds after rupture of the blister. No blisters developed in untreated bigenic +/mutneo.CrePR1 pups or +/mutneo or CrePR1 pups treated with RU486 (data not shown). (B) Same mouse 3 mo after induction. Note the thick brownish hyperkeratoses on the paws. (C) Light micrograph of lesional skin from B. Note the thickened stratum corneum, vacuolization, and translucency in the suprabasal layer. Hematoxylin and eosin, bar = 50 μm. (D) PCR analysis of keratinocytes captured by LCM. PCR analysis to detect the loxP site (top panel) and neo cassette (bottom panel). 1, suprabasal cells from previously treated area; 2, untreated area; 3, wild-type control mouse; 4, +/mutloxP mouse; and 5, +/mutneo mouse. M, DNA size marker.",JCB0010102.f2,NotMatch,NotMatch
PMC2195990,Figure 4,"Gross appearance and skin morphology of mutneo/mutneo mice. (A) mutneo/mutneo pup shortly after birth with severe blistering and erosions. (B) Histological analysis of a skin biopsy from A shows a split in the suprabasal layer of the epidermis. Hematoxylin and eosin, bar = 50 μm. (C) Immunolabeling shows abundant mutant K10 (yellow) throughout the disintegrating suprabasal layer against the red K14 background stain. Bars = 50 μm.",JCB0010102.f4,NotMatch,NotMatch
PMC3667322,Figure 1,Generalized hyperkeratotic verrucous plaques predominantly over the bilateral wrist and knee in the first case,IJD-58-244e-g001,NotMatch,NotMatch
PMC3667322,Figure 2,X-ray of upper limb showed marked cupping and fraying of distal metaphyses and tibia along with malunion of radius and ulna and bowing of tibia,IJD-58-244e-g002,NotMatch,NotMatch
PMC3667322,Figure 3,"Skin biopsy from the hyperkeratotic plaque over the arm shows lamellar orthokeratoses and epidermolytic hyperkeratosis on H and E, stain (×20)",IJD-58-244e-g003,Match,NotMatch
PMC3667322,Figure 4,Thickening and hyperpigmentation of the skin with few quadrilateral scales over the dorsa of the hands and legs with genu valgum in the second case,IJD-58-244e-g004,NotMatch,NotMatch
PMC3667322,Figure 5,"X-ray of the lower limb showed coarse tubercular pattern, pseudofracture, osteopenia and bowing of tibia",IJD-58-244e-g005,NotMatch,NotMatch
PMC3667322,Figure 6,"Skin biopsy from the scaly plaque on the shin shows compact ortho-hyperkeratosis with focal parakeratosis, normal granular layer and mild acanthosis on H and E, stain (×10)",IJD-58-244e-g006,NotMatch,Match
PMC4533543,Figure 1,Bilaterally symmetrical verrucous plaques along the lines of Blaschko,IJD-60-397-g001,NotMatch,NotMatch
PMC4533543,Figure 2,"Symmetrical, linear verrucous plaques along the lines of Blaschko over the buttock and back of thighs",IJD-60-397-g002,NotMatch,NotMatch
