pmcid,figure_name,width,height
PMC3132911,IJD-56-309-g003.jpg,780,585
PMC3132911,IJD-56-309-g002.jpg,780,585
PMC3132911,IJD-56-309-g001.jpg,780,585
PMC2195990,JCB0010102.f4.jpg,640,472
PMC2195990,JCB0010102.f2.jpg,566,853
PMC2195990,JCB0010102.f1.jpg,640,484
PMC2195990,JCB0010102.f3.jpg,640,315
PMC3667322,IJD-58-244e-g007.jpg,1072,459
PMC3667322,IJD-58-244e-g006.jpg,544,537
PMC3667322,IJD-58-244e-g004.jpg,742,366
PMC3667322,IJD-58-244e-g005.jpg,319,537
PMC3667322,IJD-58-244e-g003.jpg,577,537
PMC3667322,IJD-58-244e-g001.jpg,343,535
PMC3667322,IJD-58-244e-g002.jpg,302,538
PMC4533543,IJD-60-397-g004.jpg,720,586
PMC4533543,IJD-60-397-g001.jpg,592,586
PMC4533543,IJD-60-397-g002.jpg,452,586
PMC4533543,IJD-60-397-g003.jpg,760,586
PMC3135235,JSC2011-645743.001.jpg,600,359
PMC3135235,JSC2011-645743.004.jpg,600,576
PMC3135235,JSC2011-645743.002.jpg,600,434
PMC3135235,JSC2011-645743.003.jpg,600,496
PMC3744379,mgg30001-0108-f3.jpg,577,531
PMC3744379,mgg30001-0108-f4.jpg,578,411
PMC3744379,mgg30001-0108-f1.jpg,630,276
PMC3744379,mgg30001-0108-f2.jpg,577,285
PMC3744379,mgg30001-0108-f5.jpg,610,264
PMC4592507,cde-0007-0220-g02.jpg,789,491
PMC4592507,cde-0007-0220-g04.jpg,789,526
PMC4592507,cde-0007-0220-g03.jpg,709,562
PMC4592507,cde-0007-0220-g01.jpg,656,987
PMC4689080,abd-90-06-0888-g02.jpg,600,1110
PMC4689080,abd-90-06-0888-g01.jpg,600,752
PMC4689080,abd-90-06-0888-g04.jpg,600,1071
PMC4689080,abd-90-06-0888-g05.jpg,771,290
PMC4689080,abd-90-06-0888-g03.jpg,600,1008
PMC5567085,cde-0009-0098-g01.jpg,531,425
PMC5567085,cde-0009-0098-g02.jpg,531,840
PMC6512611,CCID-12-333-g0001.jpg,810,270
PMC6711255,BMJ-36-294-g1.jpg,750,773
PMC6137671,IDOJ-9-334-g001.jpg,539,957
PMC6137671,IDOJ-9-334-g003.jpg,539,404
PMC6137671,IDOJ-9-334-g002.jpg,539,718
PMC6137671,IDOJ-9-334-g004.jpg,539,400
PMC6931078,gr2.jpg,759,569
PMC6931078,gr3.jpg,759,569
PMC6931078,gr1.jpg,604,804
PMC7335885,gr2.jpg,671,884
PMC7335885,gr4.jpg,671,874
PMC7335885,gr3.jpg,669,360
PMC7335885,gr1.jpg,671,530
PMC7752314,CCR3-8-2398-g002.jpg,709,752
PMC7752314,CCR3-8-2398-g004.jpg,120,127
PMC7752314,CCR3-8-2398-g003.jpg,709,1077
PMC7752314,CCR3-8-2398-g001.jpg,709,788
PMC7520793,WJCC-8-4094-g001.jpg,720,338
PMC7520793,WJCC-8-4094-g002.jpg,711,270
PMC7752546,CCR3-8-3079-g002.jpg,709,263
PMC7752546,CCR3-8-3079-g004.jpg,120,52
PMC7752546,CCR3-8-3079-g001.jpg,709,305
PMC7752546,CCR3-8-3079-g003.jpg,709,372
PMC7968908,squmj2102-e124-126f2.jpg,716,312
PMC7968908,squmj2102-e124-126f1.jpg,715,511
PMC7968908,squmj2102-e124-126f3.jpg,716,514
PMC7593923,ijms-21-07707-g004.jpg,709,478
PMC7593923,ijms-21-07707-g003.jpg,737,595
PMC7593923,ijms-21-07707-g005.jpg,742,545
PMC7593923,ijms-21-07707-g001.jpg,724,223
PMC7593923,ijms-21-07707-g002.jpg,738,327
PMC8802968,PDIA-38-41696-g004.jpg,705,204
PMC8802968,PDIA-38-41696-g003.jpg,787,235
PMC8802968,PDIA-38-41696-g001.jpg,793,584
PMC8802968,PDIA-38-41696-g005.jpg,769,1127
PMC8802968,PDIA-38-41696-g006.jpg,758,426
PMC8802968,PDIA-38-41696-g002.jpg,787,458
PMC9013870,ijp-17-234-g004.jpg,698,657
PMC9013870,ijp-17-234-g003.jpg,654,667
PMC9013870,ijp-17-234-g005.jpg,790,1020
PMC9013870,ijp-17-234-g001.jpg,689,493
PMC9013870,ijp-17-234-g002.jpg,688,649
PMC9013870,ijp-17-234-g006.jpg,712,657
PMC7875239,ad-32-512-g001.jpg,733,588
PMC7875239,ad-32-512-g002.jpg,789,213
PMC9171174,ad-34-221-g002.jpg,752,282
PMC9171174,ad-34-221-i001.jpg,766,387
PMC9171174,ad-34-221-g001.jpg,625,829
PMC9850991,WJCC-10-13418-g003.jpg,696,495
PMC9850991,WJCC-10-13418-g002.jpg,609,585
PMC9850991,WJCC-10-13418-g004.jpg,799,1035
PMC9850991,WJCC-10-13418-g001.jpg,799,415
PMC9576078,pone.0275367.g003.jpg,731,335
PMC9576078,pone.0275367.g002.jpg,769,600
PMC9576078,pone.0275367.t002.jpg,783,193
PMC9576078,pone.0275367.t001.jpg,783,204
PMC9576078,pone.0275367.g001.jpg,685,799
PMC9576078,pone.0275367.g004.jpg,708,276
