pmcid,label,caption,graphic,disease,modality
PMC3657242,Figure 1,Nodules observed under the skin on ridge of the patient were of different size presented lesions,IJD-58-160a-g001,NotMatch,NotMatch
PMC3657242,Figure 2,In thoracolumbar magnetic resonance imaging had been observed between the underskin muscle plans in thoracolumbar regions (sagittal section),IJD-58-160a-g002,NotMatch,NotMatch
PMC3657242,Figure 3,"The plump spindle cells, uniform nuclei and scattered intracytoplasmic eosinophilic round inclusions (H and E, × 400)",IJD-58-160a-g003,NotMatch,NotMatch
PMC4817457,Figure 1,"Smooth, skin-colored to erythematous papulonodular swelling affecting the second, third, and fourth toe of the right side",IJD-61-222-g001,NotMatch,NotMatch
PMC4817457,Figure 2,Plantar aspect of foot showing papulonodular lesions,IJD-61-222-g002,NotMatch,NotMatch
PMC4817457,Figure 3,High-power histological presentation of the characteristic perinuclear cytoplasmic cellular inclusions found in infantile digital fibromatosis (H and E),IJD-61-222-g003,Match,NotMatch
PMC4817457,Figure 4,Low-power view of histopathological section stained with H and E showing uniform infiltrated spindle cells were and formed interlacing fascicles throughout the dermis,IJD-61-222-g004,NotMatch,NotMatch
PMC4817457,Figure 5,Follow-up image after 3 months of treatment showing slight reduction in lesions,IJD-61-222-g005,NotMatch,NotMatch
PMC2994462,Figure 1,Infantile digital fibromatosis affecting the fourth digit.,rt-2009-2-e47-g001,Match,NotMatch
PMC2994462,Figure 2,High-power histological presentation of the characteristic perinuclear cytoplasmic cellular inclusions found in infantile digital fibromatosis. (Hematoxylin and eosin stain).,rt-2009-2-e47-g002,Match,NotMatch
PMC8351811,Figure 1,showing soft tissue mass on the second toe.,AFHS2004-1865Fig1,NotMatch,NotMatch
PMC8351811,,,AFHS2004-1865Fig2,Empty,Empty
PMC8351811,,,AFHS2004-1865Fig3,Empty,Empty
PMC5950536,Figure 1,Postoperative photographs taken at 1 and 2 years follow-up. The (a) right and (b) left feet at 1 year follow-up. (c) Both feet at 2 years follow-up.,eplasty18e19_fig1,NotMatch,NotMatch
PMC5950536,Figure 2,Hematoxylin-eosin stain of tissue removed from the foot of a 9-month-old patient with infantile digital fibromatosis. Spindle cells demonstrate elongated nuclei with small central nucleoli. Paranuclear inclusions are not present.,eplasty18e19_fig2,Match,NotMatch
PMC5950536,Figure 3,Algorithm for the management of patients diagnosed with infantile digital fibromatosis.,eplasty18e19_fig3,Match,NotMatch
PMC10498175,Fig. 1,Clinical and imaging techniques.A. Mass with a bluish spot on the skin in the upper quadrant of the right breast.B. MammogramC. Ultrasound of the lesion in the right breast.,gr1,NotMatch,NotMatch
PMC10498175,Fig. 2,"The lesion measuring 11 × 10 × 7 cm was mostly encapsulated and appeared multinodular, gray-white, homogenous at the cut surface.",gr2,NotMatch,NotMatch
PMC10498175,Fig. 3,"Microscopic examination. Fibroepithelial proliferation (HE, ×2).",gr3,NotMatch,NotMatch
PMC10498175,Fig. 4,Microscopic examination. Proliferating stromal cells containing eosinophilic inclusion bodies (arrows) (HE ×40).,gr4,NotMatch,NotMatch
PMC10498175,Fig. 5,"Inclusion bodies stained red by Masson's trichrome (arrows) (HE ×40). (For interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)",gr5,NotMatch,NotMatch
PMC10498175,Fig. 6,Immunohistochemical of the lesion and the inclusion bodies (arrows). Positivity for Smooth Muscle Actine (SMA) (×20).,gr6,NotMatch,NotMatch
PMC10498175,Fig. 7,Immunohistochemical of the lesion and the inclusion bodies (arrows). Positivity for vimentin (×20).,gr7,NotMatch,NotMatch
PMC10498175,Fig. 8,Immunohistochemical of the lesion and the inclusion bodies (arrows). Negativity for desmin (×20).,gr8,NotMatch,NotMatch
PMC10498175,Fig. 9,Immunohistochemical of the lesion and the inclusion bodies (arrows). Negativity for myogenin (×20).,gr9,NotMatch,NotMatch
PMC10498175,Fig. 10,Proliferation index evaluated by Ki67 (×20).A. Stroma.B. Area with an increased stromal cellularity.,gr10,NotMatch,NotMatch
PMC10498175,Fig. a,Immunohistochemical of the lesion and the inclusion bodies (arrows). Positivity for Calponin (×20).,fx1,NotMatch,NotMatch
PMC10498175,Fig. b,Immunohistochemical of the lesion and the inclusion bodies (arrows). Negativity for CD117 (×20).,fx2,NotMatch,NotMatch
PMC10498175,Fig. c,Immunohistochemical of the lesion and the inclusion bodies (arrows). Negativity for CD99 (×20).,fx3,NotMatch,NotMatch
PMC10498175,Fig. d,Immunohistochemical of the lesion and the inclusion bodies (arrows). Negativity for EPCAM (×20).,fx4,NotMatch,NotMatch
PMC10498175,Fig. e,Immunohistochemical of the lesion and the inclusion bodies (arrows). Negativity for MLH1 (×20).,fx5,NotMatch,NotMatch
PMC10498175,Fig. f,Immunohistochemical of the lesion and the inclusion bodies (arrows). Negativity for PMS2 (×20).,fx6,NotMatch,NotMatch
PMC10498175,Fig. g,Immunohistochemical of the lesion and the inclusion bodies (arrows). Negativity for MSH2 (×20).,fx7,NotMatch,NotMatch
PMC10498175,Fig. h,Immunohistochemical of the lesion and the inclusion bodies (arrows). Negativity for MSH6 (×20).,fx8,NotMatch,NotMatch
